Accel-X: 9.37622070	Y: -1.40625000	Z: -0.55236816	|  Gyro-X: 34.43069458	Y: 3.73840332	Z: -34.52041626
        Accel-X: 9.75708008	Y: -1.45568848	Z: -0.59631348	|  Gyro-X: 43.81408691	Y: -4.63562012	Z: -32.00820923
        Accel-X: 9.81811523	Y: -0.68481445	Z: -0.69458008	|  Gyro-X: 43.52996826	Y: -4.80758667	Z: -26.90902710
        Accel-X: 9.19616699	Y: -0.74157715	Z: -0.83984375	|  Gyro-X: 34.84191895	Y: 6.74407959	Z: -19.51446533
        Accel-X: 8.54492188	Y: -0.66589355	Z: -0.83496094	|  Gyro-X: 30.61004639	Y: 3.75335693	Z: -16.12747192
        Accel-X: 8.56140137	Y: -0.34545898	Z: -0.87951660	|  Gyro-X: 17.94433594	Y: -0.44860840	Z: -12.09747314
        Accel-X: 8.75671387	Y: -0.59753418	Z: -0.97534180	|  Gyro-X: 2.48229980	Y: -0.33645630	Z: -8.27682495
        Accel-X: 9.00085449	Y: -1.01501465	Z: -0.90454102	|  Gyro-X: -1.44302368	Y: -1.03927612	Z: -7.46185303
        Accel-X: 9.20349121	Y: -0.97229004	Z: -1.01013184	|  Gyro-X: -1.54022217	Y: -5.15151978	Z: -6.37023926
        Accel-X: 9.40429688	Y: -1.38000488	Z: -1.15844727	|  Gyro-X: 1.91406250	Y: -2.66921997	Z: -7.63381958
        Accel-X: 9.55322266	Y: -1.13220215	Z: -1.05346680	|  Gyro-X: 14.27322388	Y: -2.87109375	Z: -9.49554443
        Accel-X: 9.62036133	Y: -0.34912109	Z: -1.00646973	|  Gyro-X: 19.21539307	Y: -4.71038818	Z: -9.00955200
        Accel-X: 9.71313477	Y: -0.07385254	Z: -1.09313965	|  Gyro-X: 14.01901245	Y: -2.07855225	Z: -5.85433960
        Accel-X: 9.26391602	Y: -0.37048340	Z: -1.02722168	|  Gyro-X: 14.99099731	Y: 3.89541626	Z: -4.72534180
        Accel-X: 9.03930664	Y: -0.34729004	Z: -0.95031738	|  Gyro-X: 20.52383423	Y: 1.34582520	Z: -5.43563843
        Accel-X: 9.20166016	Y: 0.27221680	Z: -1.34155273	|  Gyro-X: 21.42852783	Y: -3.94775391	Z: -4.98703003
        Accel-X: 9.08081055	Y: 0.26733398	Z: -1.31225586	|  Gyro-X: 17.31628418	Y: -0.99441528	Z: -4.04495239
        Accel-X: 8.83300781	Y: -0.30822754	Z: -1.30187988	|  Gyro-X: 15.29754639	Y: 1.14395142	Z: -3.42437744
        Accel-X: 8.68652344	Y: -0.61401367	Z: -1.14196777	|  Gyro-X: 22.80426025	Y: -1.25610352	Z: -6.60202026
