Accel-X: 9.20227051	Y: -2.23144531	Z: -0.73242188	|  Gyro-X: -3.39447021	Y: 1.81686401	Z: 0.74768066
        Accel-X: 9.19555664	Y: -2.00439453	Z: -0.69763184	|  Gyro-X: 2.93838501	Y: 0.68786621	Z: -0.62805176
        Accel-X: 9.24804688	Y: -1.77490234	Z: -0.68786621	|  Gyro-X: 4.53842163	Y: 0.59814453	Z: -1.38320923
        Accel-X: 9.20410156	Y: -1.63391113	Z: -0.66589355	|  Gyro-X: 3.28231812	Y: 1.94396973	Z: -1.62994385
        Accel-X: 9.04846191	Y: -1.71813965	Z: -0.77026367	|  Gyro-X: 1.59255981	Y: 2.48229980	Z: -1.31591797
        Accel-X: 9.10339355	Y: -1.74438477	Z: -0.75256348	|  Gyro-X: 0.31402588	Y: 1.97387695	Z: -1.20376587
        Accel-X: 9.23583984	Y: -1.91589355	Z: -0.85144043	|  Gyro-X: -1.37573242	Y: 1.19628906	Z: -0.45608521
        Accel-X: 9.24194336	Y: -2.08007812	Z: -0.84350586	|  Gyro-X: -2.05612183	Y: 2.49725342	Z: -1.28601074
        Accel-X: 9.17297363	Y: -2.03369141	Z: -0.79406738	|  Gyro-X: -0.46356201	Y: 3.82064819	Z: -1.75704956
        Accel-X: 9.12780762	Y: -1.95983887	Z: -0.75988770	|  Gyro-X: 1.38320923	Y: 3.18511963	Z: -1.76452637
        Accel-X: 9.21386719	Y: -2.04895020	Z: -0.76782227	|  Gyro-X: 2.89352417	Y: 2.72903442	Z: -1.84677124
        Accel-X: 9.01184082	Y: -1.75781250	Z: -0.76843262	|  Gyro-X: 2.79632568	Y: 2.46734619	Z: -0.75515747
        Accel-X: 9.06616211	Y: -1.79260254	Z: -0.70129395	|  Gyro-X: 3.20007324	Y: 2.96829224	Z: -1.67480469
        Accel-X: 9.11621094	Y: -1.79016113	Z: -0.69152832	|  Gyro-X: 2.75146484	Y: 1.86920166	Z: -1.11404419
        Accel-X: 9.23034668	Y: -1.83837891	Z: -0.82641602	|  Gyro-X: 1.31591797	Y: 2.61688232	Z: 0.11215210
        Accel-X: 9.16381836	Y: -2.01965332	Z: -1.02661133	|  Gyro-X: 0.81497192	Y: 4.80010986	Z: 0.76263428
        Accel-X: 9.10522461	Y: -2.06726074	Z: -0.92834473	|  Gyro-X: 0.86730957	Y: 3.25241089	Z: 0.45608521
        Accel-X: 9.16625977	Y: -1.81396484	Z: 0.14587402	|  Gyro-X: 1.79443359	Y: 3.54400635	Z: 1.83181763
        Accel-X: 10.42602539	Y: -0.57861328	Z: 1.15356445	|  Gyro-X: -0.61309814	Y: -12.86010742	Z: 0.20187378
        Accel-X: 16.86645508	Y: -0.72753906	Z: 6.43920898	|  Gyro-X: -6.89361572	Y: -11.25259399	Z: -9.68994141
        Accel-X: 19.99511719	Y: 2.10266113	Z: 19.89074707	|  Gyro-X: 59.86679077	Y: 45.01785278	Z: 10.40771484
        Accel-X: 14.38110352	Y: 9.93835449	Z: 17.85278320	|  Gyro-X: 163.97384644	Y: 150.59036255	Z: -127.47207642
        Accel-X: 18.38317871	Y: 17.46887207	Z: 19.99511719	|  Gyro-X: 21.96685791	Y: 221.10412598	Z: -183.41354370
        Accel-X: 19.99511719	Y: 11.35559082	Z: 19.99511719	|  Gyro-X: -165.55892944	Y: 167.22625732	Z: -147.70431519
        Accel-X: 19.99511719	Y: 1.71691895	Z: 5.87280273	|  Gyro-X: -241.78497314	Y: 213.20861816	Z: -70.61843872
        Accel-X: 19.99511719	Y: -0.22399902	Z: 2.86743164	|  Gyro-X: -232.73056030	Y: 244.88037109	Z: -73.63159180
        Accel-X: 19.99511719	Y: -2.06909180	Z: -0.84716797	|  Gyro-X: -151.33056641	Y: 244.88037109	Z: -85.87112427
        Accel-X: 19.99511719	Y: -2.99804688	Z: -4.11804199	|  Gyro-X: -88.13659668	Y: 244.88037109	Z: -75.64285278
        Accel-X: 17.71728516	Y: -2.60681152	Z: -7.08129883	|  Gyro-X: -37.27935791	Y: 244.88037109	Z: -68.47259521
        Accel-X: 14.96032715	Y: -2.20336914	Z: -9.72229004	|  Gyro-X: 17.31628418	Y: 244.88037109	Z: -68.24829102
        Accel-X: 10.58959961	Y: 0.03112793	Z: -8.58398438	|  Gyro-X: 35.97091675	Y: 244.88037109	Z: -69.42962646
        Accel-X: 7.16308594	Y: -0.35339355	Z: -7.44384766	|  Gyro-X: 37.80273438	Y: 237.64282227	Z: -77.49710083
        Accel-X: 4.39331055	Y: -2.14721680	Z: -6.80725098	|  Gyro-X: 16.88262939	Y: 192.90161133	Z: -74.88021851
        Accel-X: 0.24902344	Y: -2.49816895	Z: -4.70642090	|  Gyro-X: -12.61337280	Y: 153.95492554	Z: -57.47421265
        Accel-X: -0.54382324	Y: -1.94519043	Z: -2.37121582	|  Gyro-X: -17.39852905	Y: 101.80419922	Z: -43.18603516
        Accel-X: -1.56921387	Y: -2.21435547	Z: -0.63781738	|  Gyro-X: 2.04864502	Y: 72.47268677	Z: -38.31863403
        Accel-X: -2.40356445	Y: -1.29516602	Z: 1.09924316	|  Gyro-X: 3.82064819	Y: 46.36367798	Z: -22.23602295
        Accel-X: -2.92663574	Y: -1.35192871	Z: 4.40979004	|  Gyro-X: -22.59490967	Y: 16.59851074	Z: -1.62246704
        Accel-X: -2.89672852	Y: -0.86730957	Z: 6.76757812	|  Gyro-X: -6.33285522	Y: 10.76660156	Z: 0.43365479
        Accel-X: -3.02307129	Y: -1.29333496	Z: 7.87475586	|  Gyro-X: 6.70669556	Y: 9.01702881	Z: 5.50292969
        Accel-X: -2.33276367	Y: -0.44433594	Z: 8.66210938	|  Gyro-X: 12.12738037	Y: 3.92532349	Z: 12.74795532
        Accel-X: -2.54272461	Y: 0.11962891	Z: 9.24133301	|  Gyro-X: 17.75741577	Y: 5.47302246	Z: 12.33673096
        Accel-X: -2.49633789	Y: 0.63476562	Z: 8.86169434	|  Gyro-X: 30.98388672	Y: 5.28610229	Z: 7.49176025
