Accel-X: 8.87512207	Y: -1.62963867	Z: -0.13183594	|  Gyro-X: 16.59851074	Y: -2.40005493	Z: -8.74786377
        Accel-X: 9.06982422	Y: -1.55517578	Z: -0.08544922	|  Gyro-X: 6.86370850	Y: -1.48040771	Z: -6.92352295
        Accel-X: 9.14245605	Y: -1.62536621	Z: -0.06225586	|  Gyro-X: -2.81127930	Y: -0.37384033	Z: -5.22628784
        Accel-X: 9.27307129	Y: -1.72180176	Z: 0.09155273	|  Gyro-X: -3.96270752	Y: 0.21682739	Z: -3.91784668
        Accel-X: 9.35607910	Y: -1.59667969	Z: 0.22277832	|  Gyro-X: -4.68795776	Y: -0.51589966	Z: -3.58886719
        Accel-X: 9.35485840	Y: -1.48681641	Z: 0.45959473	|  Gyro-X: -6.92352295	Y: 0.47851562	Z: -2.96829224
        Accel-X: 9.30175781	Y: -1.52648926	Z: 0.37475586	|  Gyro-X: -6.96838379	Y: 1.56265259	Z: -2.43743896
        Accel-X: 9.25842285	Y: -1.70471191	Z: 0.28015137	|  Gyro-X: -1.87667847	Y: 3.03558350	Z: -1.45797729
        Accel-X: 9.50439453	Y: -1.79931641	Z: 0.17456055	|  Gyro-X: 2.21313477	Y: 3.17764282	Z: -1.60751343
        Accel-X: 9.80590820	Y: -1.82189941	Z: 0.24780273	|  Gyro-X: 5.39825439	Y: 3.88046265	Z: -1.66732788
        Accel-X: 9.42810059	Y: -1.36840820	Z: 0.08789062	|  Gyro-X: 3.68606567	Y: 7.19268799	Z: -0.47851562
        Accel-X: 9.04968262	Y: -1.35009766	Z: -0.14648438	|  Gyro-X: -0.35888672	Y: 10.36285400	Z: 2.69165039
        Accel-X: 8.73413086	Y: -1.46057129	Z: -0.35156250	|  Gyro-X: -3.38699341	Y: 10.60958862	Z: 6.49734497
        Accel-X: 8.54309082	Y: -1.28967285	Z: -0.23254395	|  Gyro-X: -3.49166870	Y: 8.75534058	Z: 8.15719604
        Accel-X: 8.47839355	Y: -1.27319336	Z: -0.04699707	|  Gyro-X: -0.94207764	Y: 6.19079590	Z: 5.92910767
        Accel-X: 8.54309082	Y: -1.32995605	Z: 0.07995605	|  Gyro-X: 10.33294678	Y: 2.54959106	Z: -3.05053711
        Accel-X: 8.50769043	Y: -1.14562988	Z: 0.19470215	|  Gyro-X: 10.43014526	Y: -0.18692017	Z: -8.40393066
        Accel-X: 8.49365234	Y: -1.42028809	Z: 0.14099121	|  Gyro-X: 2.45239258	Y: -2.77389526	Z: -9.88433838
        Accel-X: 8.84216309	Y: -2.21496582	Z: -0.01647949	|  Gyro-X: 0.90469360	Y: -5.89920044	Z: -10.51986694
        Accel-X: 9.29931641	Y: -2.50671387	Z: 0.20690918	|  Gyro-X: 10.02639771	Y: -7.03567505	Z: -13.66012573
        Accel-X: 9.01550293	Y: -2.08984375	Z: 0.47729492	|  Gyro-X: 12.26196289	Y: -5.91415405	Z: -14.79660034
        Accel-X: 8.92211914	Y: -2.27539062	Z: 0.41625977	|  Gyro-X: 5.47302246	Y: -5.75714111	Z: -12.32925415
        Accel-X: 8.87145996	Y: -2.41455078	Z: 0.27465820	|  Gyro-X: -0.52337646	Y: -4.19448853	Z: -7.76092529
        Accel-X: 8.93554688	Y: -2.34924316	Z: 0.26489258	|  Gyro-X: 5.48797607	Y: -4.72534180	Z: -6.03378296
        Accel-X: 8.97460938	Y: -2.23144531	Z: 0.68908691	|  Gyro-X: 10.72174072	Y: -7.26745605	Z: -4.97955322
        Accel-X: 8.95507812	Y: -2.10266113	Z: 2.23815918	|  Gyro-X: 22.84164429	Y: -6.24313354	Z: -7.20764160
        Accel-X: 9.30786133	Y: -1.46972656	Z: 3.50769043	|  Gyro-X: 29.41375732	Y: -3.52157593	Z: -8.32916260
        Accel-X: 10.24780273	Y: -4.02709961	Z: 4.92126465	|  Gyro-X: 38.08685303	Y: 1.90658569	Z: -2.13088989
        Accel-X: 11.34094238	Y: -5.99731445	Z: 7.67517090	|  Gyro-X: 57.70599365	Y: 0.50842285	Z: 6.15341187
        Accel-X: 11.61315918	Y: -9.77355957	Z: 9.47265625	|  Gyro-X: 110.66421509	Y: 17.37609863	Z: 15.31250000
        Accel-X: 11.77551270	Y: -10.83801270	Z: 13.39538574	|  Gyro-X: 139.52468872	Y: 45.84030151	Z: 26.94641113
        Accel-X: 14.40185547	Y: -9.63562012	Z: 18.64379883	|  Gyro-X: 128.55621338	Y: 119.38964844	Z: 52.35260010
        Accel-X: 16.53076172	Y: -10.93994141	Z: 19.99511719	|  Gyro-X: 75.47836304	Y: 188.24356079	Z: 62.20703125
        Accel-X: 19.84436035	Y: -12.85888672	Z: 19.81872559	|  Gyro-X: 57.40692139	Y: 243.13827515	Z: 97.75924683
        Accel-X: 19.99511719	Y: -12.33215332	Z: 15.35705566	|  Gyro-X: 74.08020020	Y: 244.88037109	Z: 124.14489746
        Accel-X: 19.99511719	Y: -11.07543945	Z: 7.79052734	|  Gyro-X: 91.88995361	Y: 244.88037109	Z: 142.82196045
        Accel-X: 19.99511719	Y: -8.16650391	Z: 2.41088867	|  Gyro-X: 110.07354736	Y: 244.88037109	Z: 149.74548340
        Accel-X: 19.60449219	Y: -3.06030273	Z: -0.69335938	|  Gyro-X: 126.35055542	Y: 244.88037109	Z: 118.02886963
        Accel-X: 14.54528809	Y: -0.75134277	Z: -1.16577148	|  Gyro-X: 130.81420898	Y: 242.81677246	Z: 49.35440063
        Accel-X: 12.08190918	Y: -1.32385254	Z: -1.60888672	|  Gyro-X: 116.56341553	Y: 208.14682007	Z: 24.35943604
        Accel-X: 8.68713379	Y: 0.26367188	Z: -2.83264160	|  Gyro-X: 89.87869263	Y: 179.77233887	Z: 10.73669434
        Accel-X: 7.03186035	Y: 0.69763184	Z: -2.48046875	|  Gyro-X: 80.12145996	Y: 151.71936035	Z: 7.42446899
        Accel-X: 5.37963867	Y: -0.25695801	Z: -2.45239258	|  Gyro-X: 83.17947388	Y: 129.42352295	Z: 2.39257812
        Accel-X: 2.58483887	Y: 0.66894531	Z: -1.69372559	|  Gyro-X: 79.24667358	Y: 107.04544067	Z: 0.23178101
        Accel-X: 1.35070801	Y: 1.39282227	Z: -0.46203613	|  Gyro-X: 64.89120483	Y: 83.20190430	Z: -3.00567627
        Accel-X: 0.69519043	Y: 1.04797363	Z: 0.38818359	|  Gyro-X: 58.19198608	Y: 59.50790405	Z: -14.10125732
        Accel-X: -0.72753906	Y: 0.55847168	Z: 2.57751465	|  Gyro-X: 37.87002563	Y: 30.69229126	Z: -13.52554321
        Accel-X: -0.99121094	Y: 0.82519531	Z: 3.85681152	|  Gyro-X: 32.34466553	Y: 19.33502197	Z: -15.19287109
        Accel-X: -1.21520996	Y: 1.11572266	Z: 5.31127930	|  Gyro-X: 32.12783813	Y: 9.77966309	Z: -16.62094116
        Accel-X: -1.12304688	Y: 0.82397461	Z: 6.70349121	|  Gyro-X: 30.37078857	Y: 6.38519287	Z: -16.76300049
        Accel-X: -1.45385742	Y: 0.79040527	Z: 7.42553711	|  Gyro-X: 24.15756226	Y: 2.74398804	Z: -12.97973633
        Accel-X: -0.91796875	Y: 0.76171875	Z: 8.53454590	|  Gyro-X: 19.37988281	Y: -0.17944336	Z: -10.64697266
        Accel-X: -1.06567383	Y: 1.03393555	Z: 8.87390137	|  Gyro-X: 14.95361328	Y: -1.08413696	Z: -6.62445068
        Accel-X: -1.13281250	Y: 1.29699707	Z: 9.15527344	|  Gyro-X: 12.50869751	Y: -2.60940552	Z: -6.66931152
        Accel-X: -1.37939453	Y: 1.22253418	Z: 9.67346191	|  Gyro-X: 8.08990479	Y: -3.77578735	Z: -6.90109253
        Accel-X: -1.00463867	Y: 1.24267578	Z: 9.97070312	|  Gyro-X: -1.71966553	Y: -3.36456299	Z: -5.27862549
        Accel-X: -1.02172852	Y: 1.11938477	Z: 10.11657715	|  Gyro-X: -9.60021973	Y: -0.28411865	Z: -0.02990723
        Accel-X: -1.20727539	Y: 1.02905273	Z: 10.01098633	|  Gyro-X: -6.56463623	Y: 1.62246704	Z: -0.07476807
        Accel-X: -1.33728027	Y: 0.90698242	Z: 10.05798340	|  Gyro-X: 4.90478516	Y: 0.35888672	Z: -5.16647339
        Accel-X: -1.31774902	Y: 0.96374512	Z: 10.20629883	|  Gyro-X: 6.04873657	Y: 0.08224487	Z: -6.74407959
        Accel-X: -1.11022949	Y: 0.55541992	Z: 10.22766113	|  Gyro-X: -4.67300415	Y: 1.95144653	Z: -3.03558350
        Accel-X: -1.13769531	Y: 0.47119141	Z: 10.09521484	|  Gyro-X: -8.03756714	Y: 3.16268921	Z: -3.61129761
        Accel-X: -1.23718262	Y: 0.74218750	Z: 9.87854004	|  Gyro-X: -1.13647461	Y: 2.81875610	Z: -6.60202026
        Accel-X: -1.23474121	Y: 0.32287598	Z: 9.80468750	|  Gyro-X: -2.68417358	Y: 1.37573242	Z: -5.35339355
        Accel-X: -1.15417480	Y: 0.27282715	Z: 9.66796875	|  Gyro-X: -3.54400635	Y: 1.37573242	Z: -3.98513794
        Accel-X: -1.26037598	Y: 0.34790039	Z: 9.63439941	|  Gyro-X: -3.91036987	Y: -0.02243042	Z: -3.75335693
        Accel-X: -1.36047363	Y: 0.26489258	Z: 9.91699219	|  Gyro-X: -0.90469360	Y: -0.94955444	Z: -4.36645508
        Accel-X: -1.38916016	Y: 0.34118652	Z: 9.92248535	|  Gyro-X: 0.35888672	Y: 0.24673462	Z: -3.71597290
        Accel-X: -1.28540039	Y: 0.48217773	Z: 10.03234863	|  Gyro-X: 1.60003662	Y: -0.82244873	Z: -5.49545288
        Accel-X: -1.31835938	Y: 0.65307617	Z: 10.03906250	|  Gyro-X: 3.56643677	Y: -2.26547241	Z: -7.46932983
        Accel-X: -1.21887207	Y: 0.30151367	Z: 10.20385742	|  Gyro-X: 1.21124268	Y: -2.16079712	Z: -6.57958984
        Accel-X: -1.15539551	Y: 0.27709961	Z: 10.44311523	|  Gyro-X: -0.57571411	Y: 0.94207764	Z: -4.63562012
        Accel-X: -1.28173828	Y: 0.09460449	Z: 10.35583496	|  Gyro-X: 4.30664062	Y: 1.67480469	Z: -6.29547119
        Accel-X: -1.29638672	Y: 0.35217285	Z: 10.33691406	|  Gyro-X: 10.31051636	Y: 0.82244873	Z: -7.51419067
        Accel-X: -1.38916016	Y: 0.33325195	Z: 10.24902344	|  Gyro-X: 8.68057251	Y: 1.36077881	Z: -6.09359741
        Accel-X: -1.27319336	Y: 0.32714844	Z: 10.18798828	|  Gyro-X: 6.93847656	Y: 2.07855225	Z: -5.15151978
        Accel-X: -1.12121582	Y: 0.34301758	Z: 10.14526367	|  Gyro-X: 7.68615723	Y: 2.73651123	Z: -5.53283691
