Accel-X: 9.78637695	Y: 0.08056641	Z: 0.74035645	|  Gyro-X: -8.35159302	Y: -1.24862671	Z: -6.38519287
        Accel-X: 9.77783203	Y: 0.06164551	Z: 0.76416016	|  Gyro-X: -9.23385620	Y: -0.75515747	Z: -5.94406128
        Accel-X: 9.72229004	Y: -0.01159668	Z: 0.73059082	|  Gyro-X: -7.88803101	Y: -0.33645630	Z: -5.71975708
        Accel-X: 9.71130371	Y: 0.07019043	Z: 0.72509766	|  Gyro-X: -6.72912598	Y: -0.59814453	Z: -5.46554565
        Accel-X: 9.76257324	Y: 0.07141113	Z: 0.72082520	|  Gyro-X: -7.11791992	Y: -0.59066772	Z: -5.33843994
        Accel-X: 9.72534180	Y: 0.09399414	Z: 0.64331055	|  Gyro-X: -7.02819824	Y: 0.12710571	Z: -4.90478516
        Accel-X: 9.67041016	Y: 0.08544922	Z: 0.65246582	|  Gyro-X: -7.54409790	Y: 0.01495361	Z: -4.94216919
        Accel-X: 9.69665527	Y: 0.14709473	Z: 0.65002441	|  Gyro-X: -7.64129639	Y: -0.14953613	Z: -5.09170532
        Accel-X: 9.72961426	Y: 0.12390137	Z: 0.67626953	|  Gyro-X: -7.94036865	Y: -0.40374756	Z: -5.41320801
        Accel-X: 9.70642090	Y: 0.11108398	Z: 0.63781738	|  Gyro-X: -8.45626831	Y: -0.43365479	Z: -5.28610229
        Accel-X: 9.73327637	Y: 0.06347656	Z: 0.55786133	|  Gyro-X: -7.90298462	Y: -0.68038940	Z: -5.18142700
        Accel-X: 9.71801758	Y: 0.11657715	Z: 0.60791016	|  Gyro-X: -7.85064697	Y: -1.39068604	Z: -5.27862549
        Accel-X: 9.73754883	Y: 0.09094238	Z: 0.67138672	|  Gyro-X: -7.70858765	Y: -1.28601074	Z: -6.01882935
        Accel-X: 9.71130371	Y: 0.12390137	Z: 0.58471680	|  Gyro-X: -7.50671387	Y: -0.77011108	Z: -6.09359741
        Accel-X: 9.63928223	Y: 0.06896973	Z: 0.66040039	|  Gyro-X: -8.13476562	Y: -1.00936890	Z: -5.83190918
        Accel-X: 9.77294922	Y: 0.04516602	Z: 0.73730469	|  Gyro-X: -7.47680664	Y: -1.48040771	Z: -5.69732666
        Accel-X: 9.72839355	Y: 0.09216309	Z: 0.67382812	|  Gyro-X: -7.03567505	Y: -1.46545410	Z: -6.07116699
        Accel-X: 9.74060059	Y: 0.01464844	Z: 0.69396973	|  Gyro-X: -6.24313354	Y: -1.27105713	Z: -6.02630615
        Accel-X: 9.83215332	Y: -0.17639160	Z: 0.78002930	|  Gyro-X: -4.22439575	Y: -1.45797729	Z: -6.29547119
        Accel-X: 9.79064941	Y: -0.26733398	Z: 0.89416504	|  Gyro-X: -0.47103882	Y: -2.04116821	Z: -6.62445068
        Accel-X: 9.63317871	Y: -0.20629883	Z: 1.01013184	|  Gyro-X: 3.59634399	Y: -2.22061157	Z: -7.02072144
        Accel-X: 9.66369629	Y: -0.43762207	Z: 0.98388672	|  Gyro-X: 6.68426514	Y: -0.97946167	Z: -6.66183472
        Accel-X: 9.59960938	Y: -0.96191406	Z: 1.53259277	|  Gyro-X: 12.92739868	Y: 1.51031494	Z: -6.46743774
        Accel-X: 9.78637695	Y: -0.88989258	Z: 2.26135254	|  Gyro-X: 32.09793091	Y: 1.48788452	Z: -8.62823486
        Accel-X: 9.82788086	Y: -0.84838867	Z: 2.51037598	|  Gyro-X: 35.49987793	Y: 4.42626953	Z: -6.37023926
        Accel-X: 9.42626953	Y: -0.84350586	Z: 2.67883301	|  Gyro-X: 32.72598267	Y: 7.63381958	Z: -4.06738281
        Accel-X: 10.04943848	Y: -1.39770508	Z: 3.13110352	|  Gyro-X: 29.78012085	Y: 9.40582275	Z: -2.69165039
        Accel-X: 10.43090820	Y: -2.56896973	Z: 3.90747070	|  Gyro-X: 49.75814819	Y: 19.92568970	Z: 0.56076050
        Accel-X: 10.19958496	Y: -1.41967773	Z: 5.22766113	|  Gyro-X: 66.25198364	Y: 22.07153320	Z: -2.03369141
        Accel-X: 10.88928223	Y: -1.47155762	Z: 5.82580566	|  Gyro-X: 61.28738403	Y: 32.41195679	Z: 1.89163208
        Accel-X: 11.34155273	Y: -2.56530762	Z: 5.93933105	|  Gyro-X: 60.41259766	Y: 57.66113281	Z: 8.71795654
        Accel-X: 11.34643555	Y: -2.56958008	Z: 6.97326660	|  Gyro-X: 77.99804688	Y: 70.08010864	Z: 11.03576660
        Accel-X: 11.61804199	Y: -1.37939453	Z: 7.93212891	|  Gyro-X: 87.80761719	Y: 78.17001343	Z: 15.94802856
        Accel-X: 12.70446777	Y: -1.10168457	Z: 8.35205078	|  Gyro-X: 71.15676880	Y: 94.42459106	Z: 23.75381470
        Accel-X: 12.78076172	Y: -2.56530762	Z: 8.38012695	|  Gyro-X: 50.81985474	Y: 121.30371094	Z: 36.15036011
        Accel-X: 13.25683594	Y: -1.94519043	Z: 7.91137695	|  Gyro-X: 49.76562500	Y: 129.74502563	Z: 40.71121216
        Accel-X: 13.75366211	Y: -1.31286621	Z: 7.94067383	|  Gyro-X: 48.22540283	Y: 140.41442871	Z: 43.82156372
        Accel-X: 13.80615234	Y: -1.50390625	Z: 7.78747559	|  Gyro-X: 43.97857666	Y: 151.24084473	Z: 44.25521851
        Accel-X: 13.82080078	Y: -1.47949219	Z: 7.15270996	|  Gyro-X: 33.48861694	Y: 158.59802246	Z: 48.78616333
        Accel-X: 13.04077148	Y: -0.81787109	Z: 6.29882812	|  Gyro-X: 24.53140259	Y: 160.97564697	Z: 50.78994751
        Accel-X: 12.07641602	Y: -0.85693359	Z: 6.34094238	|  Gyro-X: 13.84704590	Y: 161.94015503	Z: 50.13946533
        Accel-X: 11.33972168	Y: -1.39160156	Z: 6.76635742	|  Gyro-X: 12.56103516	Y: 162.22427368	Z: 49.04037476
        Accel-X: 10.28991699	Y: 0.02746582	Z: 6.87255859	|  Gyro-X: 23.71643066	Y: 159.24102783	Z: 45.86273193
        Accel-X: 9.42504883	Y: 0.09887695	Z: 6.71142578	|  Gyro-X: 22.25845337	Y: 157.34939575	Z: 42.26638794
        Accel-X: 8.22387695	Y: -0.17517090	Z: 7.11486816	|  Gyro-X: 27.17819214	Y: 153.15490723	Z: 35.81390381
        Accel-X: 7.77648926	Y: 0.52368164	Z: 7.23876953	|  Gyro-X: 34.93911743	Y: 141.83502197	Z: 26.49780273
        Accel-X: 7.25097656	Y: 0.80139160	Z: 6.92932129	|  Gyro-X: 23.20053101	Y: 138.61999512	Z: 24.05288696
        Accel-X: 5.41198730	Y: 0.35949707	Z: 6.58142090	|  Gyro-X: 17.75741577	Y: 133.87222290	Z: 22.05657959
        Accel-X: 4.73571777	Y: 0.68603516	Z: 6.48559570	|  Gyro-X: 22.88650513	Y: 125.79727173	Z: 17.45834351
        Accel-X: 4.14611816	Y: 1.08093262	Z: 6.45996094	|  Gyro-X: 24.19494629	Y: 113.72970581	Z: 12.30682373
        Accel-X: 2.95776367	Y: 0.87890625	Z: 5.96679688	|  Gyro-X: 20.13504028	Y: 106.91085815	Z: 8.59085083
        Accel-X: 2.14477539	Y: 0.82458496	Z: 5.61157227	|  Gyro-X: 18.46771240	Y: 96.65267944	Z: 4.88983154
        Accel-X: 1.67907715	Y: 0.99609375	Z: 5.45349121	|  Gyro-X: 17.32376099	Y: 84.72717285	Z: 1.95892334
        Accel-X: 0.47424316	Y: 1.31835938	Z: 5.20202637	|  Gyro-X: 15.03585815	Y: 69.26513672	Z: -2.22808838
        Accel-X: 0.26794434	Y: 1.06567383	Z: 5.11474609	|  Gyro-X: 17.06954956	Y: 59.63500977	Z: -6.36276245
        Accel-X: -0.19348145	Y: 1.31835938	Z: 4.88037109	|  Gyro-X: 17.42095947	Y: 49.23477173	Z: -9.85443115
        Accel-X: -0.85754395	Y: 1.69006348	Z: 5.07324219	|  Gyro-X: 7.74597168	Y: 31.55960083	Z: -13.33114624
        Accel-X: -0.95031738	Y: 1.44409180	Z: 5.40405273	|  Gyro-X: -2.60940552	Y: 22.74444580	Z: -16.86767578
        Accel-X: -1.57104492	Y: 1.07727051	Z: 5.99487305	|  Gyro-X: -10.07873535	Y: 15.38726807	Z: -16.62841797
        Accel-X: -1.87316895	Y: 1.44409180	Z: 6.56555176	|  Gyro-X: -5.36834717	Y: 4.82254028	Z: -14.60220337
        Accel-X: -1.84814453	Y: 1.54418945	Z: 7.14172363	|  Gyro-X: 0.91964722	Y: 0.57571411	Z: -17.13684082
        Accel-X: -1.75109863	Y: 0.96252441	Z: 7.38403320	|  Gyro-X: 1.69723511	Y: -2.80380249	Z: -18.28826904
        Accel-X: -1.62963867	Y: 0.71838379	Z: 7.85705566	|  Gyro-X: -1.84677124	Y: -6.57211304	Z: -16.43402100
        Accel-X: -2.00378418	Y: 1.64733887	Z: 8.40087891	|  Gyro-X: -10.48248291	Y: -11.43951416	Z: -11.51428223
        Accel-X: -1.93847656	Y: 1.55639648	Z: 8.61572266	|  Gyro-X: -12.52365112	Y: -11.78344727	Z: -12.79281616
        Accel-X: -2.10205078	Y: 1.32568359	Z: 9.05334473	|  Gyro-X: -9.70489502	Y: -13.74237061	Z: -15.03585815
        Accel-X: -1.78222656	Y: 1.59423828	Z: 9.26818848	|  Gyro-X: -7.14782715	Y: -17.74993896	Z: -16.23962402
        Accel-X: -2.02819824	Y: 1.55883789	Z: 9.16625977	|  Gyro-X: -11.83578491	Y: -20.28457642	Z: -17.12936401
        Accel-X: -1.71691895	Y: 1.28967285	Z: 9.43908691	|  Gyro-X: -14.37789917	Y: -23.97811890	Z: -19.34249878
        Accel-X: -1.47277832	Y: 1.42028809	Z: 9.61791992	|  Gyro-X: -11.28997803	Y: -26.58004761	Z: -22.11639404
        Accel-X: -1.21826172	Y: 1.49353027	Z: 9.47937012	|  Gyro-X: -8.49365234	Y: -26.16134644	Z: -24.13513184
        Accel-X: -1.32324219	Y: 1.06018066	Z: 9.41650391	|  Gyro-X: -10.96099854	Y: -25.83236694	Z: -23.07342529
        Accel-X: -0.88684082	Y: 1.01196289	Z: 9.97619629	|  Gyro-X: -9.34600830	Y: -26.14639282	Z: -22.75939941
        Accel-X: -0.85693359	Y: 0.96069336	Z: 10.24597168	|  Gyro-X: -8.05999756	Y: -23.05099487	Z: -20.55374146
        Accel-X: -0.95092773	Y: 0.81176758	Z: 9.96643066	|  Gyro-X: -11.30493164	Y: -16.04522705	Z: -15.31997681
        Accel-X: -0.83862305	Y: 0.89294434	Z: 10.01708984	|  Gyro-X: -11.14791870	Y: -13.67507935	Z: -13.36105347
        Accel-X: -0.84472656	Y: 1.17187500	Z: 10.04394531	|  Gyro-X: -8.32168579	Y: -13.07693481	Z: -13.29376221
        Accel-X: -0.98083496	Y: 1.44287109	Z: 9.95727539	|  Gyro-X: -8.91983032	Y: -13.16665649	Z: -13.48068237
        Accel-X: -0.59631348	Y: 1.05651855	Z: 10.22766113	|  Gyro-X: -7.91046143	Y: -12.30682373	Z: -14.17602539
        Accel-X: -0.60607910	Y: 1.03759766	Z: 10.19042969	|  Gyro-X: -7.97027588	Y: -9.86938477	Z: -13.58535767
        Accel-X: -0.65185547	Y: 1.12792969	Z: 10.18493652	|  Gyro-X: -9.68994141	Y: -7.71606445	Z: -11.23764038
        Accel-X: -0.49194336	Y: 1.09558105	Z: 10.10437012	|  Gyro-X: -7.27493286	Y: -3.71597290	Z: -9.35348511
        Accel-X: -0.54931641	Y: 0.98999023	Z: 9.78332520	|  Gyro-X: -6.51229858	Y: -3.24493408	Z: -8.77777100
        Accel-X: -0.65917969	Y: 1.12182617	Z: 9.91027832	|  Gyro-X: -7.20016479	Y: -3.31222534	Z: -7.42446899
        Accel-X: -0.60852051	Y: 1.19262695	Z: 10.02563477	|  Gyro-X: -8.90487671	Y: -2.57949829	Z: -6.39266968
        Accel-X: -0.56579590	Y: 1.09863281	Z: 9.67834473	|  Gyro-X: -12.74047852	Y: -0.82992554	Z: -5.30853271
        Accel-X: -0.69763184	Y: 1.11938477	Z: 9.70825195	|  Gyro-X: -11.86569214	Y: -1.80938721	Z: -5.87677002
        Accel-X: -0.66528320	Y: 1.25122070	Z: 9.91516113	|  Gyro-X: -10.42266846	Y: -2.60940552	Z: -6.37771606
        Accel-X: -0.60302734	Y: 1.00097656	Z: 9.83398438	|  Gyro-X: -7.59643555	Y: -1.71966553	Z: -6.83380127
        Accel-X: -0.50842285	Y: 0.93933105	Z: 9.80651855	|  Gyro-X: -4.77020264	Y: -0.84487915	Z: -5.72723389
        Accel-X: -0.55847168	Y: 1.07360840	Z: 9.79187012	|  Gyro-X: -6.05621338	Y: -1.03179932	Z: -5.53283691
        Accel-X: -0.70068359	Y: 1.30981445	Z: 9.85839844	|  Gyro-X: -10.40023804	Y: -1.31591797	Z: -4.21691895
        Accel-X: -0.58959961	Y: 1.08337402	Z: 9.87609863	|  Gyro-X: -17.39852905	Y: -0.41870117	Z: -3.95523071
        Accel-X: -0.59204102	Y: 1.10839844	Z: 9.81445312	|  Gyro-X: -16.14242554	Y: -0.91964722	Z: -4.71786499
        Accel-X: -0.67993164	Y: 1.10473633	Z: 9.79980469	|  Gyro-X: -12.45635986	Y: -1.57012939	Z: -5.53283691
        Accel-X: -0.58898926	Y: 1.11755371	Z: 9.74182129	|  Gyro-X: -5.67489624	Y: -1.46545410	Z: -6.16836548
