Accel-X: 9.76684570	Y: 0.66284180	Z: 0.30395508	|  Gyro-X: -8.42636108	Y: 0.07476807	Z: -4.94216919
        Accel-X: 9.68688965	Y: 0.67565918	Z: 0.16845703	|  Gyro-X: -8.72543335	Y: 0.20935059	Z: -3.85803223
        Accel-X: 9.74060059	Y: 0.75073242	Z: 0.22033691	|  Gyro-X: -8.26934814	Y: -0.62057495	Z: -3.80569458
        Accel-X: 9.74670410	Y: 0.78369141	Z: 0.34729004	|  Gyro-X: -8.13476562	Y: -0.59066772	Z: -4.73281860
        Accel-X: 9.71130371	Y: 0.76538086	Z: 0.28686523	|  Gyro-X: -8.28430176	Y: -0.20935059	Z: -5.39825439
        Accel-X: 9.77050781	Y: 0.68420410	Z: 0.27160645	|  Gyro-X: -8.73291016	Y: -0.68038940	Z: -5.63003540
        Accel-X: 9.75158691	Y: 0.76965332	Z: 0.26428223	|  Gyro-X: -8.08990479	Y: -0.57571411	Z: -4.71786499
        Accel-X: 9.76562500	Y: 0.72448730	Z: 0.27770996	|  Gyro-X: -8.29925537	Y: -0.77758789	Z: -4.70291138
        Accel-X: 9.73632812	Y: 0.77514648	Z: 0.22338867	|  Gyro-X: -7.98522949	Y: -0.58319092	Z: -5.72723389
        Accel-X: 9.74609375	Y: 0.72937012	Z: 0.28564453	|  Gyro-X: -8.03009033	Y: -0.74020386	Z: -6.10855103
        Accel-X: 9.78027344	Y: 0.67260742	Z: 0.27770996	|  Gyro-X: -8.80020142	Y: -0.57571411	Z: -6.10855103
        Accel-X: 9.75708008	Y: 0.67871094	Z: 0.27832031	|  Gyro-X: -9.04693604	Y: -0.34393311	Z: -5.51040649
        Accel-X: 9.69116211	Y: 0.71044922	Z: 0.20568848	|  Gyro-X: -9.33853149	Y: -0.39627075	Z: -4.82254028
        Accel-X: 9.72290039	Y: 0.71655273	Z: 0.27770996	|  Gyro-X: -8.68057251	Y: -0.52337646	Z: -5.18142700
        Accel-X: 9.68078613	Y: 0.69946289	Z: 0.31188965	|  Gyro-X: -8.77029419	Y: -0.34393311	Z: -5.73471069
        Accel-X: 9.75769043	Y: 0.65612793	Z: 0.25756836	|  Gyro-X: -8.91983032	Y: -0.23925781	Z: -6.22817993
        Accel-X: 9.74853516	Y: 0.65795898	Z: 0.16906738	|  Gyro-X: -8.16467285	Y: 0.13458252	Z: -5.30105591
        Accel-X: 9.78515625	Y: 0.69335938	Z: 0.16784668	|  Gyro-X: -8.14224243	Y: -0.53833008	Z: -4.61318970
        Accel-X: 9.76867676	Y: 0.68481445	Z: 0.32104492	|  Gyro-X: -7.76840210	Y: -0.57571411	Z: -5.07675171
        Accel-X: 9.61120605	Y: 0.70922852	Z: 0.35644531	|  Gyro-X: -7.05062866	Y: -0.32897949	Z: -5.67489624
        Accel-X: 9.61059570	Y: 0.58715820	Z: 0.40954590	|  Gyro-X: -6.25061035	Y: -0.37384033	Z: -4.92721558
        Accel-X: 9.62097168	Y: 0.82824707	Z: 0.57312012	|  Gyro-X: -1.57012939	Y: -1.53274536	Z: -6.07116699
        Accel-X: 10.28381348	Y: 0.79772949	Z: 0.37231445	|  Gyro-X: -0.58319092	Y: -0.94207764	Z: -6.58706665
        Accel-X: 10.23132324	Y: 0.98815918	Z: 0.01770020	|  Gyro-X: -2.84118652	Y: 0.52337646	Z: -5.87677002
        Accel-X: 9.71313477	Y: 0.89111328	Z: 0.04333496	|  Gyro-X: -4.88235474	Y: 0.11962891	Z: -4.07485962
        Accel-X: 9.42687988	Y: 0.96252441	Z: 0.18676758	|  Gyro-X: -5.20385742	Y: -0.76263428	Z: -3.08792114
        Accel-X: 9.25903320	Y: 0.90637207	Z: 0.57617188	|  Gyro-X: -4.25430298	Y: -0.62805176	Z: -4.99450684
        Accel-X: 9.63439941	Y: 0.81542969	Z: 1.02111816	|  Gyro-X: -2.34024048	Y: -0.64300537	Z: -7.16278076
        Accel-X: 9.85290527	Y: 0.75500488	Z: 1.14379883	|  Gyro-X: -3.75335693	Y: 1.34582520	Z: -8.41888428
        Accel-X: 10.33386230	Y: 0.13549805	Z: 1.42028809	|  Gyro-X: -0.59814453	Y: 1.84677124	Z: -9.03198242
        Accel-X: 10.15930176	Y: -0.73913574	Z: 3.28063965	|  Gyro-X: 13.86199951	Y: -0.53833008	Z: -11.32736206
        Accel-X: 9.14733887	Y: -0.23193359	Z: 5.08972168	|  Gyro-X: 20.64346313	Y: -0.13458252	Z: -13.08441162
        Accel-X: 9.25537109	Y: -0.64636230	Z: 5.33203125	|  Gyro-X: 14.29565430	Y: 14.46014404	Z: -11.48437500
        Accel-X: 9.59716797	Y: -0.31616211	Z: 4.97558594	|  Gyro-X: 13.24142456	Y: 22.41546631	Z: -12.81524658
        Accel-X: 11.17187500	Y: -0.75988770	Z: 6.09191895	|  Gyro-X: 27.24548340	Y: 30.53527832	Z: -14.49005127
        Accel-X: 12.89062500	Y: -1.82312012	Z: 9.44030762	|  Gyro-X: 17.33871460	Y: 61.89300537	Z: -2.95333862
