Accel-X: 9.18457031	Y: 0.40710449	Z: 0.72937012	|  Gyro-X: -5.32348633	Y: -3.55148315	Z: 1.82434082
        Accel-X: 9.27490234	Y: 0.37353516	Z: 0.81787109	|  Gyro-X: -2.41500854	Y: -3.36456299	Z: -2.08602905
        Accel-X: 9.25842285	Y: 0.43090820	Z: 0.96984863	|  Gyro-X: 3.40942383	Y: -3.81317139	Z: -10.40023804
        Accel-X: 9.31274414	Y: 0.34606934	Z: 0.89477539	|  Gyro-X: 6.72912598	Y: -3.27484131	Z: -15.03585815
        Accel-X: 9.23339844	Y: 0.21179199	Z: 0.93627930	|  Gyro-X: 9.63012695	Y: -0.82244873	Z: -19.08828735
        Accel-X: 9.14367676	Y: 0.25329590	Z: 1.03637695	|  Gyro-X: 11.14044189	Y: -0.66543579	Z: -21.25656128
        Accel-X: 9.36950684	Y: 0.28137207	Z: 0.91552734	|  Gyro-X: 10.82641602	Y: -3.65615845	Z: -22.26593018
        Accel-X: 9.59167480	Y: 0.02197266	Z: 0.86730957	|  Gyro-X: 7.31979370	Y: -3.68606567	Z: -22.19863892
        Accel-X: 9.60998535	Y: -0.28137207	Z: 0.89355469	|  Gyro-X: 4.90478516	Y: -0.36636353	Z: -22.54257202
        Accel-X: 9.41467285	Y: -0.43151855	Z: 1.02722168	|  Gyro-X: 6.45996094	Y: 0.51589966	Z: -22.31079102
        Accel-X: 9.51965332	Y: -0.38330078	Z: 1.03271484	|  Gyro-X: 9.56283569	Y: -1.62246704	Z: -22.08648682
        Accel-X: 9.70031738	Y: -0.24475098	Z: 1.06506348	|  Gyro-X: 9.76470947	Y: -0.91964722	Z: -19.26025391
        Accel-X: 9.79492188	Y: -0.14160156	Z: 1.03210449	|  Gyro-X: 6.22070312	Y: 0.88226318	Z: -15.26763916
        Accel-X: 9.60510254	Y: -0.14770508	Z: 1.02050781	|  Gyro-X: 1.92153931	Y: 4.94216919	Z: -12.00027466
        Accel-X: 9.35424805	Y: -0.26428223	Z: 1.01440430	|  Gyro-X: -1.65985107	Y: 6.61697388	Z: -8.41140747
        Accel-X: 9.27307129	Y: -0.21301270	Z: 0.95764160	|  Gyro-X: -0.47851562	Y: 6.42257690	Z: -6.94595337
        Accel-X: 9.17236328	Y: 0.10742188	Z: 1.00952148	|  Gyro-X: 1.00936890	Y: 6.72164917	Z: -7.33474731
        Accel-X: 8.96362305	Y: -0.13000488	Z: 1.03149414	|  Gyro-X: 0.64300537	Y: 9.68994141	Z: -7.28240967
        Accel-X: 8.91967773	Y: -0.74096680	Z: 1.12670898	|  Gyro-X: 9.95162964	Y: 10.46752930	Z: -9.31610107
        Accel-X: 8.88732910	Y: -1.05834961	Z: 1.26953125	|  Gyro-X: 30.35583496	Y: 9.12918091	Z: -13.86947632
        Accel-X: 8.84948730	Y: -0.77087402	Z: 1.00341797	|  Gyro-X: 61.30233765	Y: 8.97964478	Z: -23.38745117
