Accel-X: 9.37500000	Y: -1.87683105	Z: 2.20825195	|  Gyro-X: -24.38186646	Y: 5.04684448	Z: -8.23196411
        Accel-X: 9.26330566	Y: -1.84570312	Z: 2.06054688	|  Gyro-X: -0.58319092	Y: -12.00027466	Z: -11.02828979
        Accel-X: 9.87854004	Y: -1.20300293	Z: 1.51733398	|  Gyro-X: 14.86389160	Y: -21.44348145	Z: -14.84146118
        Accel-X: 10.52673340	Y: -1.02783203	Z: 0.86975098	|  Gyro-X: 13.75732422	Y: -11.31240845	Z: -15.58166504
        Accel-X: 9.73327637	Y: -0.81970215	Z: 1.14624023	|  Gyro-X: 2.48977661	Y: 10.11611938	Z: -13.89190674
        Accel-X: 8.66027832	Y: -1.00708008	Z: 1.40380859	|  Gyro-X: -6.49734497	Y: 14.53491211	Z: -13.02459717
        Accel-X: 8.77868652	Y: -1.21643066	Z: 1.41296387	|  Gyro-X: -5.92910767	Y: 4.52346802	Z: -13.00216675
        Accel-X: 9.24072266	Y: -1.40197754	Z: 1.05041504	|  Gyro-X: 0.46356201	Y: -4.18701172	Z: -16.10504150
        Accel-X: 9.58007812	Y: -1.30859375	Z: 0.67810059	|  Gyro-X: 2.32528687	Y: 0.74768066	Z: -17.79479980
        Accel-X: 9.35180664	Y: -1.30920410	Z: 0.63964844	|  Gyro-X: 1.51779175	Y: 7.49923706	Z: -19.07333374
        Accel-X: 9.03991699	Y: -1.46972656	Z: 0.74157715	|  Gyro-X: 2.63183594	Y: 8.29925537	Z: -19.48455811
        Accel-X: 9.09057617	Y: -1.39404297	Z: 0.99609375	|  Gyro-X: 6.77398682	Y: 3.24493408	Z: -21.51077271
        Accel-X: 9.34570312	Y: -1.33422852	Z: 0.84045410	|  Gyro-X: 8.59085083	Y: -1.35330200	Z: -22.53509521
        Accel-X: 9.41650391	Y: -1.51611328	Z: 0.60852051	|  Gyro-X: 8.33663940	Y: 1.30096436	Z: -22.84164429
        Accel-X: 9.19372559	Y: -1.60034180	Z: 0.61340332	|  Gyro-X: 8.88244629	Y: 6.62445068	Z: -22.77435303
        Accel-X: 8.88000488	Y: -1.58813477	Z: 0.64575195	|  Gyro-X: 14.56481934	Y: 5.98144531	Z: -23.03604126
