Accel-X: 9.06005859	Y: -1.42395020	Z: 1.56555176	|  Gyro-X: -3.38699341	Y: 2.90847778	Z: 0.02990723
        Accel-X: 9.02099609	Y: -1.42517090	Z: 1.62536621	|  Gyro-X: -1.95892334	Y: 3.06549072	Z: -0.32897949
        Accel-X: 9.03198242	Y: -1.41418457	Z: 1.64550781	|  Gyro-X: -0.55328369	Y: 3.34960938	Z: -0.89721680
        Accel-X: 9.02221680	Y: -1.27929688	Z: 1.59667969	|  Gyro-X: 0.77758789	Y: 4.10476685	Z: -1.48788452
        Accel-X: 9.02465820	Y: -1.23107910	Z: 1.57287598	|  Gyro-X: 0.77011108	Y: 3.59634399	Z: -1.18881226
        Accel-X: 9.08447266	Y: -1.20178223	Z: 1.56005859	|  Gyro-X: -0.46356201	Y: 3.31970215	Z: -1.63742065
        Accel-X: 9.09423828	Y: -1.28356934	Z: 1.52954102	|  Gyro-X: -1.74209595	Y: 2.88604736	Z: -1.36825562
        Accel-X: 8.96057129	Y: -1.35314941	Z: 1.52160645	|  Gyro-X: -1.82434082	Y: 3.70101929	Z: -2.11593628
        Accel-X: 8.96606445	Y: -1.28967285	Z: 1.58752441	|  Gyro-X: -0.15701294	Y: 2.76641846	Z: -2.48977661
        Accel-X: 8.96423340	Y: -1.31774902	Z: 1.63879395	|  Gyro-X: 2.85614014	Y: 1.89910889	Z: -4.85244751
        Accel-X: 8.96484375	Y: -1.26464844	Z: 1.67419434	|  Gyro-X: 4.29168701	Y: 1.62246704	Z: -5.69732666
        Accel-X: 8.98864746	Y: -1.25915527	Z: 1.64978027	|  Gyro-X: 5.39825439	Y: 1.39068604	Z: -6.84875488
        Accel-X: 8.95629883	Y: -1.12243652	Z: 1.74804688	|  Gyro-X: 4.70291138	Y: 1.51779175	Z: -7.72354126
        Accel-X: 9.08020020	Y: -1.17675781	Z: 1.76208496	|  Gyro-X: 2.91595459	Y: 1.83929443	Z: -7.81326294
        Accel-X: 9.09301758	Y: -1.49108887	Z: 1.69860840	|  Gyro-X: 2.82623291	Y: 2.25799561	Z: -8.65066528
        Accel-X: 9.05029297	Y: -1.33544922	Z: 1.80664062	|  Gyro-X: 6.45248413	Y: 3.63372803	Z: -10.13854980
        Accel-X: 8.95996094	Y: -1.28295898	Z: 1.76147461	|  Gyro-X: 10.47500610	Y: 3.42437744	Z: -10.93109131
        Accel-X: 8.92883301	Y: -1.17431641	Z: 1.92565918	|  Gyro-X: 12.88253784	Y: 3.02810669	Z: -11.26007080
        Accel-X: 9.04846191	Y: -1.12976074	Z: 2.05688477	|  Gyro-X: 13.09936523	Y: 2.84118652	Z: -11.75354004
        Accel-X: 9.10888672	Y: -1.11450195	Z: 2.01782227	|  Gyro-X: 13.95919800	Y: 3.40942383	Z: -11.85073853
        Accel-X: 9.01062012	Y: -1.07360840	Z: 2.03308105	|  Gyro-X: 13.34609985	Y: 3.67111206	Z: -12.56103516
        Accel-X: 9.09912109	Y: -1.06994629	Z: 1.92138672	|  Gyro-X: 13.48068237	Y: 3.59634399	Z: -12.80029297
        Accel-X: 8.96301270	Y: -1.06689453	Z: 1.93969727	|  Gyro-X: 13.77975464	Y: 5.33843994	Z: -13.16665649
        Accel-X: 8.92822266	Y: -1.05712891	Z: 2.00988770	|  Gyro-X: 13.30123901	Y: 5.14404297	Z: -13.68255615
        Accel-X: 8.93554688	Y: -1.30249023	Z: 1.73400879	|  Gyro-X: 14.60968018	Y: 4.84497070	Z: -13.35357666
        Accel-X: 8.84887695	Y: -1.28295898	Z: 1.74438477	|  Gyro-X: 21.58554077	Y: 5.67489624	Z: -14.46762085
        Accel-X: 8.83117676	Y: -0.91613770	Z: 1.87438965	|  Gyro-X: 24.68093872	Y: 4.88983154	Z: -15.95550537
        Accel-X: 8.87023926	Y: -1.14379883	Z: 1.84326172	|  Gyro-X: 26.60995483	Y: 6.09359741	Z: -16.24710083
        Accel-X: 8.80981445	Y: -1.64123535	Z: 1.69189453	|  Gyro-X: 29.44366455	Y: 5.24124146	Z: -16.81533813
        Accel-X: 8.94836426	Y: -2.38586426	Z: 1.77368164	|  Gyro-X: 35.97839355	Y: 2.51968384	Z: -16.41906738
        Accel-X: 9.02770996	Y: -3.51013184	Z: 1.96533203	|  Gyro-X: 37.44384766	Y: -0.16448975	Z: -10.36285400
        Accel-X: 9.31823730	Y: -9.41528320	Z: 3.33923340	|  Gyro-X: 46.16180420	Y: 3.05053711	Z: 44.44961548
        Accel-X: 9.37316895	Y: -11.43005371	Z: 4.59472656	|  Gyro-X: 87.23937988	Y: 3.79074097	Z: 77.40737915
        Accel-X: 10.36682129	Y: -8.12011719	Z: 6.21276855	|  Gyro-X: 92.01705933	Y: 11.43203735	Z: 115.92041016
        Accel-X: 11.14624023	Y: -9.67285156	Z: 7.33459473	|  Gyro-X: 37.46627808	Y: 41.39907837	Z: 168.99826050
        Accel-X: 12.24243164	Y: -12.85827637	Z: 8.37036133	|  Gyro-X: -18.22097778	Y: 61.93038940	Z: 220.19943237
        Accel-X: 15.64453125	Y: -13.53332520	Z: 9.32922363	|  Gyro-X: -55.69473267	Y: 74.84283447	Z: 244.44671631
        Accel-X: 18.22692871	Y: -16.87561035	Z: 8.80676270	|  Gyro-X: -103.50891113	Y: 82.44674683	Z: 244.52148438
        Accel-X: 19.98107910	Y: -18.88000488	Z: 8.27270508	|  Gyro-X: -135.60684204	Y: 75.23162842	Z: 244.52148438
        Accel-X: 19.99023438	Y: -19.99511719	Z: 5.00122070	|  Gyro-X: -153.93997192	Y: 59.71725464	Z: 244.52148438
        Accel-X: 19.29382324	Y: -19.99511719	Z: 2.72338867	|  Gyro-X: -123.69628906	Y: 19.69390869	Z: 244.52148438
        Accel-X: 19.99511719	Y: -18.72802734	Z: 2.96508789	|  Gyro-X: -38.52050781	Y: 13.27880859	Z: 244.52148438
        Accel-X: 19.97741699	Y: -16.20849609	Z: 1.78100586	|  Gyro-X: -0.53085327	Y: 24.56878662	Z: 244.52148438
        Accel-X: 17.96325684	Y: -11.12854004	Z: 2.38525391	|  Gyro-X: -11.43203735	Y: 33.48861694	Z: 244.52148438
        Accel-X: 15.36804199	Y: -5.71960449	Z: -0.10131836	|  Gyro-X: -7.87307739	Y: 16.55364990	Z: 244.52148438
        Accel-X: 14.28039551	Y: -2.06420898	Z: -1.78710938	|  Gyro-X: 31.99325562	Y: 5.85433960	Z: 244.52148438
        Accel-X: 9.96398926	Y: 4.24133301	Z: -2.19055176	|  Gyro-X: 78.22982788	Y: 13.02459717	Z: 244.52148438
        Accel-X: 4.99877930	Y: 5.10192871	Z: -2.31933594	|  Gyro-X: 111.20254517	Y: 12.91244507	Z: 244.52148438
        Accel-X: 0.72204590	Y: 7.54211426	Z: -3.04931641	|  Gyro-X: 139.25552368	Y: 10.01892090	Z: 221.27609253
        Accel-X: -5.52673340	Y: 10.50842285	Z: -3.70910645	|  Gyro-X: 130.01419067	Y: 5.70480347	Z: 143.96591187
        Accel-X: -7.02453613	Y: 9.03747559	Z: -3.47534180	|  Gyro-X: 81.60186768	Y: -9.41329956	Z: 81.78878784
        Accel-X: -6.57653809	Y: 7.07275391	Z: -2.41271973	|  Gyro-X: 45.55618286	Y: -14.72930908	Z: 33.05496216
        Accel-X: -7.96691895	Y: 4.80834961	Z: 0.11047363	|  Gyro-X: 37.26440430	Y: -7.83569336	Z: -0.85983276
        Accel-X: -9.01245117	Y: 3.67736816	Z: 0.90576172	|  Gyro-X: 28.00811768	Y: 2.84118652	Z: -25.08468628
        Accel-X: -9.71130371	Y: 1.81701660	Z: 1.13586426	|  Gyro-X: 27.42492676	Y: 9.72732544	Z: -29.24926758
        Accel-X: -11.75659180	Y: 0.82641602	Z: 1.42944336	|  Gyro-X: 32.54653931	Y: 15.98541260	Z: -29.70535278
        Accel-X: -12.21008301	Y: 1.12121582	Z: 1.30920410	|  Gyro-X: 19.51446533	Y: 19.03594971	Z: -27.68661499
        Accel-X: -12.28454590	Y: 0.53955078	Z: 1.35803223	|  Gyro-X: -5.26367188	Y: 18.31069946	Z: -21.66778564
        Accel-X: -12.82470703	Y: -0.36621094	Z: 1.06811523	|  Gyro-X: -8.12728882	Y: 15.51437378	Z: -14.07882690
        Accel-X: -12.61840820	Y: -0.50354004	Z: 0.66406250	|  Gyro-X: 10.98342896	Y: 9.47311401	Z: -11.24511719
        Accel-X: -12.22778320	Y: 1.20666504	Z: 0.59265137	|  Gyro-X: 27.23800659	Y: 3.99261475	Z: -10.29556274
        Accel-X: -11.76696777	Y: 1.61132812	Z: 0.75439453	|  Gyro-X: 7.71606445	Y: -2.90100098	Z: -9.28619385
        Accel-X: -11.43981934	Y: 0.78308105	Z: 0.89660645	|  Gyro-X: 0.26916504	Y: -5.51788330	Z: -7.92541504
        Accel-X: -11.05163574	Y: 0.39611816	Z: 0.73425293	|  Gyro-X: 11.48437500	Y: -8.15719604	Z: -9.09179688
        Accel-X: -11.07666016	Y: 0.91857910	Z: 1.07666016	|  Gyro-X: 21.22665405	Y: -8.52355957	Z: -8.83010864
        Accel-X: -11.15844727	Y: 1.38549805	Z: 1.40380859	|  Gyro-X: 16.31439209	Y: -7.46185303	Z: -7.13287354
        Accel-X: -10.92956543	Y: 0.98022461	Z: 1.24145508	|  Gyro-X: 6.60949707	Y: -5.09918213	Z: -6.47491455
        Accel-X: -11.06628418	Y: 0.49560547	Z: 0.97900391	|  Gyro-X: 4.64309692	Y: -2.10098267	Z: -4.86740112
        Accel-X: -11.20117188	Y: 0.83190918	Z: 1.25488281	|  Gyro-X: 7.84317017	Y: -1.92153931	Z: -5.22628784
        Accel-X: -11.03271484	Y: 0.64636230	Z: 1.18774414	|  Gyro-X: 8.23944092	Y: -1.15890503	Z: -4.80758667
        Accel-X: -11.16821289	Y: 0.59143066	Z: 1.21398926	|  Gyro-X: 8.87496948	Y: -0.20935059	Z: -3.84307861
        Accel-X: -11.01745605	Y: 0.54687500	Z: 1.08764648	|  Gyro-X: 7.70111084	Y: -0.02990723	Z: -3.34213257
        Accel-X: -11.06445312	Y: 0.47912598	Z: 0.96618652	|  Gyro-X: 6.58706665	Y: -0.03738403	Z: -2.34024048
        Accel-X: -11.05102539	Y: 0.54077148	Z: 0.97412109	|  Gyro-X: 5.99639893	Y: -0.44860840	Z: -2.37762451
        Accel-X: -11.03698730	Y: 0.69213867	Z: 1.12548828	|  Gyro-X: 2.43743896	Y: -0.68786621	Z: -2.20565796
        Accel-X: -11.02172852	Y: 0.52612305	Z: 1.24267578	|  Gyro-X: 1.59255981	Y: -0.83740234	Z: -1.56265259
        Accel-X: -11.05712891	Y: 0.57067871	Z: 1.18041992	|  Gyro-X: 4.18701172	Y: -0.95703125	Z: -2.29537964
        Accel-X: -10.94970703	Y: 0.77697754	Z: 1.19506836	|  Gyro-X: 5.80200195	Y: -0.68038940	Z: -3.16268921
        Accel-X: -11.14135742	Y: 0.65490723	Z: 1.16516113	|  Gyro-X: 3.63372803	Y: -0.17944336	Z: -3.02062988
        Accel-X: -11.03759766	Y: 0.50415039	Z: 1.42700195	|  Gyro-X: 2.19818115	Y: -0.29907227	Z: -3.72344971
        Accel-X: -11.08154297	Y: 0.56213379	Z: 1.51306152	|  Gyro-X: 3.02810669	Y: 0.74020386	Z: -3.48419189
        Accel-X: -11.20056152	Y: 0.60119629	Z: 1.34155273	|  Gyro-X: 2.72155762	Y: 1.47293091	Z: -2.72155762
        Accel-X: -11.25061035	Y: 0.67260742	Z: 1.21337891	|  Gyro-X: 1.78695679	Y: 1.49536133	Z: -3.45428467
        Accel-X: -11.24267578	Y: 0.57250977	Z: 1.40563965	|  Gyro-X: 3.31970215	Y: 1.06918335	Z: -4.58328247
        Accel-X: -11.27014160	Y: 0.59753418	Z: 1.49536133	|  Gyro-X: 4.50851440	Y: 0.99441528	Z: -4.53842163
        Accel-X: -11.21276855	Y: 0.53527832	Z: 1.51733398	|  Gyro-X: 5.14404297	Y: 1.30844116	Z: -5.42816162
        Accel-X: -11.27075195	Y: 0.60241699	Z: 1.31530762	|  Gyro-X: 4.45617676	Y: 1.65237427	Z: -4.50103760
        Accel-X: -11.26586914	Y: 0.48583984	Z: 1.25610352	|  Gyro-X: 3.16268921	Y: 1.68975830	Z: -3.97766113
        Accel-X: -11.27380371	Y: 0.42785645	Z: 1.29333496	|  Gyro-X: 5.27114868	Y: 1.70471191	Z: -3.47671509
        Accel-X: -11.29882812	Y: 0.50048828	Z: 1.17675781	|  Gyro-X: 6.13845825	Y: 1.18133545	Z: -2.75146484
        Accel-X: -11.32019043	Y: 0.55908203	Z: 1.06018066	|  Gyro-X: 5.36087036	Y: 1.02432251	Z: -2.07107544
        Accel-X: -11.19934082	Y: 0.41625977	Z: 1.18286133	|  Gyro-X: 2.69165039	Y: -0.34393311	Z: -1.95892334
        Accel-X: -11.13159180	Y: 0.40100098	Z: 1.23535156	|  Gyro-X: 3.77578735	Y: -0.29907227	Z: -1.30096436
        Accel-X: -11.07116699	Y: 0.49926758	Z: 1.17736816	|  Gyro-X: 6.40762329	Y: -0.50094604	Z: -1.24114990
        Accel-X: -11.12487793	Y: 0.77270508	Z: 1.17553711	|  Gyro-X: 6.86370850	Y: 0.00747681	Z: -1.33087158
        Accel-X: -11.05529785	Y: 0.60913086	Z: 1.21520996	|  Gyro-X: 3.31222534	Y: -0.23178101	Z: -1.49536133
        Accel-X: -11.11267090	Y: 0.39855957	Z: 1.32019043	|  Gyro-X: 3.15521240	Y: -0.20935059	Z: -1.57012939
        Accel-X: -11.02783203	Y: 0.49499512	Z: 1.36962891	|  Gyro-X: 3.73092651	Y: 0.36636353	Z: -1.80191040
