Accel-X: 8.92578125	Y: -2.91259766	Z: -0.01037598	|  Gyro-X: -2.11593628	Y: -0.53833008	Z: -2.96081543
        Accel-X: 8.85681152	Y: -2.91748047	Z: 0.00244141	|  Gyro-X: 0.45608521	Y: 0.86730957	Z: -2.40753174
        Accel-X: 8.83972168	Y: -2.78869629	Z: 0.02319336	|  Gyro-X: 1.78695679	Y: -0.13458252	Z: -2.42248535
        Accel-X: 8.91052246	Y: -2.70202637	Z: -0.02929688	|  Gyro-X: 1.72714233	Y: -0.38879395	Z: -2.75894165
        Accel-X: 8.83850098	Y: -2.75329590	Z: -0.25390625	|  Gyro-X: 1.71966553	Y: 0.27664185	Z: -3.02810669
        Accel-X: 8.84704590	Y: -2.74780273	Z: -0.12756348	|  Gyro-X: 1.84677124	Y: -0.01495361	Z: -3.64868164
        Accel-X: 8.80493164	Y: -2.74230957	Z: -0.06469727	|  Gyro-X: 0.59066772	Y: 1.15142822	Z: -2.42248535
        Accel-X: 8.82446289	Y: -2.77099609	Z: -0.06591797	|  Gyro-X: 0.57571411	Y: 1.53274536	Z: -2.54959106
        Accel-X: 8.94531250	Y: -2.76245117	Z: -0.07568359	|  Gyro-X: 0.72525024	Y: 1.25610352	Z: -2.48229980
        Accel-X: 8.94653320	Y: -2.68249512	Z: -0.12207031	|  Gyro-X: -0.55328369	Y: 1.50283813	Z: -1.59255981
        Accel-X: 8.83300781	Y: -2.68737793	Z: -0.05249023	|  Gyro-X: -1.65985107	Y: 1.88415527	Z: -1.43554688
        Accel-X: 8.84765625	Y: -2.67761230	Z: -0.02746582	|  Gyro-X: -2.37762451	Y: 1.82434082	Z: -2.36267090
        Accel-X: 8.83361816	Y: -2.80273438	Z: -0.13549805	|  Gyro-X: -3.21502686	Y: 2.02621460	Z: -2.20565796
        Accel-X: 8.75854492	Y: -2.83752441	Z: -0.10375977	|  Gyro-X: -1.34582520	Y: 2.07855225	Z: -2.34771729
        Accel-X: 8.79150391	Y: -2.78076172	Z: -0.06958008	|  Gyro-X: -0.95703125	Y: 1.37573242	Z: -2.55706787
        Accel-X: 8.84033203	Y: -2.72277832	Z: 0.05004883	|  Gyro-X: 0.43365479	Y: 2.28790283	Z: -4.10476685
        Accel-X: 8.93371582	Y: -2.71545410	Z: 0.02746582	|  Gyro-X: 0.56823730	Y: 1.49536133	Z: -3.37203979
        Accel-X: 8.85437012	Y: -2.72399902	Z: -0.05126953	|  Gyro-X: 1.76452637	Y: 1.63742065	Z: -2.37762451
        Accel-X: 8.77136230	Y: -2.67211914	Z: 0.00610352	|  Gyro-X: 4.52346802	Y: 1.21871948	Z: -2.60940552
        Accel-X: 8.95751953	Y: -2.57202148	Z: -0.01342773	|  Gyro-X: 7.70111084	Y: 0.02243042	Z: -3.99261475
        Accel-X: 9.02893066	Y: -2.64404297	Z: -0.10925293	|  Gyro-X: 7.02819824	Y: 0.05981445	Z: -4.20196533
        Accel-X: 8.79394531	Y: -2.73498535	Z: 0.10925293	|  Gyro-X: 8.64318848	Y: 0.68786621	Z: -4.84497070
        Accel-X: 8.81469727	Y: -2.69592285	Z: 0.19409180	|  Gyro-X: 11.80587769	Y: 0.11215210	Z: -6.58706665
        Accel-X: 9.01977539	Y: -2.82653809	Z: -0.06591797	|  Gyro-X: 15.32745361	Y: -0.38879395	Z: -7.97027588
        Accel-X: 8.95874023	Y: -2.52807617	Z: 0.02868652	|  Gyro-X: 17.63031006	Y: 0.26168823	Z: -9.45068359
        Accel-X: 9.01855469	Y: -2.22473145	Z: 0.15197754	|  Gyro-X: 19.03594971	Y: 0.10467529	Z: -11.39465332
        Accel-X: 9.02282715	Y: -2.42309570	Z: 0.01708984	|  Gyro-X: 17.38357544	Y: 0.94955444	Z: -10.72174072
        Accel-X: 8.81896973	Y: -2.48413086	Z: 0.18615723	|  Gyro-X: 20.28457642	Y: 0.12710571	Z: -10.63201904
        Accel-X: 8.88732910	Y: -2.72888184	Z: 0.53894043	|  Gyro-X: 35.60455322	Y: -2.50473022	Z: -12.33673096
        Accel-X: 9.11682129	Y: -2.69470215	Z: 0.81909180	|  Gyro-X: 49.21981812	Y: -2.75894165	Z: -15.02090454
        Accel-X: 9.10705566	Y: -2.28942871	Z: 0.91003418	|  Gyro-X: 51.19369507	Y: 0.02990723	Z: -16.61346436
        Accel-X: 9.18762207	Y: -1.91406250	Z: 0.86853027	|  Gyro-X: 44.06082153	Y: 4.02999878	Z: -19.37988281
        Accel-X: 9.09362793	Y: -2.30712891	Z: 0.79772949	|  Gyro-X: 31.20071411	Y: 11.01333618	Z: -19.67895508
        Accel-X: 9.06799316	Y: -2.63732910	Z: 0.72753906	|  Gyro-X: 29.10720825	Y: 13.92181396	Z: -22.19863892
        Accel-X: 9.21875000	Y: -2.63305664	Z: 0.45532227	|  Gyro-X: 29.39880371	Y: 15.40969849	Z: -23.78372192
        Accel-X: 9.15466309	Y: -2.22900391	Z: 0.38513184	|  Gyro-X: 27.26043701	Y: 17.33871460	Z: -22.73696899
        Accel-X: 9.21386719	Y: -1.68334961	Z: 0.08728027	|  Gyro-X: 18.07144165	Y: 18.52752686	Z: -21.98181152
        Accel-X: 9.28283691	Y: -2.01538086	Z: -0.18005371	|  Gyro-X: 8.22448730	Y: 17.54806519	Z: -18.09387207
        Accel-X: 8.76831055	Y: -2.07885742	Z: -0.26672363	|  Gyro-X: 3.25988770	Y: 18.16116333	Z: -15.17791748
        Accel-X: 8.75061035	Y: -1.96960449	Z: -0.31860352	|  Gyro-X: 6.99829102	Y: 12.00775146	Z: -13.26385498
