Accel-X: 8.91967773	Y: -2.59643555	Z: 1.09863281	|  Gyro-X: 12.45635986	Y: 9.16656494	Z: -23.85101318
        Accel-X: 8.95263672	Y: -2.45300293	Z: 1.14013672	|  Gyro-X: 21.50329590	Y: 11.50680542	Z: -31.07360840
        Accel-X: 9.00878906	Y: -2.75939941	Z: 1.17065430	|  Gyro-X: 25.34637451	Y: 12.64328003	Z: -33.09234619
        Accel-X: 9.29626465	Y: -2.73986816	Z: 1.00097656	|  Gyro-X: 30.75958252	Y: 10.88623047	Z: -35.53726196
        Accel-X: 9.21020508	Y: -2.43225098	Z: 1.18530273	|  Gyro-X: 34.41574097	Y: 12.43392944	Z: -37.33917236
        Accel-X: 9.21630859	Y: -1.82922363	Z: 1.47216797	|  Gyro-X: 25.00991821	Y: 13.79470825	Z: -37.64572144
        Accel-X: 9.42260742	Y: -1.87500000	Z: 1.46789551	|  Gyro-X: 14.63211060	Y: 13.68255615	Z: -34.60266113
        Accel-X: 9.10827637	Y: -2.24914551	Z: 1.35437012	|  Gyro-X: 6.01882935	Y: 17.88452148	Z: -33.07739258
        Accel-X: 8.90014648	Y: -2.29431152	Z: 1.33422852	|  Gyro-X: 2.87109375	Y: 18.31817627	Z: -32.07550049
        Accel-X: 8.97155762	Y: -2.07946777	Z: 1.19567871	|  Gyro-X: 3.26736450	Y: 17.00973511	Z: -34.37088013
        Accel-X: 8.92089844	Y: -2.40539551	Z: 1.20910645	|  Gyro-X: 4.04495239	Y: 16.92749023	Z: -33.57086182
        Accel-X: 8.79760742	Y: -2.36877441	Z: 1.22924805	|  Gyro-X: 11.49932861	Y: 15.57418823	Z: -34.99893188
        Accel-X: 8.83300781	Y: -2.04101562	Z: 1.13037109	|  Gyro-X: 17.42095947	Y: 12.62084961	Z: -36.21765137
        Accel-X: 8.79150391	Y: -2.03735352	Z: 1.11816406	|  Gyro-X: 19.77615356	Y: 11.02828979	Z: -35.22323608
        Accel-X: 8.63220215	Y: -2.03735352	Z: 1.30310059	|  Gyro-X: 22.57247925	Y: 10.00396729	Z: -34.99145508
        Accel-X: 8.49853516	Y: -2.22167969	Z: 1.34948730	|  Gyro-X: 27.24548340	Y: 6.34780884	Z: -33.51852417
        Accel-X: 8.20800781	Y: -2.43164062	Z: 1.31225586	|  Gyro-X: 33.78768921	Y: 6.10107422	Z: -32.67364502
        Accel-X: 7.84362793	Y: -3.80798340	Z: 1.57836914	|  Gyro-X: 46.81976318	Y: 6.79641724	Z: -29.18945312
        Accel-X: 7.72705078	Y: -4.87426758	Z: 1.24023438	|  Gyro-X: 104.62295532	Y: -5.57022095	Z: -34.67742920
        Accel-X: 7.89672852	Y: -5.18920898	Z: 0.77453613	|  Gyro-X: 143.93600464	Y: -11.53671265	Z: -39.61959839
        Accel-X: 8.66882324	Y: -8.08532715	Z: 2.33276367	|  Gyro-X: 173.69369507	Y: -5.27114868	Z: -31.91848755
        Accel-X: 8.41369629	Y: -8.44299316	Z: 3.48632812	|  Gyro-X: 174.81521606	Y: 3.68606567	Z: -18.09387207
        Accel-X: 8.57727051	Y: -7.83691406	Z: 3.00048828	|  Gyro-X: 158.97933960	Y: 7.94784546	Z: 14.42276001
        Accel-X: 10.34667969	Y: -10.40161133	Z: 3.48510742	|  Gyro-X: 124.77294922	Y: 25.66787720	Z: 72.71194458
        Accel-X: 11.23046875	Y: -10.82885742	Z: 3.50830078	|  Gyro-X: 80.13641357	Y: 40.27008057	Z: 140.81069946
        Accel-X: 13.41796875	Y: -12.03430176	Z: 4.22485352	|  Gyro-X: 10.37033081	Y: 57.67608643	Z: 235.37734985
        Accel-X: 17.02514648	Y: -15.05310059	Z: 4.40002441	|  Gyro-X: -2.71408081	Y: 68.09127808	Z: 244.52148438
        Accel-X: 19.50500488	Y: -16.55761719	Z: 5.57800293	|  Gyro-X: 11.53671265	Y: 65.24261475	Z: 244.52148438
        Accel-X: 19.99511719	Y: -17.79357910	Z: 4.28283691	|  Gyro-X: 9.92919922	Y: 49.55627441	Z: 244.52148438
        Accel-X: 19.99511719	Y: -17.75329590	Z: 3.09143066	|  Gyro-X: -48.56933594	Y: 39.20089722	Z: 244.52148438
        Accel-X: 19.99511719	Y: -18.58886719	Z: 4.01000977	|  Gyro-X: -149.96978760	Y: 44.61410522	Z: 244.52148438
        Accel-X: 19.99328613	Y: -19.99511719	Z: 5.42602539	|  Gyro-X: -142.93411255	Y: 17.71255493	Z: 244.52148438
        Accel-X: 18.61511230	Y: -16.31225586	Z: 3.54614258	|  Gyro-X: 11.57409668	Y: -33.15216064	Z: 244.52148438
        Accel-X: 16.79504395	Y: -10.66162109	Z: 1.64916992	|  Gyro-X: 49.74319458	Y: -28.92028809	Z: 244.52148438
        Accel-X: 14.43054199	Y: -8.24035645	Z: 3.11462402	|  Gyro-X: 55.91903687	Y: -11.05819702	Z: 244.52148438
        Accel-X: 11.74682617	Y: -5.02258301	Z: 2.10205078	|  Gyro-X: 79.80743408	Y: -8.95721436	Z: 244.52148438
        Accel-X: 7.15454102	Y: -1.54785156	Z: -0.83740234	|  Gyro-X: 88.12911987	Y: 2.08602905	Z: 244.52148438
        Accel-X: 4.21203613	Y: -1.37817383	Z: -1.48254395	|  Gyro-X: 91.82266235	Y: 16.59851074	Z: 244.52148438
        Accel-X: 2.34985352	Y: 0.27648926	Z: -1.58691406	|  Gyro-X: 102.35748291	Y: 20.10513306	Z: 244.52148438
        Accel-X: 0.34973145	Y: 3.29772949	Z: -2.67211914	|  Gyro-X: 106.05850220	Y: 28.06045532	Z: 237.43347168
        Accel-X: -0.84289551	Y: 3.08837891	Z: -3.28857422	|  Gyro-X: 85.82626343	Y: 39.53735352	Z: 176.73675537
        Accel-X: -2.05322266	Y: 2.33398438	Z: -3.53759766	|  Gyro-X: 82.15515137	Y: 36.72607422	Z: 136.07040405
        Accel-X: -3.84155273	Y: 5.21911621	Z: -3.68469238	|  Gyro-X: 66.40151978	Y: 29.75769043	Z: 96.92932129
        Accel-X: -5.56640625	Y: 6.76635742	Z: -3.62854004	|  Gyro-X: 39.43267822	Y: 27.38006592	Z: 66.37908936
        Accel-X: -7.57812500	Y: 5.81848145	Z: -2.83203125	|  Gyro-X: 23.14071655	Y: 20.04531860	Z: 48.02352905
        Accel-X: -9.36340332	Y: 4.57763672	Z: -1.26831055	|  Gyro-X: 31.00631714	Y: 7.75344849	Z: 25.68283081
        Accel-X: -10.37597656	Y: 4.84741211	Z: -0.25085449	|  Gyro-X: 45.83282471	Y: -2.33276367	Z: 2.19818115
        Accel-X: -10.84411621	Y: 4.30847168	Z: 1.16455078	|  Gyro-X: 51.08901978	Y: -8.72543335	Z: -10.82641602
        Accel-X: -11.09802246	Y: 3.67980957	Z: 2.33276367	|  Gyro-X: 41.96731567	Y: -8.66561890	Z: -18.28826904
        Accel-X: -11.93359375	Y: 3.54675293	Z: 2.48474121	|  Gyro-X: 22.30331421	Y: -6.01135254	Z: -18.16116333
        Accel-X: -12.20153809	Y: 2.07275391	Z: 2.91564941	|  Gyro-X: 6.60202026	Y: -2.78884888	Z: -17.61535645
        Accel-X: -11.93969727	Y: 1.33300781	Z: 3.12927246	|  Gyro-X: 8.51608276	Y: 1.42807007	Z: -15.09567261
        Accel-X: -11.95007324	Y: 1.63085938	Z: 2.48168945	|  Gyro-X: 17.74993896	Y: 5.60012817	Z: -10.99090576
        Accel-X: -11.54357910	Y: 1.95861816	Z: 2.06481934	|  Gyro-X: 20.50140381	Y: 6.18331909	Z: -8.63571167
        Accel-X: -11.22741699	Y: 2.06726074	Z: 1.51062012	|  Gyro-X: 12.18719482	Y: 6.31042480	Z: -5.60760498
        Accel-X: -11.11145020	Y: 2.06604004	Z: 1.14624023	|  Gyro-X: 5.60012817	Y: 5.08422852	Z: -2.96829224
