Accel-X: 8.87207031	Y: -4.28466797	Z: 1.25305176	|  Gyro-X: 73.42971802	Y: -6.64688110	Z: 4.20196533
        Accel-X: 9.67407227	Y: -1.60095215	Z: 1.82800293	|  Gyro-X: 84.52529907	Y: -8.06747437	Z: -2.47482300
        Accel-X: 9.57641602	Y: -1.28234863	Z: 1.98486328	|  Gyro-X: 73.25027466	Y: -0.85235596	Z: 3.11782837
        Accel-X: 9.21752930	Y: -1.98181152	Z: 2.04528809	|  Gyro-X: 52.01614380	Y: 7.60391235	Z: 7.82073975
        Accel-X: 9.17480469	Y: -2.13134766	Z: 2.09106445	|  Gyro-X: 55.34332275	Y: 7.31231689	Z: 6.86370850
        Accel-X: 8.91052246	Y: -1.70288086	Z: 2.07397461	|  Gyro-X: 49.41421509	Y: 8.56842041	Z: 5.95901489
        Accel-X: 8.71765137	Y: -1.71813965	Z: 2.09777832	|  Gyro-X: 39.97848511	Y: 10.09368896	Z: 3.89541626
        Accel-X: 8.95324707	Y: -2.28454590	Z: 1.77612305	|  Gyro-X: 40.92803955	Y: 9.85443115	Z: 0.14953613
        Accel-X: 8.93615723	Y: -2.75634766	Z: 1.59606934	|  Gyro-X: 51.46286011	Y: 9.63012695	Z: -5.97396851
        Accel-X: 8.72619629	Y: -1.66931152	Z: 1.74926758	|  Gyro-X: 56.30035400	Y: 7.23007202	Z: -16.48635864
        Accel-X: 8.80004883	Y: -0.74340820	Z: 1.93908691	|  Gyro-X: 49.34692383	Y: 5.47302246	Z: -24.28466797
        Accel-X: 8.95812988	Y: -0.76049805	Z: 1.99951172	|  Gyro-X: 31.14089966	Y: 7.48428345	Z: -27.44735718
        Accel-X: 9.27673340	Y: -1.33483887	Z: 1.95800781	|  Gyro-X: 2.31781006	Y: 11.02081299	Z: -29.24179077
        Accel-X: 9.22363281	Y: -1.74865723	Z: 2.01599121	|  Gyro-X: -8.71047974	Y: 14.22088623	Z: -29.31655884
        Accel-X: 9.01672363	Y: -2.12646484	Z: 2.05444336	|  Gyro-X: -4.94964600	Y: 13.19656372	Z: -31.26052856
        Accel-X: 9.02343750	Y: -1.80664062	Z: 2.06604004	|  Gyro-X: 3.34960938	Y: 8.21701050	Z: -35.24566650
