Accel-X: 9.06005859	Y: -2.49389648	Z: 1.25854492	|  Gyro-X: 14.40032959	Y: 2.96081543	Z: 4.52346802
        Accel-X: 8.78845215	Y: -2.63183594	Z: 1.08459473	|  Gyro-X: 5.00198364	Y: 7.03567505	Z: 5.50292969
        Accel-X: 8.77380371	Y: -2.92053223	Z: 1.13708496	|  Gyro-X: -2.05612183	Y: 9.08432007	Z: 4.36645508
        Accel-X: 8.86108398	Y: -3.07312012	Z: 1.01318359	|  Gyro-X: -3.55895996	Y: 10.08621216	Z: 0.90469360
        Accel-X: 8.69384766	Y: -3.08227539	Z: 1.01928711	|  Gyro-X: -1.65985107	Y: 13.14422607	Z: -4.02252197
        Accel-X: 8.61938477	Y: -3.19702148	Z: 0.99792480	|  Gyro-X: -0.44860840	Y: 13.25637817	Z: -6.28051758
        Accel-X: 8.57482910	Y: -3.08776855	Z: 1.00830078	|  Gyro-X: 1.73461914	Y: 12.64328003	Z: -8.70300293
        Accel-X: 8.58703613	Y: -2.98339844	Z: 1.02050781	|  Gyro-X: 1.09161377	Y: 12.19467163	Z: -9.42825317
        Accel-X: 8.64074707	Y: -3.07006836	Z: 0.84106445	|  Gyro-X: -0.87478638	Y: 11.49185181	Z: -9.41329956
        Accel-X: 8.58276367	Y: -3.11279297	Z: 0.95520020	|  Gyro-X: -1.87667847	Y: 11.19277954	Z: -8.97216797
        Accel-X: 8.55224609	Y: -3.13415527	Z: 1.03820801	|  Gyro-X: -2.53463745	Y: 10.69931030	Z: -8.66561890
        Accel-X: 8.59924316	Y: -3.16772461	Z: 1.01135254	|  Gyro-X: -1.71218872	Y: 8.89739990	Z: -8.20205688
        Accel-X: 8.54370117	Y: -3.03710938	Z: 1.18469238	|  Gyro-X: -0.82992554	Y: 9.09927368	Z: -8.27682495
        Accel-X: 8.73168945	Y: -3.08715820	Z: 1.51062012	|  Gyro-X: 0.00000000	Y: 6.91604614	Z: -7.25250244
        Accel-X: 8.62548828	Y: -3.16040039	Z: 1.84936523	|  Gyro-X: 3.47671509	Y: 5.19638062	Z: -6.99081421
        Accel-X: 8.75793457	Y: -3.15979004	Z: 1.90185547	|  Gyro-X: 9.12918091	Y: 2.71408081	Z: -8.91983032
        Accel-X: 8.99719238	Y: -2.84118652	Z: 2.20092773	|  Gyro-X: 14.81155396	Y: 2.78884888	Z: -10.43762207
        Accel-X: 8.76586914	Y: -2.85095215	Z: 2.18444824	|  Gyro-X: 17.42843628	Y: 6.00387573	Z: -12.18719482
        Accel-X: 8.82873535	Y: -2.87780762	Z: 2.08984375	|  Gyro-X: 26.60995483	Y: 6.93099976	Z: -19.12567139
        Accel-X: 8.92883301	Y: -2.32910156	Z: 2.04833984	|  Gyro-X: 28.00811768	Y: 9.23385620	Z: -23.69400024
        Accel-X: 8.91418457	Y: -2.20214844	Z: 2.04589844	|  Gyro-X: 24.64355469	Y: 10.80398560	Z: -26.00433350
        Accel-X: 8.79699707	Y: -2.50915527	Z: 2.07031250	|  Gyro-X: 19.97055054	Y: 12.77038574	Z: -27.92587280
        Accel-X: 8.66882324	Y: -2.73193359	Z: 1.91162109	|  Gyro-X: 22.49771118	Y: 14.07135010	Z: -30.54275513
        Accel-X: 8.38500977	Y: -3.03283691	Z: 1.42700195	|  Gyro-X: 29.68292236	Y: 13.12927246	Z: -35.25314331
        Accel-X: 8.04077148	Y: -4.16748047	Z: 0.86425781	|  Gyro-X: 40.95046997	Y: 11.15539551	Z: -40.10559082
        Accel-X: 7.36389160	Y: -5.61462402	Z: 0.24475098	|  Gyro-X: 97.16857910	Y: 3.58886719	Z: -50.79742432
        Accel-X: 6.69799805	Y: -5.88928223	Z: 0.65734863	|  Gyro-X: 134.11895752	Y: -16.71813965	Z: -62.58087158
        Accel-X: 7.24121094	Y: -4.71191406	Z: 2.86193848	|  Gyro-X: 132.78060913	Y: -26.74453735	Z: -60.60699463
        Accel-X: 7.75878906	Y: -6.02905273	Z: 3.00354004	|  Gyro-X: 110.34271240	Y: -21.68273926	Z: -41.98226929
        Accel-X: 8.20312500	Y: -8.59619141	Z: 2.81127930	|  Gyro-X: 92.06192017	Y: -13.92929077	Z: -10.89370728
        Accel-X: 8.60534668	Y: -9.72045898	Z: 3.80981445	|  Gyro-X: 85.48980713	Y: -4.76272583	Z: 27.23800659
        Accel-X: 9.13208008	Y: -9.65209961	Z: 5.27832031	|  Gyro-X: 78.90274048	Y: 7.43942261	Z: 78.80554199
        Accel-X: 10.55358887	Y: -10.87707520	Z: 6.35437012	|  Gyro-X: 67.20153809	Y: 24.81552124	Z: 134.84420776
        Accel-X: 13.76953125	Y: -12.09899902	Z: 7.27722168	|  Gyro-X: 66.40899658	Y: 41.90002441	Z: 199.67559814
        Accel-X: 17.44079590	Y: -12.21679688	Z: 7.92419434	|  Gyro-X: 27.70156860	Y: 63.83697510	Z: 239.45220947
        Accel-X: 19.05456543	Y: -14.13085938	Z: 7.71240234	|  Gyro-X: -42.69256592	Y: 88.57772827	Z: 244.52148438
        Accel-X: 19.98596191	Y: -17.44140625	Z: 6.62963867	|  Gyro-X: -108.09219360	Y: 87.28424072	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: 5.60424805	|  Gyro-X: -133.01239014	Y: 61.97525024	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: 3.36730957	|  Gyro-X: -137.76763916	Y: 34.07928467	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: 3.37219238	|  Gyro-X: -144.77340698	Y: 21.27151489	Z: 244.52148438
        Accel-X: 18.33068848	Y: -18.53393555	Z: 2.50427246	|  Gyro-X: -109.78195190	Y: -4.87487793	Z: 244.52148438
        Accel-X: 19.26940918	Y: -14.83154297	Z: 1.62475586	|  Gyro-X: -47.17864990	Y: -22.82669067	Z: 244.52148438
        Accel-X: 18.59741211	Y: -9.49401855	Z: 2.43286133	|  Gyro-X: -20.27709961	Y: -13.18161011	Z: 244.52148438
        Accel-X: 15.80322266	Y: -4.70825195	Z: 0.36010742	|  Gyro-X: 21.82479858	Y: -8.71795654	Z: 244.52148438
        Accel-X: 13.99902344	Y: -2.22229004	Z: -2.11608887	|  Gyro-X: 46.99920654	Y: -7.97027588	Z: 244.52148438
        Accel-X: 11.46789551	Y: 1.36230469	Z: -2.62695312	|  Gyro-X: 75.58303833	Y: -0.88226318	Z: 244.52148438
        Accel-X: 5.10253906	Y: 6.28601074	Z: -2.87536621	|  Gyro-X: 112.06985474	Y: 13.51058960	Z: 244.52148438
        Accel-X: 0.90454102	Y: 8.67004395	Z: -3.22570801	|  Gyro-X: 140.19012451	Y: 24.86038208	Z: 239.57931519
        Accel-X: -2.61535645	Y: 11.15417480	Z: -4.53552246	|  Gyro-X: 126.36550903	Y: 28.63616943	Z: 174.97970581
        Accel-X: -5.24047852	Y: 10.52062988	Z: -4.42626953	|  Gyro-X: 82.95516968	Y: 26.98379517	Z: 105.72204590
        Accel-X: -6.83288574	Y: 8.49731445	Z: -3.39660645	|  Gyro-X: 33.01757812	Y: 13.87695312	Z: 24.32205200
        Accel-X: -8.52783203	Y: 6.77429199	Z: -1.87683105	|  Gyro-X: 37.60833740	Y: 3.17016602	Z: -19.30511475
        Accel-X: -11.16638184	Y: 5.18188477	Z: -0.59936523	|  Gyro-X: 37.57843018	Y: -4.52346802	Z: -46.88705444
        Accel-X: -12.38830566	Y: 3.86718750	Z: 0.39550781	|  Gyro-X: 21.95190430	Y: -5.85433960	Z: -55.43304443
        Accel-X: -13.16528320	Y: 2.53662109	Z: 1.52587891	|  Gyro-X: 5.71228027	Y: -2.47482300	Z: -55.97137451
        Accel-X: -13.50097656	Y: -0.86303711	Z: 1.97814941	|  Gyro-X: 5.35339355	Y: 0.44113159	Z: -49.71328735
        Accel-X: -13.88183594	Y: -1.15661621	Z: 1.52526855	|  Gyro-X: 23.40988159	Y: 2.36267090	Z: -38.25134277
        Accel-X: -13.34289551	Y: -0.58837891	Z: 1.35070801	|  Gyro-X: 33.96713257	Y: 2.07855225	Z: -24.41177368
        Accel-X: -12.45483398	Y: -0.20385742	Z: 0.65490723	|  Gyro-X: 16.75552368	Y: 3.57391357	Z: -5.18142700
        Accel-X: -11.94946289	Y: -0.36621094	Z: 0.30090332	|  Gyro-X: 9.21890259	Y: 0.48599243	Z: 3.43933105
        Accel-X: -11.42700195	Y: -0.10192871	Z: -0.13610840	|  Gyro-X: 19.88830566	Y: -5.28610229	Z: 7.02819824
        Accel-X: -11.08703613	Y: 0.75744629	Z: -0.07202148	|  Gyro-X: 31.89605713	Y: -9.88433838	Z: 7.25250244
        Accel-X: -10.67810059	Y: 1.20422363	Z: -0.11169434	|  Gyro-X: 29.54833984	Y: -11.98532104	Z: 7.43194580
        Accel-X: -10.39428711	Y: 1.36291504	Z: 0.29663086	|  Gyro-X: 20.80047607	Y: -12.34420776	Z: 7.64129639
        Accel-X: -10.35644531	Y: 1.01318359	Z: 0.73364258	|  Gyro-X: 15.76858521	Y: -10.93856812	Z: 6.68426514
        Accel-X: -10.37292480	Y: 1.17187500	Z: 0.69335938	|  Gyro-X: 18.74435425	Y: -9.24133301	Z: 3.22250366
        Accel-X: -10.61950684	Y: 1.74621582	Z: 0.87341309	|  Gyro-X: 20.71823120	Y: -4.73281860	Z: 0.26916504
        Accel-X: -10.48278809	Y: 1.70593262	Z: 0.92407227	|  Gyro-X: 14.00405884	Y: -1.18881226	Z: -3.19259644
        Accel-X: -10.91247559	Y: 1.52404785	Z: 1.00830078	|  Gyro-X: 2.97576904	Y: 1.47293091	Z: -4.87487793
        Accel-X: -11.12854004	Y: 0.87463379	Z: 0.85937500	|  Gyro-X: -0.56076050	Y: 3.32717896	Z: -7.81326294
        Accel-X: -11.29211426	Y: 0.38208008	Z: 0.74218750	|  Gyro-X: 6.56463623	Y: 2.66174316	Z: -10.07873535
        Accel-X: -11.42517090	Y: 0.75012207	Z: 0.89782715	|  Gyro-X: 17.37609863	Y: 1.14395142	Z: -10.79650879
        Accel-X: -11.35925293	Y: 0.95336914	Z: 0.86364746	|  Gyro-X: 16.58355713	Y: -0.01495361	Z: -10.39276123
        Accel-X: -11.54174805	Y: 0.63720703	Z: 0.89477539	|  Gyro-X: 0.64300537	Y: -0.10467529	Z: -5.90667725
        Accel-X: -11.65222168	Y: 0.18615723	Z: 0.76232910	|  Gyro-X: 2.33276367	Y: -1.11404419	Z: -3.34960938
        Accel-X: -11.62902832	Y: 0.17822266	Z: 0.81909180	|  Gyro-X: 11.77597046	Y: -2.91595459	Z: -2.09350586
        Accel-X: -11.52099609	Y: 0.65734863	Z: 1.05590820	|  Gyro-X: 15.20034790	Y: -3.21502686	Z: -1.57760620
        Accel-X: -11.27380371	Y: 0.91247559	Z: 0.90454102	|  Gyro-X: 9.33853149	Y: -3.40194702	Z: -0.92712402
        Accel-X: -11.23474121	Y: 0.62683105	Z: 1.01562500	|  Gyro-X: 6.01882935	Y: -3.08792114	Z: -0.40374756
        Accel-X: -11.15234375	Y: 0.53283691	Z: 1.02233887	|  Gyro-X: 9.83200073	Y: -3.40942383	Z: -1.28601074
        Accel-X: -11.03332520	Y: 0.67626953	Z: 0.90820312	|  Gyro-X: 13.61526489	Y: -4.29168701	Z: -2.55706787
        Accel-X: -10.95397949	Y: 0.95581055	Z: 1.10595703	|  Gyro-X: 8.81515503	Y: -2.78884888	Z: -3.57391357
        Accel-X: -10.99670410	Y: 0.68359375	Z: 1.06201172	|  Gyro-X: 6.43005371	Y: -2.43743896	Z: -3.34213257
        Accel-X: -11.09252930	Y: 0.63232422	Z: 0.95825195	|  Gyro-X: 10.03387451	Y: -2.07855225	Z: -3.61877441
        Accel-X: -10.97717285	Y: 0.72082520	Z: 0.93627930	|  Gyro-X: 13.78723145	Y: -2.12341309	Z: -4.44122314
        Accel-X: -11.18164062	Y: 1.06689453	Z: 0.79406738	|  Gyro-X: 11.72363281	Y: -0.59066772	Z: -4.34402466
