Accel-X: 8.85437012	Y: -2.81677246	Z: 0.29357910	|  Gyro-X: 2.77389526	Y: -0.25421143	Z: -4.60571289
        Accel-X: 8.86169434	Y: -2.88513184	Z: 0.38024902	|  Gyro-X: 3.02810669	Y: 0.18692017	Z: -4.12719727
        Accel-X: 8.76953125	Y: -2.89367676	Z: 0.34301758	|  Gyro-X: 3.25241089	Y: 0.35140991	Z: -4.26177979
        Accel-X: 8.97644043	Y: -2.65686035	Z: 0.24353027	|  Gyro-X: 4.17953491	Y: -1.30844116	Z: -4.79263306
        Accel-X: 8.87695312	Y: -2.70996094	Z: 0.31311035	|  Gyro-X: 4.07485962	Y: 0.15701294	Z: -4.09729004
        Accel-X: 8.76281738	Y: -2.70080566	Z: 0.29052734	|  Gyro-X: 6.07864380	Y: -0.40374756	Z: -4.56832886
        Accel-X: 8.89282227	Y: -2.66662598	Z: 0.25085449	|  Gyro-X: 9.77966309	Y: -1.80191040	Z: -6.45996094
        Accel-X: 8.91479492	Y: -2.72155762	Z: 0.22705078	|  Gyro-X: 11.16287231	Y: -1.06170654	Z: -6.90856934
        Accel-X: 8.86169434	Y: -2.82714844	Z: 0.31677246	|  Gyro-X: 11.80587769	Y: -1.73461914	Z: -6.26556396
        Accel-X: 8.90563965	Y: -2.68066406	Z: 0.28991699	|  Gyro-X: 13.18161011	Y: -2.28790283	Z: -6.75155640
        Accel-X: 8.83666992	Y: -2.52929688	Z: 0.12634277	|  Gyro-X: 12.50122070	Y: -1.13647461	Z: -6.80389404
        Accel-X: 8.92456055	Y: -2.67883301	Z: 0.15075684	|  Gyro-X: 9.69741821	Y: -0.74020386	Z: -6.10107422
        Accel-X: 8.87268066	Y: -2.61230469	Z: 0.09094238	|  Gyro-X: 8.81515503	Y: -0.64300537	Z: -6.46743774
        Accel-X: 8.81591797	Y: -2.63610840	Z: 0.10620117	|  Gyro-X: 9.19647217	Y: -1.26358032	Z: -6.31790161
        Accel-X: 8.90136719	Y: -2.54760742	Z: 0.17028809	|  Gyro-X: 9.96658325	Y: -1.34582520	Z: -7.74597168
        Accel-X: 8.90014648	Y: -2.51953125	Z: 0.21972656	|  Gyro-X: 8.95721436	Y: -1.15142822	Z: -6.44500732
        Accel-X: 8.72558594	Y: -2.53051758	Z: 0.24536133	|  Gyro-X: 7.55905151	Y: -0.47851562	Z: -6.50482178
        Accel-X: 8.80615234	Y: -2.63732910	Z: 0.16784668	|  Gyro-X: 6.75903320	Y: -1.86172485	Z: -5.92910767
        Accel-X: 8.91052246	Y: -2.60253906	Z: 0.24047852	|  Gyro-X: 7.86560059	Y: -1.40563965	Z: -6.66183472
        Accel-X: 8.86047363	Y: -2.58117676	Z: 0.15747070	|  Gyro-X: 8.71047974	Y: -1.24114990	Z: -7.23754883
        Accel-X: 8.72253418	Y: -2.48779297	Z: 0.26000977	|  Gyro-X: 6.97586060	Y: -0.77758789	Z: -7.05810547
        Accel-X: 8.73718262	Y: -2.74108887	Z: 0.13183594	|  Gyro-X: 6.64688110	Y: -3.28979492	Z: -6.67678833
        Accel-X: 8.55834961	Y: -3.03283691	Z: 0.25207520	|  Gyro-X: 12.60589600	Y: -4.11224365	Z: -6.91604614
        Accel-X: 8.24035645	Y: -3.40515137	Z: 0.54382324	|  Gyro-X: 29.95208740	Y: -7.61138916	Z: -9.12170410
        Accel-X: 8.14941406	Y: -4.16687012	Z: 1.26464844	|  Gyro-X: 58.16207886	Y: -12.31430054	Z: -14.02648926
        Accel-X: 7.80029297	Y: -4.20837402	Z: 1.89147949	|  Gyro-X: 89.86373901	Y: -13.32366943	Z: -19.44717407
        Accel-X: 7.82470703	Y: -4.56787109	Z: 2.05139160	|  Gyro-X: 115.55404663	Y: -12.56103516	Z: -23.50708008
        Accel-X: 8.53027344	Y: -8.51989746	Z: 2.64892578	|  Gyro-X: 194.36706543	Y: -13.96667480	Z: -23.26782227
        Accel-X: 9.03137207	Y: -8.64501953	Z: 4.64233398	|  Gyro-X: 244.17755127	Y: -4.35150146	Z: -29.18945312
        Accel-X: 10.64880371	Y: -6.71081543	Z: 4.86328125	|  Gyro-X: 238.98117065	Y: 5.66741943	Z: -13.05450439
        Accel-X: 12.04101562	Y: -7.99438477	Z: 6.00097656	|  Gyro-X: 177.43957520	Y: 42.30377197	Z: 37.73544312
        Accel-X: 12.52197266	Y: -7.46765137	Z: 6.72302246	|  Gyro-X: 115.39703369	Y: 72.99606323	Z: 82.12524414
        Accel-X: 14.87609863	Y: -9.84741211	Z: 7.55615234	|  Gyro-X: 47.95623779	Y: 108.31649780	Z: 133.82736206
        Accel-X: 15.93383789	Y: -13.69689941	Z: 9.23828125	|  Gyro-X: -13.54049683	Y: 146.55288696	Z: 191.02493286
        Accel-X: 19.92309570	Y: -16.72424316	Z: 10.93627930	|  Gyro-X: -31.67175293	Y: 166.11221313	Z: 244.52148438
        Accel-X: 19.99511719	Y: -18.55163574	Z: 7.56713867	|  Gyro-X: -108.72024536	Y: 178.03024292	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: 6.70776367	|  Gyro-X: -162.79251099	Y: 195.36148071	Z: 244.52148438
        Accel-X: 19.99511719	Y: -18.26416016	Z: 6.49291992	|  Gyro-X: -170.59082031	Y: 176.66198730	Z: 244.52148438
        Accel-X: 19.43664551	Y: -14.11804199	Z: 4.20959473	|  Gyro-X: -145.86502075	Y: 153.43154907	Z: 244.52148438
        Accel-X: 18.12683105	Y: -7.46520996	Z: 0.94848633	|  Gyro-X: -130.72448730	Y: 126.75430298	Z: 244.52148438
        Accel-X: 16.65466309	Y: -6.97204590	Z: -0.30700684	|  Gyro-X: -95.65078735	Y: 82.04299927	Z: 244.52148438
        Accel-X: 14.94934082	Y: -6.23291016	Z: 0.09887695	|  Gyro-X: -51.85913086	Y: 47.26837158	Z: 244.52148438
        Accel-X: 13.02429199	Y: -1.13403320	Z: -1.28479004	|  Gyro-X: -6.28799438	Y: 22.51266479	Z: 244.52148438
        Accel-X: 8.27453613	Y: 1.91955566	Z: -2.80700684	|  Gyro-X: 18.91632080	Y: 14.57229614	Z: 244.52148438
        Accel-X: 0.80749512	Y: 2.68737793	Z: -1.97570801	|  Gyro-X: 46.16180420	Y: 11.11053467	Z: 244.52148438
