Accel-X: 8.12377930	Y: 0.32470703	Z: -5.41931152	|  Gyro-X: 32.71102905	Y: 1.06170654	Z: -8.25439453
        Accel-X: 8.11706543	Y: 0.36560059	Z: -5.41259766	|  Gyro-X: 23.34259033	Y: 0.56076050	Z: -9.15161133
        Accel-X: 8.02917480	Y: 0.09765625	Z: -5.09826660	|  Gyro-X: 12.56103516	Y: -0.91964722	Z: -7.11044312
        Accel-X: 8.26538086	Y: -0.40283203	Z: -4.96093750	|  Gyro-X: 1.65237427	Y: -3.72344971	Z: -3.77578735
        Accel-X: 8.38623047	Y: -0.95825195	Z: -4.77050781	|  Gyro-X: -4.87487793	Y: -3.91784668	Z: -3.62625122
        Accel-X: 8.32763672	Y: -1.01928711	Z: -4.82421875	|  Gyro-X: -5.88424683	Y: -0.39627075	Z: -7.79083252
        Accel-X: 7.84851074	Y: -1.21459961	Z: -4.68139648	|  Gyro-X: -10.50491333	Y: 3.20755005	Z: -8.09738159
        Accel-X: 7.71240234	Y: -1.61132812	Z: -4.15039062	|  Gyro-X: -10.28808594	Y: -0.76263428	Z: -9.12918091
        Accel-X: 8.10546875	Y: -1.91772461	Z: -3.91174316	|  Gyro-X: -7.85064697	Y: -2.60940552	Z: -11.65634155
        Accel-X: 8.49731445	Y: -2.13806152	Z: -4.04357910	|  Gyro-X: -3.17016602	Y: -0.55328369	Z: -14.37789917
        Accel-X: 8.25683594	Y: -2.00317383	Z: -4.48303223	|  Gyro-X: 2.53463745	Y: 6.19079590	Z: -14.98352051
        Accel-X: 8.06579590	Y: -2.15759277	Z: -4.59350586	|  Gyro-X: 9.21890259	Y: 7.58895874	Z: -13.98910522
        Accel-X: 8.23181152	Y: -1.56921387	Z: -4.76379395	|  Gyro-X: 13.45825195	Y: 4.09729004	Z: -11.31240845
        Accel-X: 7.76000977	Y: -1.31286621	Z: -4.71923828	|  Gyro-X: 14.53491211	Y: 5.85433960	Z: -5.00198364
        Accel-X: 7.94311523	Y: -1.06567383	Z: -4.58801270	|  Gyro-X: 13.01712036	Y: 0.03738403	Z: 2.05612183
        Accel-X: 8.62548828	Y: -0.83374023	Z: -4.71923828	|  Gyro-X: 9.00955200	Y: -1.80938721	Z: 3.28231812
        Accel-X: 8.24707031	Y: -0.66101074	Z: -4.85168457	|  Gyro-X: 5.83190918	Y: 3.40942383	Z: 2.66174316
        Accel-X: 7.87719727	Y: -0.63110352	Z: -4.74304199	|  Gyro-X: 1.19628906	Y: 3.48419189	Z: 1.69723511
        Accel-X: 7.94799805	Y: -0.72753906	Z: -4.69116211	|  Gyro-X: -5.83190918	Y: 1.45050049	Z: 1.86920166
        Accel-X: 7.97424316	Y: -1.03332520	Z: -4.65209961	|  Gyro-X: -10.90118408	Y: 1.66732788	Z: 0.82992554
        Accel-X: 8.02734375	Y: -0.80932617	Z: -4.72778320	|  Gyro-X: -15.23025513	Y: -0.46356201	Z: 3.61877441
        Accel-X: 7.96752930	Y: -1.34155273	Z: -4.48303223	|  Gyro-X: -18.39294434	Y: 2.00378418	Z: 5.98892212
        Accel-X: 8.45153809	Y: -1.50817871	Z: -4.28039551	|  Gyro-X: -17.02468872	Y: -3.52157593	Z: 5.75714111
        Accel-X: 8.86047363	Y: -1.81213379	Z: -4.27551270	|  Gyro-X: -13.69003296	Y: -1.95144653	Z: 4.47113037
        Accel-X: 8.12622070	Y: -1.35864258	Z: -4.03320312	|  Gyro-X: -8.34411621	Y: 0.56076050	Z: 1.95892334
        Accel-X: 8.10485840	Y: -1.03271484	Z: -3.85498047	|  Gyro-X: -8.29925537	Y: -3.87298584	Z: 1.54769897
        Accel-X: 8.34106445	Y: -1.58142090	Z: -4.51171875	|  Gyro-X: -13.71994019	Y: -4.09729004	Z: 1.82434082
        Accel-X: 7.54455566	Y: -1.13647461	Z: -4.27795410	|  Gyro-X: -20.04531860	Y: 6.81884766	Z: -0.94207764
        Accel-X: 6.48132324	Y: -0.96008301	Z: -3.99047852	|  Gyro-X: -30.37078857	Y: 17.81723022	Z: -5.76461792
        Accel-X: 5.70434570	Y: -1.62902832	Z: -3.48815918	|  Gyro-X: -32.46429443	Y: 16.97235107	Z: -8.79272461
        Accel-X: 5.30273438	Y: -1.43310547	Z: -3.39172363	|  Gyro-X: -30.89416504	Y: 15.79101562	Z: -13.09188843
        Accel-X: 4.53002930	Y: -1.43310547	Z: -3.20068359	|  Gyro-X: -29.13711548	Y: 17.81723022	Z: -16.07513428
        Accel-X: 4.34448242	Y: -1.71875000	Z: -3.29101562	|  Gyro-X: -25.14450073	Y: 15.68634033	Z: -22.25845337
        Accel-X: 5.15136719	Y: -1.94702148	Z: -2.73681641	|  Gyro-X: -11.85821533	Y: 10.88623047	Z: -29.40628052
        Accel-X: 5.62683105	Y: -1.14379883	Z: -4.22729492	|  Gyro-X: -11.64138794	Y: 13.00964355	Z: -31.64184570
        Accel-X: 5.13854980	Y: -0.54260254	Z: -5.18371582	|  Gyro-X: -40.12054443	Y: 37.48123169	Z: -23.67156982
        Accel-X: 4.72351074	Y: -0.97229004	Z: -5.71228027	|  Gyro-X: -69.55673218	Y: 47.17864990	Z: -8.86749268
        Accel-X: 6.19384766	Y: -2.67333984	Z: -5.99243164	|  Gyro-X: -85.14587402	Y: 39.07379150	Z: 2.13088989
        Accel-X: 7.52746582	Y: -3.24279785	Z: -9.10522461	|  Gyro-X: -86.21505737	Y: 31.25305176	Z: 8.59085083
        Accel-X: 11.39465332	Y: -8.72497559	Z: -12.05688477	|  Gyro-X: -80.57754517	Y: 50.55068970	Z: 24.14260864
        Accel-X: 11.16088867	Y: -9.79675293	Z: -11.12976074	|  Gyro-X: -94.42459106	Y: 70.62591553	Z: 42.69256592
        Accel-X: 8.20983887	Y: -10.42663574	Z: -12.12707520	|  Gyro-X: -65.84823608	Y: 42.20657349	Z: 39.08126831
        Accel-X: 9.88891602	Y: -14.32556152	Z: -17.14721680	|  Gyro-X: -27.66418457	Y: -21.92199707	Z: 49.22729492
        Accel-X: 11.62658691	Y: -18.13232422	Z: -19.99511719	|  Gyro-X: 22.78930664	Y: -88.09921265	Z: 87.97210693
