Accel-X: 8.31237793	Y: -2.62145996	Z: -3.78112793	|  Gyro-X: -6.84875488	Y: 3.85803223	Z: -0.00747681
        Accel-X: 8.10852051	Y: -2.53967285	Z: -3.71215820	|  Gyro-X: -8.91983032	Y: 2.75146484	Z: -0.30654907
        Accel-X: 7.98645020	Y: -2.47192383	Z: -3.69384766	|  Gyro-X: -10.40771484	Y: 2.90847778	Z: -1.09161377
        Accel-X: 7.94677734	Y: -2.41760254	Z: -3.66821289	|  Gyro-X: -12.90496826	Y: 2.08602905	Z: -0.82244873
        Accel-X: 8.09936523	Y: -2.36511230	Z: -3.78234863	|  Gyro-X: -13.50311279	Y: 1.45050049	Z: -1.56265259
        Accel-X: 8.28186035	Y: -2.33642578	Z: -3.81164551	|  Gyro-X: -13.02459717	Y: 1.73461914	Z: -3.53652954
        Accel-X: 8.24340820	Y: -2.26562500	Z: -3.90380859	|  Gyro-X: -13.78723145	Y: 3.09539795	Z: -4.50103760
        Accel-X: 8.05847168	Y: -2.07275391	Z: -4.00207520	|  Gyro-X: -14.93865967	Y: 3.71597290	Z: -6.21322632
        Accel-X: 8.00659180	Y: -2.05627441	Z: -3.93066406	|  Gyro-X: -18.18359375	Y: 3.86550903	Z: -7.52914429
        Accel-X: 8.08288574	Y: -2.18811035	Z: -3.74206543	|  Gyro-X: -20.38177490	Y: 3.44680786	Z: -8.47122192
        Accel-X: 8.24890137	Y: -1.98364258	Z: -3.93737793	|  Gyro-X: -22.34817505	Y: 2.45239258	Z: -10.34790039
        Accel-X: 8.19091797	Y: -1.80297852	Z: -4.14794922	|  Gyro-X: -28.44177246	Y: 5.01693726	Z: -9.39834595
        Accel-X: 8.38684082	Y: -2.06054688	Z: -4.45861816	|  Gyro-X: -34.22882080	Y: 4.54589844	Z: -8.80767822
        Accel-X: 8.54858398	Y: -2.04650879	Z: -4.52880859	|  Gyro-X: -36.06063843	Y: 5.88424683	Z: -8.93478394
        Accel-X: 8.47290039	Y: -2.05566406	Z: -4.52819824	|  Gyro-X: -37.24945068	Y: 8.52355957	Z: -9.05441284
        Accel-X: 8.39599609	Y: -1.92260742	Z: -4.56970215	|  Gyro-X: -38.69247437	Y: 8.01513672	Z: -8.56842041
        Accel-X: 8.26354980	Y: -1.80786133	Z: -4.54956055	|  Gyro-X: -40.17288208	Y: 7.50671387	Z: -6.82632446
        Accel-X: 8.00781250	Y: -1.85241699	Z: -4.39025879	|  Gyro-X: -40.68878174	Y: 6.43753052	Z: -3.45428467
        Accel-X: 8.11523438	Y: -2.13134766	Z: -4.29016113	|  Gyro-X: -40.34484863	Y: 1.95144653	Z: -1.45050049
        Accel-X: 8.43566895	Y: -1.98242188	Z: -4.41833496	|  Gyro-X: -36.24008179	Y: -4.66552734	Z: -2.39257812
        Accel-X: 8.45092773	Y: -1.73889160	Z: -4.44519043	|  Gyro-X: -35.47744751	Y: -4.60571289	Z: -1.72714233
        Accel-X: 8.34594727	Y: -1.70104980	Z: -4.57946777	|  Gyro-X: -36.65130615	Y: -5.57022095	Z: -1.19628906
        Accel-X: 8.21777344	Y: -1.09436035	Z: -4.86755371	|  Gyro-X: -41.20468140	Y: -7.02819824	Z: 3.08792114
        Accel-X: 7.79418945	Y: -0.99609375	Z: -4.74182129	|  Gyro-X: -50.94696045	Y: -5.38330078	Z: 13.45077515
        Accel-X: 8.01330566	Y: -0.22827148	Z: -4.40124512	|  Gyro-X: -66.02020264	Y: -12.92739868	Z: 22.14630127
        Accel-X: 7.68005371	Y: 0.16723633	Z: -4.25781250	|  Gyro-X: -83.84490967	Y: -5.27862549	Z: 27.86605835
