Accel-X: 19.99511719	Y: -5.60852051	Z: 2.05322266	|  Gyro-X: -71.05957031	Y: -53.81805420	Z: -3.57391357
        Accel-X: 19.99511719	Y: -4.42443848	Z: 4.55322266	|  Gyro-X: -43.94119263	Y: 18.35556030	Z: -17.64526367
        Accel-X: 19.99511719	Y: -2.04528809	Z: 3.49731445	|  Gyro-X: -64.83139038	Y: -15.02838135	Z: 8.50860596
        Accel-X: 18.52355957	Y: -2.64099121	Z: 4.27490234	|  Gyro-X: -53.89282227	Y: -0.42617798	Z: 33.54095459
        Accel-X: 11.61315918	Y: -0.04150391	Z: 5.96069336	|  Gyro-X: -11.06567383	Y: 40.48690796	Z: 39.98596191
        Accel-X: 1.03576660	Y: 1.85974121	Z: 6.50634766	|  Gyro-X: -0.82244873	Y: 39.08126831	Z: 53.79562378
        Accel-X: -3.53942871	Y: 3.62731934	Z: 4.12292480	|  Gyro-X: -5.18142700	Y: 7.17773438	Z: 32.98767090
        Accel-X: -3.57238770	Y: 3.98437500	Z: 3.41918945	|  Gyro-X: -17.51068115	Y: -3.31222534	Z: 6.97586060
        Accel-X: -1.00952148	Y: 1.80908203	Z: 2.28820801	|  Gyro-X: -44.49447632	Y: 5.11413574	Z: -12.91244507
        Accel-X: -0.33508301	Y: 1.42272949	Z: 1.97753906	|  Gyro-X: -41.94488525	Y: 15.92559814	Z: -19.79110718
        Accel-X: 1.54296875	Y: 0.40588379	Z: 1.42211914	|  Gyro-X: -39.43267822	Y: 13.30871582	Z: -21.86218262
        Accel-X: 7.21862793	Y: -0.92834473	Z: 1.28540039	|  Gyro-X: -26.80435181	Y: 3.68606567	Z: -26.99874878
        Accel-X: 12.46520996	Y: -2.16186523	Z: 1.12670898	|  Gyro-X: -14.28070068	Y: -7.31979370	Z: -35.02136230
        Accel-X: 19.99511719	Y: -2.45056152	Z: -1.43005371	|  Gyro-X: -17.30880737	Y: -30.26611328	Z: -42.60284424
        Accel-X: 19.99511719	Y: -3.23547363	Z: -1.85852051	|  Gyro-X: -38.01208496	Y: -6.60202026	Z: -49.24972534
        Accel-X: 19.52209473	Y: -4.38720703	Z: 0.76965332	|  Gyro-X: -12.29934692	Y: 32.09793091	Z: -61.55654907
        Accel-X: 13.86718750	Y: -1.21215820	Z: 1.60095215	|  Gyro-X: -21.86965942	Y: 15.29006958	Z: -54.92462158
        Accel-X: 10.27648926	Y: -0.97534180	Z: 1.37512207	|  Gyro-X: -41.06262207	Y: 16.50878906	Z: -27.26791382
        Accel-X: 3.79821777	Y: -1.64306641	Z: 0.66528320	|  Gyro-X: -37.94479370	Y: 26.07910156	Z: -3.88793945
        Accel-X: 1.46057129	Y: -1.36169434	Z: -0.34973145	|  Gyro-X: -24.77066040	Y: 9.01702881	Z: -11.38717651
        Accel-X: 1.67541504	Y: -0.36926270	Z: -0.86547852	|  Gyro-X: -36.46438599	Y: -5.56274414	Z: -18.32565308
        Accel-X: 3.48388672	Y: -0.34790039	Z: -1.06018066	|  Gyro-X: -66.42395020	Y: -3.41690063	Z: -27.81372070
        Accel-X: 4.58801270	Y: -1.38793945	Z: -1.52832031	|  Gyro-X: -101.52008057	Y: 6.88613892	Z: -33.34655762
        Accel-X: 6.62353516	Y: -1.95190430	Z: -2.13317871	|  Gyro-X: -100.92941284	Y: 0.67291260	Z: -32.31475830
        Accel-X: 10.78613281	Y: -1.10351562	Z: -3.39111328	|  Gyro-X: -113.18389893	Y: -2.82623291	Z: -27.22305298
