Accel-X: 9.31457520	Y: -0.44311523	Z: -0.10009766	|  Gyro-X: 5.33843994	Y: 1.22619629	Z: -4.47860718
        Accel-X: 9.30297852	Y: -0.53527832	Z: -0.34973145	|  Gyro-X: 1.62246704	Y: 1.21871948	Z: -3.89541626
        Accel-X: 9.26269531	Y: -0.57678223	Z: -0.28381348	|  Gyro-X: -1.76452637	Y: 1.95144653	Z: -2.54959106
        Accel-X: 9.18762207	Y: -0.65246582	Z: -0.28564453	|  Gyro-X: -4.54589844	Y: 2.45239258	Z: -1.88415527
        Accel-X: 9.36828613	Y: -0.68664551	Z: -0.33630371	|  Gyro-X: -6.81137085	Y: 0.13458252	Z: -1.17385864
        Accel-X: 9.51171875	Y: -0.76904297	Z: -0.25085449	|  Gyro-X: -9.68246460	Y: 2.11593628	Z: -1.85424805
        Accel-X: 9.39270020	Y: -0.87280273	Z: -0.24108887	|  Gyro-X: -7.64877319	Y: 5.64498901	Z: -2.53463745
        Accel-X: 9.32006836	Y: -0.88989258	Z: 0.08056641	|  Gyro-X: -3.61129761	Y: 6.10855103	Z: -3.51409912
        Accel-X: 9.19372559	Y: -0.79589844	Z: -0.10986328	|  Gyro-X: -1.12899780	Y: 4.47860718	Z: -3.43185425
        Accel-X: 9.37438965	Y: -0.97412109	Z: -0.23498535	|  Gyro-X: 0.44113159	Y: 2.33276367	Z: -2.88604736
        Accel-X: 9.36584473	Y: -0.88439941	Z: -0.31982422	|  Gyro-X: 3.49914551	Y: 1.62246704	Z: -3.68606567
        Accel-X: 9.40124512	Y: -0.75195312	Z: -0.24536133	|  Gyro-X: 5.57022095	Y: 1.67480469	Z: -3.95523071
        Accel-X: 9.34326172	Y: -0.68420410	Z: -0.42419434	|  Gyro-X: 6.46743774	Y: 1.09909058	Z: -4.26177979
        Accel-X: 9.36584473	Y: -0.57556152	Z: -0.44189453	|  Gyro-X: 4.52346802	Y: 2.27294922	Z: -4.29916382
        Accel-X: 9.23461914	Y: -0.54016113	Z: -0.39489746	|  Gyro-X: 2.77389526	Y: 2.91595459	Z: -4.27673340
        Accel-X: 9.29870605	Y: -0.57556152	Z: -0.35461426	|  Gyro-X: 0.65048218	Y: 2.97576904	Z: -3.26736450
        Accel-X: 9.31762695	Y: -0.63293457	Z: -0.30212402	|  Gyro-X: -0.26168823	Y: 3.91784668	Z: -2.10845947
        Accel-X: 9.27673340	Y: -0.71716309	Z: -0.30883789	|  Gyro-X: 0.56823730	Y: 5.14404297	Z: -1.30096436
        Accel-X: 9.25354004	Y: -0.74035645	Z: -0.33630371	|  Gyro-X: 1.12152100	Y: 2.30285645	Z: -2.21313477
        Accel-X: 9.35180664	Y: -0.74829102	Z: -0.31005859	|  Gyro-X: 1.34582520	Y: 1.27853394	Z: -2.99819946
