Accel-X: 9.19128418	Y: -1.44226074	Z: 0.40039062	|  Gyro-X: -4.18701172	Y: 1.70471191	Z: -3.65615845
        Accel-X: 9.17114258	Y: -1.50939941	Z: 0.37170410	|  Gyro-X: -2.94586182	Y: 1.99630737	Z: -3.31970215
        Accel-X: 9.16320801	Y: -1.41601562	Z: 0.42114258	|  Gyro-X: -1.37573242	Y: 1.75704956	Z: -3.49166870
        Accel-X: 9.17602539	Y: -1.32934570	Z: 0.41076660	|  Gyro-X: 0.21682739	Y: 1.50283813	Z: -3.25241089
        Accel-X: 9.12780762	Y: -1.30920410	Z: 0.45104980	|  Gyro-X: -0.68038940	Y: 1.34582520	Z: -3.27484131
        Accel-X: 9.11804199	Y: -1.30737305	Z: 0.40466309	|  Gyro-X: -0.80749512	Y: 1.47293091	Z: -3.30474854
        Accel-X: 8.99353027	Y: -1.37390137	Z: 0.40222168	|  Gyro-X: -0.17196655	Y: 2.01873779	Z: -3.17764282
        Accel-X: 9.07165527	Y: -1.37084961	Z: 0.49133301	|  Gyro-X: 1.30844116	Y: 1.16638184	Z: -3.77578735
        Accel-X: 9.11560059	Y: -1.39526367	Z: 0.45288086	|  Gyro-X: 1.80191040	Y: 0.83740234	Z: -3.97018433
        Accel-X: 9.06311035	Y: -1.48132324	Z: 0.38940430	|  Gyro-X: 1.78695679	Y: 1.13647461	Z: -3.50662231
        Accel-X: 9.06372070	Y: -1.40991211	Z: 0.36376953	|  Gyro-X: 1.92153931	Y: 1.10656738	Z: -3.46923828
        Accel-X: 9.11621094	Y: -1.34582520	Z: 0.26672363	|  Gyro-X: 1.78695679	Y: 1.15890503	Z: -3.20755005
        Accel-X: 9.18579102	Y: -1.39099121	Z: 0.28320312	|  Gyro-X: 2.57202148	Y: 1.06170654	Z: -2.84866333
        Accel-X: 9.08813477	Y: -1.26464844	Z: 0.38757324	|  Gyro-X: 4.05242920	Y: 1.58508301	Z: -3.57391357
        Accel-X: 9.28283691	Y: -1.24389648	Z: 0.24841309	|  Gyro-X: 5.75714111	Y: 1.21871948	Z: -3.52157593
        Accel-X: 9.20288086	Y: -0.99548340	Z: 0.28930664	|  Gyro-X: 5.57022095	Y: 1.81686401	Z: -3.73840332
        Accel-X: 9.10827637	Y: -0.95275879	Z: 0.31250000	|  Gyro-X: 2.58697510	Y: 2.29537964	Z: -2.73651123
        Accel-X: 9.08142090	Y: -1.10412598	Z: 0.37902832	|  Gyro-X: 0.29907227	Y: 2.72155762	Z: -2.20565796
        Accel-X: 9.06311035	Y: -1.20910645	Z: 0.30517578	|  Gyro-X: 0.41870117	Y: 2.25799561	Z: -2.48229980
        Accel-X: 9.20104980	Y: -1.26403809	Z: 0.23376465	|  Gyro-X: 0.08224487	Y: 2.13836670	Z: -2.86361694
        Accel-X: 9.04602051	Y: -1.36840820	Z: 0.22888184	|  Gyro-X: -0.30654907	Y: 2.63931274	Z: -3.16268921
        Accel-X: 9.12719727	Y: -1.55334473	Z: 0.20751953	|  Gyro-X: 3.74588013	Y: 0.83740234	Z: -3.17016602
        Accel-X: 8.94897461	Y: -1.31774902	Z: 0.51574707	|  Gyro-X: 7.95532227	Y: 1.05422974	Z: -4.12719727
        Accel-X: 9.17724609	Y: -1.38122559	Z: 0.50354004	|  Gyro-X: 9.24880981	Y: -1.78695679	Z: -5.78704834
        Accel-X: 9.17724609	Y: -1.47949219	Z: 0.81542969	|  Gyro-X: 11.11801147	Y: -2.16827393	Z: -8.46374512
        Accel-X: 8.74694824	Y: -1.72058105	Z: 1.32324219	|  Gyro-X: 20.77056885	Y: -2.35519409	Z: -9.89929199
        Accel-X: 8.82568359	Y: -1.94213867	Z: 1.76635742	|  Gyro-X: 30.82687378	Y: -3.31970215	Z: -12.11242676
        Accel-X: 8.77990723	Y: -1.77490234	Z: 2.06176758	|  Gyro-X: 36.73355103	Y: -3.27484131	Z: -13.44329834
        Accel-X: 9.09362793	Y: -3.17138672	Z: 2.29614258	|  Gyro-X: 48.53195190	Y: -0.64300537	Z: -10.73669434
        Accel-X: 9.23278809	Y: -4.93713379	Z: 3.40759277	|  Gyro-X: 71.34368896	Y: 2.55706787	Z: -10.57968140
        Accel-X: 9.86206055	Y: -3.50280762	Z: 5.88378906	|  Gyro-X: 108.76510620	Y: 3.79821777	Z: -12.62084961
        Accel-X: 11.62719727	Y: -3.96789551	Z: 9.87060547	|  Gyro-X: 128.49639893	Y: 16.30691528	Z: -6.84127808
        Accel-X: 11.65283203	Y: -6.07849121	Z: 14.17114258	|  Gyro-X: 125.40847778	Y: 56.95831299	Z: 7.59643555
        Accel-X: 14.43420410	Y: -6.97753906	Z: 18.73474121	|  Gyro-X: 129.34127808	Y: 91.61331177	Z: 4.43374634
        Accel-X: 16.46240234	Y: -5.66284180	Z: 19.53613281	|  Gyro-X: 97.44522095	Y: 151.36795044	Z: 13.41339111
        Accel-X: 18.34716797	Y: -6.73400879	Z: 18.60351562	|  Gyro-X: 69.39224243	Y: 205.12619019	Z: 32.84561157
        Accel-X: 19.99511719	Y: -6.88476562	Z: 17.01354980	|  Gyro-X: 79.50088501	Y: 243.80371094	Z: 45.98236084
        Accel-X: 19.99511719	Y: -3.28857422	Z: 15.22583008	|  Gyro-X: 76.57745361	Y: 244.88037109	Z: 42.13180542
        Accel-X: 19.99511719	Y: -4.56970215	Z: 10.82458496	|  Gyro-X: 7.88055420	Y: 244.88037109	Z: 55.20874023
        Accel-X: 19.99511719	Y: -4.35485840	Z: 7.57080078	|  Gyro-X: -0.96450806	Y: 244.88037109	Z: 61.44439697
        Accel-X: 19.99511719	Y: -0.96923828	Z: 0.77697754	|  Gyro-X: 3.37203979	Y: 244.88037109	Z: 53.87039185
        Accel-X: 17.31689453	Y: -1.46789551	Z: -0.82641602	|  Gyro-X: 3.49914551	Y: 244.88037109	Z: 49.30953979
        Accel-X: 13.75854492	Y: -1.13830566	Z: -2.66906738	|  Gyro-X: 31.05117798	Y: 244.87289429	Z: 42.60284424
