Accel-X: 8.76464844	Y: -3.02246094	Z: -0.21301270	|  Gyro-X: -7.28988647	Y: 4.65057373	Z: -1.74957275
        Accel-X: 8.71398926	Y: -3.08715820	Z: -0.31433105	|  Gyro-X: -6.84875488	Y: 4.98703003	Z: -1.61499023
        Accel-X: 8.82629395	Y: -3.10241699	Z: -0.32775879	|  Gyro-X: -5.95153809	Y: 4.39636230	Z: -1.71966553
        Accel-X: 8.69201660	Y: -3.01574707	Z: -0.29846191	|  Gyro-X: -5.69732666	Y: 4.45617676	Z: -1.62246704
        Accel-X: 8.80737305	Y: -2.97607422	Z: -0.29235840	|  Gyro-X: -6.63192749	Y: 4.26925659	Z: -2.65426636
        Accel-X: 8.77624512	Y: -3.02917480	Z: -0.25756836	|  Gyro-X: -7.62634277	Y: 5.37582397	Z: -2.66921997
        Accel-X: 8.77075195	Y: -3.06274414	Z: -0.01953125	|  Gyro-X: -8.79272461	Y: 4.80758667	Z: -3.09539795
        Accel-X: 9.04052734	Y: -3.05419922	Z: -0.20507812	|  Gyro-X: -12.03018188	Y: 4.93469238	Z: -3.16268921
        Accel-X: 8.57299805	Y: -3.16467285	Z: -0.12573242	|  Gyro-X: -13.27133179	Y: 7.98522949	Z: -2.10098267
        Accel-X: 8.65112305	Y: -3.36914062	Z: -0.16906738	|  Gyro-X: -12.23953247	Y: 5.88424683	Z: -2.18322754
        Accel-X: 8.90197754	Y: -3.40270996	Z: -0.18737793	|  Gyro-X: -7.16278076	Y: 4.75524902	Z: -3.11782837
        Accel-X: 8.80493164	Y: -2.69714355	Z: 0.01770020	|  Gyro-X: -7.70111084	Y: 6.16088867	Z: -3.49914551
        Accel-X: 9.12170410	Y: -2.39013672	Z: 0.48217773	|  Gyro-X: -17.38357544	Y: 4.53094482	Z: 0.15701294
        Accel-X: 10.58593750	Y: -2.48840332	Z: 2.01293945	|  Gyro-X: -25.97442627	Y: 2.68417358	Z: 9.81704712
        Accel-X: 12.82165527	Y: -3.18847656	Z: 7.49389648	|  Gyro-X: -40.05325317	Y: 9.58526611	Z: 31.18576050
        Accel-X: 15.57250977	Y: -5.10375977	Z: 16.18591309	|  Gyro-X: -22.26593018	Y: 54.58816528	Z: 42.37106323
        Accel-X: 14.40063477	Y: -3.95935059	Z: 16.75964355	|  Gyro-X: 36.15783691	Y: 72.00164795	Z: 25.24917603
        Accel-X: 15.11962891	Y: 0.56030273	Z: 15.46569824	|  Gyro-X: 47.39547729	Y: 130.77682495	Z: -25.84732056
        Accel-X: 17.48657227	Y: 0.15747070	Z: 14.80590820	|  Gyro-X: 13.24142456	Y: 178.05267334	Z: -76.87652588
        Accel-X: 19.99511719	Y: -1.63208008	Z: 16.40075684	|  Gyro-X: -31.27548218	Y: 240.68588257	Z: -93.07876587
        Accel-X: 19.99511719	Y: -5.16418457	Z: 12.60559082	|  Gyro-X: -82.49908447	Y: 244.88037109	Z: -61.45187378
        Accel-X: 19.99511719	Y: -9.01428223	Z: 8.39111328	|  Gyro-X: -70.46142578	Y: 244.88037109	Z: -9.97406006
