Accel-X: 9.19494629	Y: -1.43127441	Z: 0.48828125	|  Gyro-X: 7.11044312	Y: -1.24862671	Z: -7.14035034
        Accel-X: 9.04052734	Y: -1.52648926	Z: 0.49133301	|  Gyro-X: 2.63183594	Y: -1.01684570	Z: -4.20944214
        Accel-X: 8.92456055	Y: -1.54479980	Z: 0.79528809	|  Gyro-X: 1.72714233	Y: -2.09350586	Z: -2.65426636
        Accel-X: 8.91723633	Y: -1.32873535	Z: 0.84411621	|  Gyro-X: 2.67669678	Y: -2.50473022	Z: -1.94396973
        Accel-X: 9.01367188	Y: -1.06689453	Z: 0.97229004	|  Gyro-X: -2.88604736	Y: -1.17385864	Z: -0.91964722
        Accel-X: 9.02343750	Y: -0.95458984	Z: 1.17614746	|  Gyro-X: -7.82821655	Y: 0.40374756	Z: -0.53833008
        Accel-X: 9.10339355	Y: -1.13342285	Z: 1.23229980	|  Gyro-X: -9.18899536	Y: 0.74020386	Z: -0.63552856
        Accel-X: 9.28588867	Y: -1.13403320	Z: 1.20788574	|  Gyro-X: -9.08432007	Y: 1.23367310	Z: -1.60751343
        Accel-X: 9.23706055	Y: -1.23291016	Z: 1.00708008	|  Gyro-X: -9.52545166	Y: 2.63183594	Z: -1.69723511
        Accel-X: 9.12902832	Y: -1.28356934	Z: 0.89721680	|  Gyro-X: -11.43203735	Y: 2.19818115	Z: -1.52526855
        Accel-X: 9.05029297	Y: -1.44592285	Z: 0.84899902	|  Gyro-X: -11.11801147	Y: 1.86172485	Z: -1.57760620
        Accel-X: 8.95202637	Y: -1.63696289	Z: 0.91430664	|  Gyro-X: -3.40194702	Y: 0.18692017	Z: -2.27294922
        Accel-X: 9.01123047	Y: -1.35437012	Z: 0.93322754	|  Gyro-X: 2.68417358	Y: -1.51031494	Z: -4.52346802
        Accel-X: 8.93249512	Y: -1.36962891	Z: 0.95764160	|  Gyro-X: 0.84487915	Y: -1.67480469	Z: -4.44122314
        Accel-X: 8.96118164	Y: -1.45690918	Z: 0.85937500	|  Gyro-X: -0.69534302	Y: -1.63742065	Z: -4.41879272
        Accel-X: 8.88122559	Y: -1.57470703	Z: 0.81848145	|  Gyro-X: 0.02243042	Y: -1.84677124	Z: -4.05242920
        Accel-X: 8.86108398	Y: -2.36877441	Z: 0.94177246	|  Gyro-X: 8.62823486	Y: -3.81317139	Z: -4.36645508
        Accel-X: 8.77502441	Y: -2.25463867	Z: 1.75231934	|  Gyro-X: 21.81732178	Y: -7.53662109	Z: -5.61508179
        Accel-X: 8.74938965	Y: -2.67639160	Z: 2.02087402	|  Gyro-X: 35.20828247	Y: -9.34600830	Z: -4.66552734
        Accel-X: 9.19860840	Y: -5.30883789	Z: 3.37402344	|  Gyro-X: 78.27468872	Y: -18.05648804	Z: 1.62246704
        Accel-X: 9.43908691	Y: -4.78942871	Z: 8.04748535	|  Gyro-X: 102.96310425	Y: -20.03036499	Z: -1.38320923
        Accel-X: 8.23059082	Y: -6.66259766	Z: 15.07019043	|  Gyro-X: 106.87347412	Y: 12.68066406	Z: -5.05432129
        Accel-X: 10.82824707	Y: -7.62573242	Z: 16.55883789	|  Gyro-X: 93.01895142	Y: 48.03100586	Z: -2.57202148
        Accel-X: 14.28039551	Y: -7.72949219	Z: 17.90588379	|  Gyro-X: 74.89517212	Y: 93.65447998	Z: 13.42086792
        Accel-X: 16.33056641	Y: -9.10034180	Z: 19.38110352	|  Gyro-X: 55.71716309	Y: 150.38848877	Z: 35.17089844
        Accel-X: 18.75122070	Y: -9.11315918	Z: 16.95861816	|  Gyro-X: 63.03695679	Y: 198.43444824	Z: 61.98272705
        Accel-X: 19.99511719	Y: -8.58093262	Z: 13.45642090	|  Gyro-X: 97.90130615	Y: 232.48382568	Z: 77.95318604
        Accel-X: 19.99511719	Y: -6.49353027	Z: 9.12536621	|  Gyro-X: 116.20452881	Y: 244.88037109	Z: 80.54763794
        Accel-X: 19.99511719	Y: -5.33508301	Z: 7.50793457	|  Gyro-X: 101.83410645	Y: 244.88037109	Z: 78.65600586
        Accel-X: 19.82238770	Y: -4.86633301	Z: 6.74804688	|  Gyro-X: 89.42260742	Y: 244.88037109	Z: 79.73266602
        Accel-X: 17.98645020	Y: -3.69445801	Z: 3.74023438	|  Gyro-X: 87.91976929	Y: 244.88037109	Z: 68.47259521
        Accel-X: 15.21972656	Y: -3.03649902	Z: 2.84790039	|  Gyro-X: 73.96057129	Y: 244.88037109	Z: 60.23315430
        Accel-X: 12.93395996	Y: -2.06359863	Z: 1.93603516	|  Gyro-X: 66.52114868	Y: 238.96621704	Z: 50.13198853
