Accel-X: 8.92211914	Y: -1.95312500	Z: 0.15136719	|  Gyro-X: 1.18133545	Y: 3.63372803	Z: -2.07855225
        Accel-X: 8.90502930	Y: -1.84509277	Z: 0.11596680	|  Gyro-X: -1.03927612	Y: 3.27484131	Z: -1.58508301
        Accel-X: 8.99841309	Y: -1.79931641	Z: 0.01586914	|  Gyro-X: -2.79632568	Y: 2.49725342	Z: -1.29348755
        Accel-X: 9.08996582	Y: -1.86279297	Z: 0.09216309	|  Gyro-X: -4.56832886	Y: 2.08602905	Z: -1.35330200
        Accel-X: 9.11499023	Y: -2.07702637	Z: 0.05737305	|  Gyro-X: -4.62814331	Y: 2.92343140	Z: -1.85424805
        Accel-X: 9.02465820	Y: -2.21740723	Z: 0.34851074	|  Gyro-X: 0.02990723	Y: 3.48419189	Z: -3.29727173
        Accel-X: 9.11254883	Y: -2.84729004	Z: 0.23742676	|  Gyro-X: 25.96694946	Y: 3.51409912	Z: -4.51599121
        Accel-X: 8.95568848	Y: -2.21679688	Z: 0.70678711	|  Gyro-X: 37.59338379	Y: 2.77389526	Z: -7.69363403
        Accel-X: 9.00451660	Y: -1.36474609	Z: 0.75134277	|  Gyro-X: 30.77453613	Y: 1.98883057	Z: -6.21322632
        Accel-X: 9.02343750	Y: -1.49780273	Z: 0.61401367	|  Gyro-X: 14.83398438	Y: 2.12341309	Z: -2.96829224
        Accel-X: 8.82629395	Y: -1.84875488	Z: 0.38452148	|  Gyro-X: 3.38699341	Y: 2.42248535	Z: -1.34582520
        Accel-X: 8.87145996	Y: -1.79748535	Z: 0.32836914	|  Gyro-X: -4.81506348	Y: 1.10656738	Z: -1.00936890
        Accel-X: 8.91296387	Y: -1.94885254	Z: 0.20324707	|  Gyro-X: -11.32736206	Y: 1.15890503	Z: -0.47103882
        Accel-X: 8.84765625	Y: -2.03491211	Z: 0.06774902	|  Gyro-X: -14.96109009	Y: 1.40563965	Z: -1.18881226
        Accel-X: 8.91235352	Y: -2.18811035	Z: 0.12878418	|  Gyro-X: -10.81893921	Y: 0.58319092	Z: -1.38320923
        Accel-X: 9.04052734	Y: -2.18688965	Z: 0.43212891	|  Gyro-X: -6.32537842	Y: 0.48599243	Z: -2.17575073
        Accel-X: 9.07287598	Y: -2.02270508	Z: 0.69519043	|  Gyro-X: -5.73471069	Y: 0.13458252	Z: -2.37014771
        Accel-X: 9.07958984	Y: -2.06787109	Z: 0.62866211	|  Gyro-X: -8.43383789	Y: 0.53085327	Z: -1.42059326
        Accel-X: 9.00878906	Y: -2.29431152	Z: 0.58715820	|  Gyro-X: -8.99459839	Y: 0.44860840	Z: -0.95703125
        Accel-X: 8.98681641	Y: -2.60131836	Z: 0.45593262	|  Gyro-X: -4.31411743	Y: 0.97946167	Z: -0.01495361
        Accel-X: 8.91662598	Y: -2.63000488	Z: 0.47973633	|  Gyro-X: 7.14782715	Y: 1.49536133	Z: -0.45608521
        Accel-X: 8.85131836	Y: -2.04956055	Z: 0.52490234	|  Gyro-X: 11.68624878	Y: 0.74768066	Z: -0.71029663
        Accel-X: 8.86779785	Y: -2.02636719	Z: 0.35156250	|  Gyro-X: 9.09179688	Y: -0.05981445	Z: -0.12710571
        Accel-X: 8.92150879	Y: -2.05810547	Z: 0.16662598	|  Gyro-X: 8.26934814	Y: -0.68038940	Z: -0.89721680
        Accel-X: 9.03503418	Y: -2.04040527	Z: 0.10803223	|  Gyro-X: 9.09179688	Y: -1.52526855	Z: -1.85424805
        Accel-X: 9.06860352	Y: -2.07336426	Z: 0.19042969	|  Gyro-X: 9.97406006	Y: -1.33087158	Z: -2.89352417
        Accel-X: 9.00695801	Y: -1.88659668	Z: 0.18859863	|  Gyro-X: 8.93478394	Y: -0.77011108	Z: -3.82812500
        Accel-X: 9.02038574	Y: -2.01416016	Z: 0.21057129	|  Gyro-X: 7.40203857	Y: -0.41870117	Z: -3.05053711
        Accel-X: 8.83728027	Y: -2.73376465	Z: 0.17395020	|  Gyro-X: 27.57446289	Y: -1.97387695	Z: -4.00756836
        Accel-X: 8.75122070	Y: -2.56164551	Z: 0.89355469	|  Gyro-X: 39.89624023	Y: -4.42626953	Z: -7.42446899
        Accel-X: 8.99658203	Y: -2.79296875	Z: 1.56127930	|  Gyro-X: 52.35260010	Y: -7.34222412	Z: -10.18341064
        Accel-X: 9.27246094	Y: -6.81030273	Z: 3.32824707	|  Gyro-X: 91.56097412	Y: -12.26943970	Z: -10.40023804
        Accel-X: 9.08874512	Y: -8.34472656	Z: 6.45324707	|  Gyro-X: 174.24697876	Y: -12.00775146	Z: -14.34799194
        Accel-X: 8.60961914	Y: -8.05480957	Z: 9.60449219	|  Gyro-X: 244.10278320	Y: -4.85992432	Z: -17.12188721
        Accel-X: 9.78210449	Y: -5.16052246	Z: 15.55297852	|  Gyro-X: 244.79812622	Y: 21.67526245	Z: -19.55932617
        Accel-X: 13.20434570	Y: -5.05859375	Z: 16.90612793	|  Gyro-X: 173.79837036	Y: 59.75463867	Z: -9.05441284
        Accel-X: 14.82421875	Y: -7.26379395	Z: 16.71997070	|  Gyro-X: 97.17605591	Y: 142.19390869	Z: 24.05288696
        Accel-X: 17.56225586	Y: -9.83520508	Z: 17.16247559	|  Gyro-X: 82.20748901	Y: 188.33328247	Z: 46.68518066
        Accel-X: 19.99511719	Y: -8.21838379	Z: 16.60217285	|  Gyro-X: 115.76339722	Y: 223.78082275	Z: 50.22918701
        Accel-X: 19.99511719	Y: -6.43127441	Z: 14.50195312	|  Gyro-X: 128.35433960	Y: 244.85794067	Z: 53.91525269
        Accel-X: 19.99511719	Y: -5.57434082	Z: 10.28564453	|  Gyro-X: 110.79879761	Y: 244.88037109	Z: 55.45547485
        Accel-X: 19.99511719	Y: -5.13610840	Z: 6.93542480	|  Gyro-X: 76.86904907	Y: 244.88037109	Z: 52.80120850
        Accel-X: 19.19128418	Y: -4.11132812	Z: 2.87048340	|  Gyro-X: 45.37673950	Y: 244.88037109	Z: 52.56195068
        Accel-X: 16.63635254	Y: -2.20520020	Z: -0.46447754	|  Gyro-X: 35.55969238	Y: 244.88037109	Z: 44.96551514
        Accel-X: 12.64404297	Y: -1.35498047	Z: -1.87561035	|  Gyro-X: 47.10388184	Y: 235.49697876	Z: 25.89965820
        Accel-X: 7.22045898	Y: 0.52917480	Z: -3.17260742	|  Gyro-X: 61.04812622	Y: 193.90350342	Z: 12.68066406
        Accel-X: 6.05224609	Y: 1.26647949	Z: -4.13757324	|  Gyro-X: 70.33432007	Y: 152.98294067	Z: -6.71417236
        Accel-X: 4.59960938	Y: 1.94274902	Z: -4.09973145	|  Gyro-X: 67.19406128	Y: 119.59899902	Z: -19.52941895
        Accel-X: 3.10180664	Y: -0.29296875	Z: -2.63610840	|  Gyro-X: 44.21035767	Y: 93.84887695	Z: -27.11837769
        Accel-X: 2.78076172	Y: -0.13061523	Z: -1.10534668	|  Gyro-X: 28.02307129	Y: 70.60348511	Z: -20.45654297
        Accel-X: 1.25976562	Y: 0.45227051	Z: 0.59143066	|  Gyro-X: 26.89407349	Y: 52.41989136	Z: -17.09197998
        Accel-X: 0.47546387	Y: 0.19226074	Z: 2.48474121	|  Gyro-X: 56.27044678	Y: 20.61355591	Z: -27.51464844
        Accel-X: 0.28625488	Y: 0.45532227	Z: 4.63928223	|  Gyro-X: 46.73004150	Y: 7.55905151	Z: -20.72570801
        Accel-X: -0.80139160	Y: 1.34521484	Z: 6.25671387	|  Gyro-X: 18.25088501	Y: 4.65057373	Z: -7.42446899
        Accel-X: -0.64392090	Y: 1.39892578	Z: 7.65625000	|  Gyro-X: 9.78713989	Y: 1.20376587	Z: -3.94775391
        Accel-X: -0.84350586	Y: 1.71752930	Z: 9.36889648	|  Gyro-X: 23.08837891	Y: -1.18881226	Z: -11.69372559
        Accel-X: -0.64636230	Y: 1.46301270	Z: 9.86328125	|  Gyro-X: 30.16143799	Y: -1.56265259	Z: -14.54238892
        Accel-X: -0.55358887	Y: 1.60705566	Z: 10.04150391	|  Gyro-X: 17.23403931	Y: -0.59814453	Z: -8.80020142
        Accel-X: 0.02136230	Y: 1.34338379	Z: 10.59570312	|  Gyro-X: 3.67858887	Y: 2.18322754	Z: -5.52536011
        Accel-X: -0.30090332	Y: 1.00952148	Z: 10.44677734	|  Gyro-X: -1.52526855	Y: 5.96649170	Z: -5.39077759
        Accel-X: -0.36743164	Y: 0.86059570	Z: 10.27954102	|  Gyro-X: 5.26367188	Y: 8.39645386	Z: -5.80947876
        Accel-X: -0.44982910	Y: 0.87036133	Z: 9.84924316	|  Gyro-X: 12.75543213	Y: 8.81515503	Z: -5.06927490
        Accel-X: -0.63842773	Y: 0.90759277	Z: 9.88647461	|  Gyro-X: 18.08639526	Y: 6.51229858	Z: -7.27493286
