Accel-X: 8.66882324	Y: -3.39843750	Z: -0.01281738	|  Gyro-X: -4.85244751	Y: 2.81127930	Z: -1.85424805
        Accel-X: 8.61633301	Y: -3.24157715	Z: 0.07141113	|  Gyro-X: -3.55148315	Y: 2.80380249	Z: -2.46734619
        Accel-X: 8.60290527	Y: -3.18298340	Z: 0.10070801	|  Gyro-X: -1.89910889	Y: 3.09539795	Z: -2.41500854
        Accel-X: 8.71887207	Y: -3.15185547	Z: 0.00122070	|  Gyro-X: -2.49725342	Y: 2.48229980	Z: -1.99630737
        Accel-X: 8.80004883	Y: -3.17626953	Z: -0.04699707	|  Gyro-X: -2.89352417	Y: 3.21502686	Z: -2.01126099
        Accel-X: 8.82019043	Y: -3.11096191	Z: -0.05554199	|  Gyro-X: -3.82064819	Y: 3.52905273	Z: -2.10845947
        Accel-X: 8.74816895	Y: -3.26538086	Z: -0.07812500	|  Gyro-X: -5.60012817	Y: 4.17205811	Z: -0.26168823
        Accel-X: 8.63708496	Y: -3.28002930	Z: 0.01342773	|  Gyro-X: -6.44500732	Y: 4.70291138	Z: 0.77758789
        Accel-X: 8.70544434	Y: -3.25988770	Z: -0.10925293	|  Gyro-X: -8.13476562	Y: 3.93280029	Z: 1.71966553
        Accel-X: 8.73168945	Y: -3.51013184	Z: -0.16296387	|  Gyro-X: -10.23574829	Y: 4.70291138	Z: 4.68795776
        Accel-X: 8.68591309	Y: -3.71520996	Z: -0.06958008	|  Gyro-X: -10.83389282	Y: 5.20385742	Z: 6.92352295
        Accel-X: 8.75488281	Y: -3.35998535	Z: -0.15441895	|  Gyro-X: -12.36663818	Y: 4.97207642	Z: 7.88055420
        Accel-X: 8.55773926	Y: -3.24462891	Z: -0.13732910	|  Gyro-X: -15.28259277	Y: 6.60949707	Z: 8.27682495
        Accel-X: 8.43139648	Y: -3.46801758	Z: -0.06591797	|  Gyro-X: -15.22277832	Y: 6.39266968	Z: 8.31420898
        Accel-X: 8.48205566	Y: -3.31237793	Z: -0.09643555	|  Gyro-X: -15.22277832	Y: 5.50292969	Z: 5.47302246
        Accel-X: 8.46679688	Y: -3.18603516	Z: -0.06469727	|  Gyro-X: -14.81903076	Y: 5.76461792	Z: 3.21502686
        Accel-X: 8.49121094	Y: -3.25073242	Z: 0.04211426	|  Gyro-X: -14.23583984	Y: 6.42257690	Z: 0.84487915
        Accel-X: 8.52478027	Y: -3.31726074	Z: -0.12878418	|  Gyro-X: -14.68444824	Y: 6.24313354	Z: -1.02432251
        Accel-X: 8.49609375	Y: -3.44299316	Z: -0.11413574	|  Gyro-X: -14.84893799	Y: 7.04315186	Z: -0.78506470
        Accel-X: 8.45031738	Y: -3.52844238	Z: -0.01586914	|  Gyro-X: -13.62274170	Y: 5.59265137	Z: -1.74957275
        Accel-X: 8.65356445	Y: -3.51074219	Z: -0.08972168	|  Gyro-X: -13.42834473	Y: 4.39636230	Z: -1.52526855
        Accel-X: 8.88061523	Y: -3.48510742	Z: -0.10498047	|  Gyro-X: -13.78723145	Y: 4.77020264	Z: -0.94955444
        Accel-X: 9.24621582	Y: -2.97180176	Z: 0.21118164	|  Gyro-X: -18.48266602	Y: 6.15341187	Z: 0.28411865
        Accel-X: 9.81384277	Y: -2.80761719	Z: 0.58959961	|  Gyro-X: -24.81552124	Y: 5.37582397	Z: 4.11224365
        Accel-X: 10.11596680	Y: -2.11120605	Z: 4.99389648	|  Gyro-X: -44.07577515	Y: 20.77056885	Z: 23.89587402
        Accel-X: 12.66723633	Y: -2.47802734	Z: 10.78796387	|  Gyro-X: -63.99398804	Y: 22.41546631	Z: 37.87002563
        Accel-X: 17.49633789	Y: -4.96276855	Z: 19.98107910	|  Gyro-X: -12.23205566	Y: 93.97598267	Z: 16.62841797
        Accel-X: 13.97033691	Y: -1.20666504	Z: 18.58093262	|  Gyro-X: 1.04675293	Y: 120.26443481	Z: -33.01010132
        Accel-X: 18.13659668	Y: -5.26977539	Z: 13.63647461	|  Gyro-X: -9.27871704	Y: 150.12680054	Z: -47.99362183
        Accel-X: 19.75219727	Y: -6.43249512	Z: 9.54467773	|  Gyro-X: -4.94964600	Y: 197.51480103	Z: -55.76202393
        Accel-X: 17.80212402	Y: -2.77893066	Z: 4.95300293	|  Gyro-X: 14.05639648	Y: 239.90829468	Z: -93.35540771
        Accel-X: 17.08679199	Y: -7.57568359	Z: 1.52099609	|  Gyro-X: -7.89550781	Y: 235.93063354	Z: -53.95263672
        Accel-X: 18.26110840	Y: -9.17480469	Z: 11.50634766	|  Gyro-X: -83.80004883	Y: 244.88037109	Z: 22.50518799
        Accel-X: 19.99511719	Y: -8.11157227	Z: 7.42309570	|  Gyro-X: 20.00793457	Y: 244.88037109	Z: 24.09027100
        Accel-X: 18.76831055	Y: -2.83081055	Z: 4.68994141	|  Gyro-X: 11.39465332	Y: 244.88037109	Z: 33.56338501
        Accel-X: 13.61816406	Y: -7.70263672	Z: 1.92932129	|  Gyro-X: 50.61798096	Y: 244.87289429	Z: 56.22558594
        Accel-X: 9.97558594	Y: -3.16284180	Z: -0.61340332	|  Gyro-X: 150.75485229	Y: 211.47399902	Z: 4.77767944
        Accel-X: 8.45397949	Y: -2.26013184	Z: -1.28845215	|  Gyro-X: 138.75457764	Y: 181.47705078	Z: -19.89578247
        Accel-X: 6.72485352	Y: 0.34301758	Z: 0.54687500	|  Gyro-X: 93.48251343	Y: 166.26174927	Z: -33.57833862
        Accel-X: 4.62890625	Y: -1.75964355	Z: 1.18835449	|  Gyro-X: 49.39178467	Y: 147.18841553	Z: -38.72985840
        Accel-X: 3.51013184	Y: -1.87438965	Z: 1.35009766	|  Gyro-X: 44.56176758	Y: 125.02716064	Z: -40.74859619
        Accel-X: 2.27905273	Y: -0.66223145	Z: 1.01806641	|  Gyro-X: 48.06091309	Y: 105.46035767	Z: -45.98236084
        Accel-X: 1.02050781	Y: -1.68029785	Z: 1.71508789	|  Gyro-X: 58.95462036	Y: 88.58520508	Z: -52.35260010
        Accel-X: -0.08911133	Y: -1.70532227	Z: 2.69042969	|  Gyro-X: 67.41836548	Y: 66.96975708	Z: -53.65356445
        Accel-X: -0.58959961	Y: -2.03857422	Z: 3.37585449	|  Gyro-X: 64.59213257	Y: 51.84417725	Z: -44.03839111
        Accel-X: -1.35742188	Y: -1.19873047	Z: 3.66577148	|  Gyro-X: 60.12847900	Y: 41.69815063	Z: -32.00820923
