Accel-X: 9.72106934	Y: -0.02990723	Z: 0.62072754	|  Gyro-X: -8.84506226	Y: -1.13647461	Z: -6.55715942
        Accel-X: 9.75097656	Y: -0.06896973	Z: 0.69091797	|  Gyro-X: -8.86749268	Y: -1.07666016	Z: -7.00576782
        Accel-X: 9.68933105	Y: -0.11718750	Z: 0.62255859	|  Gyro-X: -8.87496948	Y: -0.68038940	Z: -6.57958984
        Accel-X: 9.71679688	Y: -0.14160156	Z: 0.61340332	|  Gyro-X: -8.08242798	Y: -0.86730957	Z: -5.78704834
        Accel-X: 9.74670410	Y: -0.07202148	Z: 0.56640625	|  Gyro-X: -8.26187134	Y: -1.07666016	Z: -5.95901489
        Accel-X: 9.71618652	Y: -0.05554199	Z: 0.70983887	|  Gyro-X: -9.25628662	Y: -1.27853394	Z: -6.23565674
        Accel-X: 9.71435547	Y: -0.08972168	Z: 0.65490723	|  Gyro-X: -9.77966309	Y: -0.88973999	Z: -5.94406128
        Accel-X: 9.75952148	Y: -0.07995605	Z: 0.66589355	|  Gyro-X: -9.27871704	Y: -1.27105713	Z: -6.06369019
        Accel-X: 9.72534180	Y: -0.11047363	Z: 0.68115234	|  Gyro-X: -9.01702881	Y: -1.32339478	Z: -5.53283691
        Accel-X: 9.67285156	Y: -0.00061035	Z: 0.67504883	|  Gyro-X: -8.97964478	Y: -1.77947998	Z: -5.71228027
        Accel-X: 9.72778320	Y: -0.05981445	Z: 0.73913574	|  Gyro-X: -9.33853149	Y: -1.56265259	Z: -6.07116699
        Accel-X: 9.71679688	Y: -0.07507324	Z: 0.73425293	|  Gyro-X: -8.74786377	Y: -1.06170654	Z: -5.68984985
        Accel-X: 9.75097656	Y: -0.02319336	Z: 0.69702148	|  Gyro-X: -7.91793823	Y: -1.47293091	Z: -5.74218750
        Accel-X: 9.74975586	Y: 0.03906250	Z: 0.72753906	|  Gyro-X: -8.44131470	Y: -1.27853394	Z: -5.59265137
        Accel-X: 9.83520508	Y: -0.03906250	Z: 0.73303223	|  Gyro-X: -8.94226074	Y: -1.21124268	Z: -5.35339355
        Accel-X: 9.68872070	Y: -0.01464844	Z: 0.72326660	|  Gyro-X: -8.94973755	Y: -0.39627075	Z: -5.37582397
        Accel-X: 9.70581055	Y: -0.10742188	Z: 0.70983887	|  Gyro-X: -8.07495117	Y: -0.23925781	Z: -4.90478516
        Accel-X: 9.70336914	Y: -0.06347656	Z: 0.75500488	|  Gyro-X: -7.05062866	Y: -0.45608521	Z: -5.18890381
        Accel-X: 9.74304199	Y: -0.02868652	Z: 0.73608398	|  Gyro-X: -7.16278076	Y: -0.63552856	Z: -5.57769775
        Accel-X: 9.73937988	Y: -0.06408691	Z: 0.67749023	|  Gyro-X: -7.50671387	Y: -0.18692017	Z: -6.11602783
        Accel-X: 9.69238281	Y: -0.10742188	Z: 0.72143555	|  Gyro-X: -8.00018311	Y: -0.71029663	Z: -5.83938599
        Accel-X: 9.71435547	Y: -0.18005371	Z: 0.70007324	|  Gyro-X: -7.59643555	Y: -0.69534302	Z: -5.60012817
        Accel-X: 9.70153809	Y: -0.18127441	Z: 0.76232910	|  Gyro-X: -6.07864380	Y: -0.64300537	Z: -5.37582397
        Accel-X: 9.65087891	Y: -0.17456055	Z: 0.70007324	|  Gyro-X: -4.14215088	Y: -0.42617798	Z: -5.46554565
        Accel-X: 9.70947266	Y: -0.18127441	Z: 0.78491211	|  Gyro-X: -3.71597290	Y: -0.77758789	Z: -6.09359741
        Accel-X: 9.71496582	Y: -0.28015137	Z: 0.85815430	|  Gyro-X: -2.99072266	Y: -0.47103882	Z: -5.93658447
        Accel-X: 9.63439941	Y: -0.54748535	Z: 0.64697266	|  Gyro-X: -0.03738403	Y: -0.23925781	Z: -5.33096313
        Accel-X: 9.45373535	Y: -0.83068848	Z: 0.81115723	|  Gyro-X: 8.26934814	Y: 0.08972168	Z: -4.06738281
        Accel-X: 9.33044434	Y: -0.86791992	Z: 1.84326172	|  Gyro-X: 20.32196045	Y: -0.08224487	Z: -4.49356079
        Accel-X: 9.91943359	Y: -0.46936035	Z: 1.97753906	|  Gyro-X: 28.58383179	Y: -1.71966553	Z: -5.09918213
        Accel-X: 9.93530273	Y: -0.83190918	Z: 2.35168457	|  Gyro-X: 28.97262573	Y: 2.93090820	Z: -5.22628784
        Accel-X: 9.40795898	Y: -0.94116211	Z: 4.29565430	|  Gyro-X: 35.40267944	Y: 5.15899658	Z: -9.77218628
        Accel-X: 9.67834473	Y: -0.72265625	Z: 5.16357422	|  Gyro-X: 31.51473999	Y: 9.35348511	Z: -10.01892090
        Accel-X: 10.20141602	Y: -1.24206543	Z: 5.49621582	|  Gyro-X: 18.81164551	Y: 18.81164551	Z: -7.80578613
        Accel-X: 10.86364746	Y: -2.17041016	Z: 6.99462891	|  Gyro-X: 31.56707764	Y: 28.62121582	Z: -11.67129517
        Accel-X: 11.35131836	Y: -1.20971680	Z: 7.57263184	|  Gyro-X: 35.12603760	Y: 36.21017456	Z: -12.18719482
        Accel-X: 12.19360352	Y: -0.96740723	Z: 7.57690430	|  Gyro-X: 12.17224121	Y: 54.62554932	Z: -6.73660278
        Accel-X: 12.51770020	Y: -3.28308105	Z: 8.35693359	|  Gyro-X: -0.34393311	Y: 79.11956787	Z: 7.52166748
        Accel-X: 12.91564941	Y: -2.70385742	Z: 7.90710449	|  Gyro-X: 21.40609741	Y: 94.32739258	Z: 26.41555786
        Accel-X: 13.88793945	Y: -1.03271484	Z: 7.51159668	|  Gyro-X: 20.38177490	Y: 109.09408569	Z: 36.33728027
        Accel-X: 13.84338379	Y: -2.12097168	Z: 7.69348145	|  Gyro-X: 11.64886475	Y: 129.49829102	Z: 43.91876221
        Accel-X: 13.55957031	Y: -2.85461426	Z: 8.02917480	|  Gyro-X: 32.01568604	Y: 144.57153320	Z: 52.67410278
        Accel-X: 14.27490234	Y: -1.10351562	Z: 7.26867676	|  Gyro-X: 39.76165771	Y: 149.70809937	Z: 56.91345215
        Accel-X: 14.31335449	Y: -1.27563477	Z: 6.75048828	|  Gyro-X: 29.20440674	Y: 160.04852295	Z: 59.48547363
        Accel-X: 13.33374023	Y: -1.66198730	Z: 6.72485352	|  Gyro-X: 24.26223755	Y: 164.78134155	Z: 57.11532593
        Accel-X: 12.09899902	Y: -0.92102051	Z: 6.42089844	|  Gyro-X: 33.01010132	Y: 160.91583252	Z: 51.35070801
        Accel-X: 11.44165039	Y: -0.67871094	Z: 6.00646973	|  Gyro-X: 37.57843018	Y: 155.54748535	Z: 43.64959717
