Accel-X: -1.46118164	Y: -7.31933594	Z: 7.28698730	|  Gyro-X: -14.21340942	Y: -0.36636353	Z: -20.92010498
        Accel-X: -1.43127441	Y: -7.31811523	Z: 7.25280762	|  Gyro-X: -10.45257568	Y: -1.54022217	Z: -16.56860352
        Accel-X: -1.22131348	Y: -7.36633301	Z: 7.24975586	|  Gyro-X: -7.06558228	Y: -3.28979492	Z: -9.98153687
        Accel-X: -1.04309082	Y: -7.16857910	Z: 7.12280273	|  Gyro-X: -7.50671387	Y: -2.49725342	Z: -6.37023926
        Accel-X: -0.95825195	Y: -7.21252441	Z: 7.14721680	|  Gyro-X: -8.26934814	Y: -1.97387695	Z: -2.13088989
        Accel-X: -0.75439453	Y: -7.12097168	Z: 7.05322266	|  Gyro-X: -6.62445068	Y: -2.57202148	Z: 2.14584351
        Accel-X: -0.44494629	Y: -7.04406738	Z: 6.90368652	|  Gyro-X: -4.89730835	Y: -3.82064819	Z: 3.94027710
        Accel-X: -0.14160156	Y: -6.94396973	Z: 6.83227539	|  Gyro-X: -3.59634399	Y: -4.44869995	Z: 4.19448853
        Accel-X: -0.04150391	Y: -6.87133789	Z: 6.83227539	|  Gyro-X: -3.05801392	Y: -3.38699341	Z: 5.15899658
        Accel-X: 0.02258301	Y: -6.83410645	Z: 6.89697266	|  Gyro-X: -4.37393188	Y: -3.05801392	Z: 5.18142700
        Accel-X: 0.20141602	Y: -6.81274414	Z: 6.83044434	|  Gyro-X: -5.15899658	Y: -3.64868164	Z: 4.25430298
        Accel-X: 0.24414062	Y: -6.79077148	Z: 6.76269531	|  Gyro-X: -5.21881104	Y: -2.42248535	Z: 3.63372803
        Accel-X: 0.33935547	Y: -6.78100586	Z: 6.77307129	|  Gyro-X: -5.32348633	Y: -3.25988770	Z: 1.39068604
        Accel-X: 0.43151855	Y: -6.69738770	Z: 6.74316406	|  Gyro-X: -6.33285522	Y: -3.13278198	Z: 0.10467529
        Accel-X: 0.34729004	Y: -6.68273926	Z: 6.67907715	|  Gyro-X: -6.80389404	Y: -2.40753174	Z: -0.27664185
        Accel-X: 0.26672363	Y: -6.66259766	Z: 6.70593262	|  Gyro-X: -6.68426514	Y: -2.25051880	Z: -1.58508301
