Accel-X: 9.46166992	Y: -0.19104004	Z: 0.18981934	|  Gyro-X: 0.65795898	Y: 2.76641846	Z: -11.37969971
        Accel-X: 9.48791504	Y: -0.39794922	Z: 0.06835938	|  Gyro-X: 2.01873779	Y: 2.34771729	Z: -11.02081299
        Accel-X: 9.52209473	Y: -0.20690918	Z: 0.04211426	|  Gyro-X: 6.70669556	Y: 2.26547241	Z: -11.41708374
        Accel-X: 9.48242188	Y: 0.00244141	Z: 0.06347656	|  Gyro-X: 7.28240967	Y: 3.20007324	Z: -10.79650879
        Accel-X: 9.45739746	Y: -0.07812500	Z: 0.13061523	|  Gyro-X: 5.33843994	Y: 3.80569458	Z: -9.95910645
        Accel-X: 9.33959961	Y: -0.00061035	Z: 0.02441406	|  Gyro-X: 5.11413574	Y: 4.86740112	Z: -9.82452393
        Accel-X: 9.28222656	Y: 0.08666992	Z: 0.01953125	|  Gyro-X: 4.38888550	Y: 5.51788330	Z: -8.63571167
        Accel-X: 9.28710938	Y: -0.02563477	Z: -0.03906250	|  Gyro-X: 4.11224365	Y: 5.63003540	Z: -8.44879150
        Accel-X: 9.47204590	Y: -0.06225586	Z: -0.11352539	|  Gyro-X: 5.78704834	Y: 5.06179810	Z: -9.58526611
        Accel-X: 9.29565430	Y: 0.11779785	Z: -0.15380859	|  Gyro-X: 7.29736328	Y: 7.12539673	Z: -10.18341064
        Accel-X: 9.08142090	Y: 0.12145996	Z: -0.21606445	|  Gyro-X: 5.24871826	Y: 7.77587891	Z: -9.00955200
        Accel-X: 9.16015625	Y: -0.28930664	Z: -0.07446289	|  Gyro-X: 4.63562012	Y: 5.54031372	Z: -8.48617554
        Accel-X: 9.28039551	Y: -0.34973145	Z: -0.21789551	|  Gyro-X: 17.33123779	Y: 2.55706787	Z: -10.38528442
        Accel-X: 9.26269531	Y: 0.23376465	Z: -0.38757324	|  Gyro-X: 22.51266479	Y: 2.79632568	Z: -11.11053467
        Accel-X: 9.13574219	Y: 0.48217773	Z: -0.35705566	|  Gyro-X: 16.31439209	Y: 4.08981323	Z: -7.84317017
        Accel-X: 9.20776367	Y: 0.40405273	Z: -0.23620605	|  Gyro-X: 9.34600830	Y: 3.39447021	Z: -5.19638062
        Accel-X: 9.34753418	Y: 0.21484375	Z: -0.27587891	|  Gyro-X: 7.24502563	Y: 1.61499023	Z: -3.99261475
        Accel-X: 9.20410156	Y: -0.22460938	Z: -0.36743164	|  Gyro-X: 10.16098022	Y: 3.06549072	Z: -5.11413574
        Accel-X: 8.98254395	Y: -0.11108398	Z: -0.12573242	|  Gyro-X: 19.00604248	Y: 4.99450684	Z: -8.23196411
        Accel-X: 9.01855469	Y: 0.20202637	Z: -0.23132324	|  Gyro-X: 27.85858154	Y: 0.80749512	Z: -10.91613770
        Accel-X: 9.20776367	Y: -1.11145020	Z: -0.58898926	|  Gyro-X: 32.16522217	Y: 0.50842285	Z: -12.65823364
        Accel-X: 9.28100586	Y: -3.48449707	Z: -0.84716797	|  Gyro-X: 68.45016479	Y: 16.81533813	Z: -19.49951172
        Accel-X: 9.03747559	Y: -3.82995605	Z: -0.79284668	|  Gyro-X: 111.91284180	Y: 16.00784302	Z: -23.76876831
        Accel-X: 9.18762207	Y: -4.52575684	Z: -0.37048340	|  Gyro-X: 119.90554810	Y: 14.72183228	Z: -6.39266968
        Accel-X: 10.04089355	Y: -8.13903809	Z: 2.18017578	|  Gyro-X: 137.09472656	Y: 32.50915527	Z: 20.94253540
        Accel-X: 9.22607422	Y: -9.03808594	Z: 1.52832031	|  Gyro-X: 131.42730713	Y: 24.43420410	Z: 51.91894531
        Accel-X: 10.38330078	Y: -10.64697266	Z: 3.05297852	|  Gyro-X: 111.85302734	Y: 20.30700684	Z: 100.80978394
        Accel-X: 13.89648438	Y: -12.89184570	Z: 4.94506836	|  Gyro-X: 87.47116089	Y: -0.50842285	Z: 172.99835205
        Accel-X: 17.83508301	Y: -14.40795898	Z: 3.84277344	|  Gyro-X: 40.88317871	Y: 12.47879028	Z: 242.81677246
        Accel-X: 18.76953125	Y: -16.60522461	Z: 3.75122070	|  Gyro-X: -1.24114990	Y: 40.80841064	Z: 244.52148438
        Accel-X: 19.99511719	Y: -18.49731445	Z: 3.78967285	|  Gyro-X: -38.54293823	Y: 27.32025146	Z: 244.52148438
