Accel-X: 9.12109375	Y: -2.10205078	Z: 1.57653809	|  Gyro-X: -7.17773438	Y: 1.37573242	Z: 24.86785889
        Accel-X: 9.40307617	Y: -1.81396484	Z: 1.30981445	|  Gyro-X: 0.68038940	Y: 3.64868164	Z: 24.53887939
        Accel-X: 9.37988281	Y: -1.55456543	Z: 1.26647949	|  Gyro-X: 5.86181641	Y: 5.62255859	Z: 23.35754395
        Accel-X: 9.43603516	Y: -1.52954102	Z: 1.23657227	|  Gyro-X: 4.86740112	Y: 5.05432129	Z: 21.24160767
        Accel-X: 9.24682617	Y: -1.20422363	Z: 1.45324707	|  Gyro-X: 0.46356201	Y: 6.93847656	Z: 18.63220215
        Accel-X: 9.10095215	Y: -1.20788574	Z: 1.53503418	|  Gyro-X: -5.20385742	Y: 6.43005371	Z: 14.81903076
        Accel-X: 8.54614258	Y: -1.53076172	Z: 1.48315430	|  Gyro-X: -5.41320801	Y: 6.84127808	Z: 12.51617432
        Accel-X: 8.40759277	Y: -1.71081543	Z: 1.39404297	|  Gyro-X: 0.11962891	Y: 4.47113037	Z: 9.34600830
        Accel-X: 8.40698242	Y: -1.83959961	Z: 1.42150879	|  Gyro-X: 8.56842041	Y: 1.71966553	Z: 6.12350464
        Accel-X: 8.90502930	Y: -1.78283691	Z: 1.48315430	|  Gyro-X: 17.39105225	Y: -0.77011108	Z: 1.32339478
        Accel-X: 9.21813965	Y: -1.65161133	Z: 1.52587891	|  Gyro-X: 21.75003052	Y: -2.10845947	Z: -3.02810669
        Accel-X: 8.99047852	Y: -1.67785645	Z: 1.59667969	|  Gyro-X: 21.22665405	Y: 1.03927612	Z: -5.29357910
        Accel-X: 8.92150879	Y: -1.73400879	Z: 1.68090820	|  Gyro-X: 17.67517090	Y: 0.41870117	Z: -6.28799438
        Accel-X: 9.01000977	Y: -1.69738770	Z: 1.70410156	|  Gyro-X: 15.83587646	Y: 1.24114990	Z: -6.24313354
        Accel-X: 9.20349121	Y: -1.87255859	Z: 1.68029785	|  Gyro-X: 14.57229614	Y: 2.01126099	Z: -6.09359741
        Accel-X: 9.02832031	Y: -1.92749023	Z: 1.81945801	|  Gyro-X: 15.43212891	Y: 4.63562012	Z: -7.25250244
        Accel-X: 8.93188477	Y: -1.86340332	Z: 1.68273926	|  Gyro-X: 18.17611694	Y: 4.64309692	Z: -8.30673218
        Accel-X: 8.93005371	Y: -1.95495605	Z: 1.65771484	|  Gyro-X: 21.62292480	Y: 5.13656616	Z: -9.48059082
        Accel-X: 8.69934082	Y: -2.07214355	Z: 1.85852051	|  Gyro-X: 24.98001099	Y: 5.52536011	Z: -10.22079468
        Accel-X: 8.69750977	Y: -2.06848145	Z: 1.72485352	|  Gyro-X: 30.34835815	Y: 4.50851440	Z: -11.95541382
        Accel-X: 8.62915039	Y: -2.07946777	Z: 1.69738770	|  Gyro-X: 39.17846680	Y: 5.29357910	Z: -15.89569092
        Accel-X: 8.60717773	Y: -2.68798828	Z: 1.70288086	|  Gyro-X: 63.13415527	Y: 6.82632446	Z: -20.25466919
        Accel-X: 8.43444824	Y: -3.76831055	Z: 1.42822266	|  Gyro-X: 89.48989868	Y: 5.13656616	Z: -25.62301636
        Accel-X: 8.13781738	Y: -3.55712891	Z: 0.49499512	|  Gyro-X: 127.10571289	Y: 3.43933105	Z: -30.66986084
        Accel-X: 8.19091797	Y: -4.01000977	Z: 0.66894531	|  Gyro-X: 146.32858276	Y: -8.77029419	Z: -24.00054932
        Accel-X: 9.14001465	Y: -5.12207031	Z: 2.51403809	|  Gyro-X: 155.82412720	Y: -20.78552246	Z: -5.77957153
        Accel-X: 9.72595215	Y: -5.82580566	Z: 2.71179199	|  Gyro-X: 154.73251343	Y: -16.36672974	Z: 19.73876953
        Accel-X: 10.27404785	Y: -7.75329590	Z: 3.02490234	|  Gyro-X: 140.37704468	Y: -11.31240845	Z: 56.83868408
        Accel-X: 12.07397461	Y: -8.64257812	Z: 6.24511719	|  Gyro-X: 102.35000610	Y: -0.15701294	Z: 126.38046265
        Accel-X: 12.30041504	Y: -10.17761230	Z: 7.15576172	|  Gyro-X: 73.01101685	Y: 27.77633667	Z: 180.67703247
        Accel-X: 13.47229004	Y: -13.89343262	Z: 8.13232422	|  Gyro-X: 12.41897583	Y: 45.67581177	Z: 232.94738770
        Accel-X: 18.63403320	Y: -18.31787109	Z: 9.83276367	|  Gyro-X: -88.19641113	Y: 52.43484497	Z: 244.52148438
        Accel-X: 18.97460938	Y: -19.99511719	Z: 8.39965820	|  Gyro-X: -156.92321777	Y: 54.73770142	Z: 244.52148438
        Accel-X: 16.57714844	Y: -19.99511719	Z: 4.27551270	|  Gyro-X: -146.78466797	Y: 41.87011719	Z: 244.52148438
