Accel-X: 8.87695312	Y: -1.69921875	Z: 0.54870605	|  Gyro-X: -26.65481567	Y: 8.83758545	Z: 9.44320679
        Accel-X: 8.89953613	Y: -1.62536621	Z: 0.35034180	|  Gyro-X: -28.65859985	Y: 8.42636108	Z: 6.48986816
        Accel-X: 8.80432129	Y: -2.28210449	Z: 0.13244629	|  Gyro-X: -18.92379761	Y: 6.01882935	Z: 4.38140869
        Accel-X: 8.78173828	Y: -2.69592285	Z: 0.50292969	|  Gyro-X: -6.19827271	Y: 4.36645508	Z: 1.16638184
        Accel-X: 8.81958008	Y: -2.77893066	Z: 0.61706543	|  Gyro-X: 1.51779175	Y: 2.90847778	Z: -0.62057495
        Accel-X: 8.89160156	Y: -2.32971191	Z: 0.66711426	|  Gyro-X: 8.11233521	Y: 0.80001831	Z: -0.47103882
        Accel-X: 8.88793945	Y: -1.92260742	Z: 0.61828613	|  Gyro-X: 5.46554565	Y: 0.65795898	Z: -0.98693848
        Accel-X: 8.97460938	Y: -1.97998047	Z: 0.54565430	|  Gyro-X: 2.13836670	Y: 1.31591797	Z: 1.14395142
        Accel-X: 8.89831543	Y: -2.25891113	Z: 0.52795410	|  Gyro-X: -0.04486084	Y: 2.17575073	Z: 0.89721680
        Accel-X: 8.86474609	Y: -2.47558594	Z: 0.65185547	|  Gyro-X: -1.94396973	Y: 0.80749512	Z: 2.34024048
        Accel-X: 8.90380859	Y: -2.53295898	Z: 0.80200195	|  Gyro-X: -1.12152100	Y: 0.97198486	Z: 2.07855225
        Accel-X: 8.98803711	Y: -2.23937988	Z: 0.91491699	|  Gyro-X: 2.68417358	Y: 2.12341309	Z: 1.24862671
        Accel-X: 9.01428223	Y: -2.08618164	Z: 1.04187012	|  Gyro-X: 1.99630737	Y: 1.62246704	Z: 2.13088989
        Accel-X: 9.06982422	Y: -2.27905273	Z: 1.50634766	|  Gyro-X: 0.65795898	Y: 2.67669678	Z: 3.61877441
        Accel-X: 8.96911621	Y: -2.15637207	Z: 1.54663086	|  Gyro-X: 1.41311646	Y: 3.79821777	Z: 3.94027710
