Accel-X: 8.95812988	Y: -2.07458496	Z: 0.77819824	|  Gyro-X: -3.57391357	Y: 2.35519409	Z: -1.75704956
        Accel-X: 8.97766113	Y: -2.14599609	Z: 0.77758789	|  Gyro-X: -2.52716064	Y: 1.48788452	Z: -1.43554688
        Accel-X: 8.96057129	Y: -2.13012695	Z: 0.83862305	|  Gyro-X: -1.76452637	Y: 1.44302368	Z: -1.68975830
        Accel-X: 9.03564453	Y: -2.10327148	Z: 0.81298828	|  Gyro-X: -1.57760620	Y: 1.36825562	Z: -1.77200317
        Accel-X: 9.00878906	Y: -2.12463379	Z: 0.80505371	|  Gyro-X: -1.61499023	Y: 1.59255981	Z: -1.98135376
        Accel-X: 8.94775391	Y: -2.17224121	Z: 0.80383301	|  Gyro-X: -0.65795898	Y: 2.04116821	Z: -2.21313477
        Accel-X: 8.90258789	Y: -2.11914062	Z: 0.87707520	|  Gyro-X: 0.56076050	Y: 2.34024048	Z: -2.84118652
        Accel-X: 9.03259277	Y: -2.04895020	Z: 0.79528809	|  Gyro-X: 1.65237427	Y: 1.34582520	Z: -2.94586182
        Accel-X: 9.05822754	Y: -2.04162598	Z: 0.80932617	|  Gyro-X: 1.09161377	Y: 2.31781006	Z: -3.05053711
        Accel-X: 8.98254395	Y: -2.19177246	Z: 0.71960449	|  Gyro-X: 1.47293091	Y: 2.23556519	Z: -2.85614014
        Accel-X: 8.91784668	Y: -2.15637207	Z: 0.75134277	|  Gyro-X: 2.60192871	Y: 1.66732788	Z: -2.46734619
        Accel-X: 8.94348145	Y: -2.10388184	Z: 0.76354980	|  Gyro-X: 3.23745728	Y: 1.73461914	Z: -2.31781006
        Accel-X: 8.96118164	Y: -2.12097168	Z: 0.74218750	|  Gyro-X: 3.31970215	Y: 2.03369141	Z: -1.74957275
        Accel-X: 9.01184082	Y: -2.05688477	Z: 0.72448730	|  Gyro-X: 3.97766113	Y: 1.60751343	Z: -2.22061157
        Accel-X: 8.94592285	Y: -2.02514648	Z: 0.70068359	|  Gyro-X: 4.44869995	Y: 1.92901611	Z: -1.86172485
        Accel-X: 8.83728027	Y: -2.03552246	Z: 0.72692871	|  Gyro-X: 3.50662231	Y: 1.98883057	Z: -1.08413696
        Accel-X: 8.78601074	Y: -2.12646484	Z: 0.73730469	|  Gyro-X: 4.34402466	Y: 0.34393311	Z: -0.72525024
        Accel-X: 9.17724609	Y: -2.08679199	Z: 0.66345215	|  Gyro-X: 6.54220581	Y: -0.39627075	Z: -2.45986938
        Accel-X: 8.96850586	Y: -1.98303223	Z: 0.76477051	|  Gyro-X: 8.20205688	Y: 1.09909058	Z: -1.73461914
        Accel-X: 8.96667480	Y: -1.94091797	Z: 0.64208984	|  Gyro-X: 6.80389404	Y: 0.62057495	Z: -1.93649292
        Accel-X: 8.90258789	Y: -1.95861816	Z: 0.67626953	|  Gyro-X: 4.84497070	Y: 0.59066772	Z: -1.46545410
        Accel-X: 8.83544922	Y: -1.98059082	Z: 0.76538086	|  Gyro-X: 5.07675171	Y: 0.91217041	Z: -1.69723511
        Accel-X: 9.02526855	Y: -2.00439453	Z: 0.60363770	|  Gyro-X: 5.42068481	Y: -0.77758789	Z: -3.74588013
