Accel-X: 10.67321777	Y: -3.23974609	Z: 1.07421875	|  Gyro-X: 75.06713867	Y: 1.88415527	Z: 114.88861084
        Accel-X: 14.16076660	Y: -2.65136719	Z: 0.60607910	|  Gyro-X: 92.44323730	Y: 2.06359863	Z: 125.48324585
        Accel-X: 18.95751953	Y: -1.43554688	Z: -0.50720215	|  Gyro-X: 68.27819824	Y: 13.30123901	Z: 138.74710083
        Accel-X: 18.86169434	Y: -0.88745117	Z: -0.68359375	|  Gyro-X: 27.88848877	Y: 48.65905762	Z: 149.80529785
        Accel-X: 15.99365234	Y: -0.91674805	Z: -0.26367188	|  Gyro-X: -10.20584106	Y: 72.60726929	Z: 159.15878296
        Accel-X: 14.19494629	Y: -1.41723633	Z: 0.00061035	|  Gyro-X: -51.54510498	Y: 67.45574951	Z: 167.74963379
        Accel-X: 12.97485352	Y: -1.66137695	Z: 0.17822266	|  Gyro-X: -63.19396973	Y: 62.66311646	Z: 169.56649780
        Accel-X: 10.48400879	Y: -2.36694336	Z: 0.56518555	|  Gyro-X: -59.14154053	Y: 56.23306274	Z: 164.89349365
        Accel-X: 9.41833496	Y: -2.56958008	Z: 0.81542969	|  Gyro-X: -30.34835815	Y: 42.60284424	Z: 147.13607788
        Accel-X: 7.97912598	Y: -1.84387207	Z: 0.57434082	|  Gyro-X: -12.36663818	Y: 36.41204834	Z: 135.39001465
        Accel-X: 6.94213867	Y: -1.30493164	Z: 0.35644531	|  Gyro-X: -3.26736450	Y: 30.23620605	Z: 122.55233765
        Accel-X: 6.20239258	Y: -1.27380371	Z: 0.27648926	|  Gyro-X: -0.46356201	Y: 16.52374268	Z: 92.51800537
        Accel-X: 5.48828125	Y: -1.79687500	Z: 0.44433594	|  Gyro-X: -1.84677124	Y: 5.76461792	Z: 63.50051880
        Accel-X: 5.04272461	Y: -2.11242676	Z: 0.57373047	|  Gyro-X: -5.24124146	Y: -4.20944214	Z: 30.29602051
        Accel-X: 4.19860840	Y: -1.98364258	Z: 0.49499512	|  Gyro-X: -10.80398560	Y: -13.35357666	Z: -0.72525024
        Accel-X: 3.99902344	Y: -1.84631348	Z: 0.45593262	|  Gyro-X: -18.54995728	Y: -27.35763550	Z: -39.76913452
        Accel-X: 4.49584961	Y: -2.00195312	Z: 0.68298340	|  Gyro-X: -19.00604248	Y: -39.05136108	Z: -60.80886841
        Accel-X: 6.22253418	Y: -2.57324219	Z: 1.26831055	|  Gyro-X: -10.78903198	Y: -48.83850098	Z: -80.17379761
        Accel-X: 7.94921875	Y: -3.60839844	Z: 1.93725586	|  Gyro-X: 20.53131104	Y: -53.10028076	Z: -108.09219360
        Accel-X: 10.63598633	Y: -5.46447754	Z: 2.40600586	|  Gyro-X: 50.25161743	Y: -50.16937256	Z: -124.63836670
        Accel-X: 11.29272461	Y: -4.48913574	Z: 1.71813965	|  Gyro-X: 67.73986816	Y: -45.65338135	Z: -140.11535645
        Accel-X: 11.05590820	Y: -3.44177246	Z: 1.29333496	|  Gyro-X: 62.66311646	Y: -35.95596313	Z: -143.04626465
        Accel-X: 11.93725586	Y: -3.78784180	Z: 1.30432129	|  Gyro-X: 23.76129150	Y: -36.37466431	Z: -136.01058960
        Accel-X: 14.78942871	Y: -5.52062988	Z: 2.05444336	|  Gyro-X: -8.23944092	Y: -44.59167480	Z: -132.28713989
        Accel-X: 14.08142090	Y: -6.26464844	Z: 1.64733887	|  Gyro-X: -56.64428711	Y: -23.01361084	Z: -121.27380371
        Accel-X: 6.86462402	Y: -6.05529785	Z: 2.23449707	|  Gyro-X: -99.49386597	Y: 6.08612061	Z: -96.15173340
        Accel-X: 5.30395508	Y: -8.36914062	Z: 3.47045898	|  Gyro-X: -108.06228638	Y: -5.40573120	Z: -69.26513672
        Accel-X: 6.34887695	Y: -11.01196289	Z: 4.57580566	|  Gyro-X: -86.49917603	Y: -14.79660034	Z: -31.01379395
        Accel-X: 7.21984863	Y: -13.21838379	Z: 3.65539551	|  Gyro-X: -72.93624878	Y: -14.99099731	Z: -1.51031494
        Accel-X: 7.25219727	Y: -14.64111328	Z: 2.45910645	|  Gyro-X: -72.96615601	Y: -2.43743896	Z: 42.75985718
        Accel-X: 6.27929688	Y: -18.03039551	Z: 5.15502930	|  Gyro-X: -104.10705566	Y: 10.25817871	Z: 81.45233154
        Accel-X: 7.85705566	Y: -19.99511719	Z: 4.11926270	|  Gyro-X: -173.73855591	Y: 14.96856689	Z: 149.36416626
        Accel-X: 11.72851562	Y: -19.99511719	Z: -2.11608887	|  Gyro-X: -178.40408325	Y: 8.55346680	Z: 239.10827637
        Accel-X: 18.99169922	Y: -19.99511719	Z: -4.64721680	|  Gyro-X: -104.38369751	Y: -40.11306763	Z: 244.04296875
        Accel-X: 19.99511719	Y: -19.99511719	Z: -6.82617188	|  Gyro-X: -158.61297607	Y: -86.18515015	Z: 244.04296875
