Accel-X: 9.31091309	Y: -2.74230957	Z: 0.78002930	|  Gyro-X: -4.11972046	Y: -1.75704956	Z: 6.32537842
        Accel-X: 9.74792480	Y: -1.77612305	Z: 0.60363770	|  Gyro-X: -5.56274414	Y: 0.95703125	Z: 6.92352295
        Accel-X: 9.99938965	Y: -1.77551270	Z: 0.79711914	|  Gyro-X: -13.96667480	Y: 3.94027710	Z: 8.40393066
        Accel-X: 9.83947754	Y: -1.74133301	Z: 1.00341797	|  Gyro-X: -30.93154907	Y: 8.16467285	Z: 9.88433838
        Accel-X: 9.61120605	Y: -1.59729004	Z: 1.04431152	|  Gyro-X: -36.14288330	Y: 7.25997925	Z: 10.96099854
        Accel-X: 9.61791992	Y: -1.58508301	Z: 0.99975586	|  Gyro-X: -37.63824463	Y: 5.39077759	Z: 11.02828979
        Accel-X: 9.74487305	Y: -2.01843262	Z: 1.18530273	|  Gyro-X: -26.57257080	Y: 2.42248535	Z: 10.39276123
        Accel-X: 9.78576660	Y: -1.92993164	Z: 1.31958008	|  Gyro-X: -13.57788086	Y: -0.17196655	Z: 7.80578613
        Accel-X: 9.72473145	Y: -1.51245117	Z: 1.33056641	|  Gyro-X: -3.85803223	Y: -1.06918335	Z: 4.84497070
        Accel-X: 9.58251953	Y: -1.22497559	Z: 1.32446289	|  Gyro-X: 1.32339478	Y: -1.17385864	Z: 2.26547241
        Accel-X: 9.49707031	Y: -1.30371094	Z: 1.24755859	|  Gyro-X: 1.09909058	Y: -0.21682739	Z: 0.74020386
        Accel-X: 9.42871094	Y: -1.48681641	Z: 1.23657227	|  Gyro-X: 0.00000000	Y: 0.43365479	Z: -2.04116821
        Accel-X: 9.44396973	Y: -1.48254395	Z: 1.16333008	|  Gyro-X: -0.20187378	Y: 0.36636353	Z: -3.86550903
        Accel-X: 9.27062988	Y: -1.79931641	Z: 0.95825195	|  Gyro-X: -1.08413696	Y: 1.19628906	Z: -6.75155640
        Accel-X: 8.59130859	Y: -2.75817871	Z: 0.79467773	|  Gyro-X: -5.46554565	Y: 0.11962891	Z: -9.42077637
        Accel-X: 7.98278809	Y: -3.60107422	Z: 0.60852051	|  Gyro-X: -3.20755005	Y: -1.92153931	Z: -13.51058960
        Accel-X: 7.29919434	Y: -4.90478516	Z: 0.16601562	|  Gyro-X: 8.23944092	Y: -5.12161255	Z: -17.66021729
        Accel-X: 7.42919922	Y: -8.01452637	Z: 0.49072266	|  Gyro-X: 68.18099976	Y: -16.23214722	Z: -26.54266357
        Accel-X: 8.02185059	Y: -8.79516602	Z: 1.04614258	|  Gyro-X: 102.38739014	Y: -22.45285034	Z: -33.35403442
        Accel-X: 8.07067871	Y: -9.27978516	Z: 0.70556641	|  Gyro-X: 105.12390137	Y: -18.84155273	Z: -23.63418579
        Accel-X: 8.86779785	Y: -11.69372559	Z: -0.93383789	|  Gyro-X: 98.30505371	Y: -9.33105469	Z: -1.74209595
        Accel-X: 10.63171387	Y: -11.97998047	Z: -1.31835938	|  Gyro-X: 106.76879883	Y: -5.12161255	Z: 39.22332764
        Accel-X: 14.21081543	Y: -12.37731934	Z: -0.46447754	|  Gyro-X: 107.59872437	Y: -10.59463501	Z: 82.10281372
        Accel-X: 14.75830078	Y: -13.36853027	Z: 0.60424805	|  Gyro-X: 81.52709961	Y: 0.54580688	Z: 127.61413574
        Accel-X: 14.98901367	Y: -16.01989746	Z: 2.14843750	|  Gyro-X: 48.84597778	Y: 11.96289062	Z: 214.81613159
        Accel-X: 18.47229004	Y: -17.79296875	Z: 2.87841797	|  Gyro-X: 49.54132080	Y: -4.19448853	Z: 244.04296875
        Accel-X: 19.99511719	Y: -15.11535645	Z: 2.36145020	|  Gyro-X: 24.98001099	Y: -18.32565308	Z: 244.04296875
        Accel-X: 19.99511719	Y: -13.99658203	Z: -0.05493164	|  Gyro-X: -36.44195557	Y: -16.85272217	Z: 244.04296875
        Accel-X: 19.99511719	Y: -15.12756348	Z: 0.16723633	|  Gyro-X: -160.64666748	Y: 1.50283813	Z: 244.04296875
        Accel-X: 19.99511719	Y: -17.40661621	Z: 1.41601562	|  Gyro-X: -198.53912354	Y: 2.78884888	Z: 244.04296875
        Accel-X: 19.53491211	Y: -15.96130371	Z: 1.26708984	|  Gyro-X: -201.21582031	Y: -23.56689453	Z: 244.04296875
        Accel-X: 16.84936523	Y: -14.59960938	Z: 0.46630859	|  Gyro-X: -167.33093262	Y: -57.69851685	Z: 244.04296875
        Accel-X: 13.70483398	Y: -12.12707520	Z: 0.29785156	|  Gyro-X: -129.74502563	Y: -73.69140625	Z: 244.04296875
        Accel-X: 11.28601074	Y: -9.23583984	Z: -0.60119629	|  Gyro-X: -133.22174072	Y: -91.03012085	Z: 244.04296875
        Accel-X: 9.88891602	Y: -8.43261719	Z: -0.39001465	|  Gyro-X: -130.26092529	Y: -100.42846680	Z: 244.04296875
        Accel-X: 8.06518555	Y: -5.23193359	Z: -0.57128906	|  Gyro-X: -97.00408936	Y: -106.97814941	Z: 244.04296875
        Accel-X: 7.58666992	Y: -3.39172363	Z: -0.64331055	|  Gyro-X: -58.44619751	Y: -108.96697998	Z: 244.04296875
        Accel-X: 7.76000977	Y: -0.74829102	Z: -1.25244141	|  Gyro-X: -11.71615601	Y: -99.81536865	Z: 244.04296875
        Accel-X: 5.42968750	Y: 4.61364746	Z: -0.94909668	|  Gyro-X: 6.73660278	Y: -76.42791748	Z: 228.94729614
        Accel-X: 3.11462402	Y: 6.51672363	Z: 0.56579590	|  Gyro-X: 16.85272217	Y: -54.52087402	Z: 185.43228149
        Accel-X: 0.29235840	Y: 7.37976074	Z: 0.83068848	|  Gyro-X: 25.74264526	Y: -41.33178711	Z: 131.64413452
        Accel-X: -4.47814941	Y: 7.48168945	Z: -0.30029297	|  Gyro-X: 34.92416382	Y: -26.43051147	Z: 85.47485352
        Accel-X: -7.99133301	Y: 7.96813965	Z: -0.26611328	|  Gyro-X: 49.02542114	Y: -6.22817993	Z: 43.61221313
        Accel-X: -10.44311523	Y: 5.85754395	Z: 0.19104004	|  Gyro-X: 47.16369629	Y: 2.04116821	Z: 11.66381836
        Accel-X: -11.86279297	Y: 4.22546387	Z: -0.63293457	|  Gyro-X: 47.88146973	Y: 9.21142578	Z: -8.21701050
        Accel-X: -12.47436523	Y: 3.22998047	Z: -1.30432129	|  Gyro-X: 49.33197021	Y: 9.87686157	Z: -21.78741455
        Accel-X: -12.39807129	Y: 2.69836426	Z: -1.33178711	|  Gyro-X: 33.56338501	Y: 6.96838379	Z: -22.57995605
        Accel-X: -12.40905762	Y: 1.72790527	Z: -1.79504395	|  Gyro-X: 13.92929077	Y: 8.23944092	Z: -18.38546753
        Accel-X: -12.12036133	Y: 1.14135742	Z: -1.82189941	|  Gyro-X: 2.13836670	Y: 6.74407959	Z: -15.04333496
        Accel-X: -11.26342773	Y: 0.58349609	Z: -2.13073730	|  Gyro-X: -3.15521240	Y: 3.14773560	Z: -11.82830811
        Accel-X: -11.23901367	Y: 0.91796875	Z: -1.90368652	|  Gyro-X: 1.85424805	Y: 1.90658569	Z: -8.75534058
        Accel-X: -10.96435547	Y: 1.07116699	Z: -1.67114258	|  Gyro-X: 1.12152100	Y: 1.13647461	Z: -7.11044312
        Accel-X: -10.97717285	Y: 1.07238770	Z: -1.50146484	|  Gyro-X: -0.97946167	Y: 0.67291260	Z: -6.57211304
        Accel-X: -11.03576660	Y: 1.05529785	Z: -1.39953613	|  Gyro-X: -5.47302246	Y: 0.32897949	Z: -5.68237305
        Accel-X: -11.17858887	Y: 0.64453125	Z: -1.38793945	|  Gyro-X: -4.80758667	Y: -0.17196655	Z: -4.27673340
        Accel-X: -10.97900391	Y: 0.73730469	Z: -1.40686035	|  Gyro-X: 0.62805176	Y: -1.03179932	Z: -4.43374634
        Accel-X: -11.13342285	Y: 1.05041504	Z: -1.47888184	|  Gyro-X: 2.43743896	Y: 0.08224487	Z: -3.51409912
        Accel-X: -11.26281738	Y: 1.18103027	Z: -1.52709961	|  Gyro-X: -5.35339355	Y: 1.09161377	Z: -3.14773560
        Accel-X: -11.14501953	Y: 0.90881348	Z: -1.48864746	|  Gyro-X: -6.70669556	Y: 0.40374756	Z: -3.08044434
        Accel-X: -11.15295410	Y: 0.89660645	Z: -1.62719727	|  Gyro-X: -4.86740112	Y: -0.53085327	Z: -3.33465576
        Accel-X: -11.24694824	Y: 0.90332031	Z: -1.52160645	|  Gyro-X: -3.99261475	Y: -0.87478638	Z: -3.61877441
