Accel-X: 9.99694824	Y: -3.77685547	Z: 0.61523438	|  Gyro-X: 2.04864502	Y: 4.52346802	Z: 25.00991821
        Accel-X: 9.99755859	Y: -2.77038574	Z: 1.00708008	|  Gyro-X: 8.75534058	Y: 9.31610107	Z: 31.55960083
        Accel-X: 9.93103027	Y: -2.26379395	Z: 1.29821777	|  Gyro-X: 0.06729126	Y: 12.37411499	Z: 38.46069336
        Accel-X: 10.19592285	Y: -1.73156738	Z: 1.45446777	|  Gyro-X: -18.55743408	Y: 10.60211182	Z: 41.36169434
        Accel-X: 10.21057129	Y: -1.51916504	Z: 1.44592285	|  Gyro-X: -38.94668579	Y: 13.02459717	Z: 44.82345581
        Accel-X: 9.60632324	Y: -1.51916504	Z: 1.36169434	|  Gyro-X: -51.98623657	Y: 11.73110962	Z: 45.49636841
        Accel-X: 9.45251465	Y: -1.26159668	Z: 1.31774902	|  Gyro-X: -51.86660767	Y: 4.60571289	Z: 40.64392090
        Accel-X: 9.10644531	Y: -1.35192871	Z: 1.42089844	|  Gyro-X: -40.66635132	Y: 2.45239258	Z: 36.83074951
        Accel-X: 8.87207031	Y: -1.33056641	Z: 1.58508301	|  Gyro-X: -21.72760010	Y: -0.02243042	Z: 30.00442505
        Accel-X: 9.26391602	Y: -1.31896973	Z: 1.41540527	|  Gyro-X: -1.03179932	Y: -2.16079712	Z: 22.96875000
        Accel-X: 9.60144043	Y: -0.91186523	Z: 1.21276855	|  Gyro-X: 16.72561646	Y: -3.03558350	Z: 13.14422607
        Accel-X: 10.02685547	Y: -0.74462891	Z: 0.99792480	|  Gyro-X: 18.81912231	Y: -1.58508301	Z: 9.45068359
        Accel-X: 10.18859863	Y: -0.44067383	Z: 0.93261719	|  Gyro-X: 14.33303833	Y: 0.10467529	Z: 6.85623169
        Accel-X: 10.08483887	Y: -0.59631348	Z: 0.97717285	|  Gyro-X: 5.39077759	Y: 1.57012939	Z: 4.98703003
        Accel-X: 9.91638184	Y: -0.85510254	Z: 1.05590820	|  Gyro-X: -5.57769775	Y: 3.13278198	Z: -0.38131714
        Accel-X: 9.52148438	Y: -1.34155273	Z: 1.07116699	|  Gyro-X: -7.79830933	Y: 3.08044434	Z: -4.37393188
        Accel-X: 9.34753418	Y: -1.43981934	Z: 1.05651855	|  Gyro-X: -5.95153809	Y: 2.01873779	Z: -8.90487671
        Accel-X: 9.32922363	Y: -1.56005859	Z: 1.07299805	|  Gyro-X: -3.08044434	Y: 0.28411865	Z: -12.59094238
        Accel-X: 9.47814941	Y: -1.89208984	Z: 1.15966797	|  Gyro-X: 2.98324585	Y: -1.86172485	Z: -18.07891846
        Accel-X: 9.59350586	Y: -2.05139160	Z: 1.18164062	|  Gyro-X: 6.93099976	Y: -2.31033325	Z: -20.78552246
        Accel-X: 9.54162598	Y: -2.18750000	Z: 1.41784668	|  Gyro-X: 9.83200073	Y: -1.98883057	Z: -22.67715454
        Accel-X: 9.49829102	Y: -3.27087402	Z: 1.21276855	|  Gyro-X: 10.51986694	Y: -1.70471191	Z: -19.46960449
        Accel-X: 8.89465332	Y: -3.45458984	Z: 1.25793457	|  Gyro-X: 6.23565674	Y: -4.52346802	Z: -18.96865845
        Accel-X: 7.25402832	Y: -5.61035156	Z: 0.68847656	|  Gyro-X: 12.17971802	Y: -2.63931274	Z: -16.02279663
        Accel-X: 5.76049805	Y: -9.63867188	Z: 0.09948730	|  Gyro-X: 43.27575684	Y: -0.44860840	Z: -17.20413208
        Accel-X: 4.86206055	Y: -13.91113281	Z: 1.48986816	|  Gyro-X: 137.79754639	Y: -19.16305542	Z: -30.75210571
        Accel-X: 6.79260254	Y: -16.45141602	Z: 1.84631348	|  Gyro-X: 158.48587036	Y: -31.43249512	Z: -23.39492798
        Accel-X: 9.28771973	Y: -19.91149902	Z: -0.16174316	|  Gyro-X: 149.87258911	Y: -26.56509399	Z: 28.51654053
        Accel-X: 12.06787109	Y: -19.99511719	Z: 0.45227051	|  Gyro-X: 158.46343994	Y: -16.80038452	Z: 94.81338501
        Accel-X: 18.35083008	Y: -19.99511719	Z: 2.55004883	|  Gyro-X: 123.92059326	Y: 7.27493286	Z: 224.71542358
        Accel-X: 19.99511719	Y: -19.99511719	Z: 2.81372070	|  Gyro-X: 20.99487305	Y: 15.43212891	Z: 244.04296875
        Accel-X: 19.99511719	Y: -19.99511719	Z: 5.02990723	|  Gyro-X: -70.40908813	Y: 6.31790161	Z: 244.04296875
        Accel-X: 19.99511719	Y: -19.99511719	Z: 1.75354004	|  Gyro-X: -185.05096436	Y: -23.42483521	Z: 244.04296875
        Accel-X: 19.99511719	Y: -19.99511719	Z: 0.53833008	|  Gyro-X: -221.05926514	Y: 15.23773193	Z: 244.04296875
        Accel-X: 19.99511719	Y: -19.97192383	Z: 9.79492188	|  Gyro-X: -235.16052246	Y: 19.67147827	Z: 244.04296875
        Accel-X: 19.99511719	Y: -17.81799316	Z: 8.73168945	|  Gyro-X: -206.26266479	Y: -34.81201172	Z: 244.04296875
        Accel-X: 19.99511719	Y: -9.83581543	Z: 2.47558594	|  Gyro-X: -146.20147705	Y: -93.31054688	Z: 244.04296875
        Accel-X: 19.97802734	Y: -3.50036621	Z: 1.02050781	|  Gyro-X: -136.44424438	Y: -91.06750488	Z: 244.04296875
        Accel-X: 17.05810547	Y: 0.63720703	Z: 1.67663574	|  Gyro-X: -157.02041626	Y: -101.57241821	Z: 244.04296875
        Accel-X: 12.39196777	Y: -0.78247070	Z: 1.99462891	|  Gyro-X: -108.88473511	Y: -127.86087036	Z: 244.04296875
        Accel-X: 12.15637207	Y: 3.74450684	Z: -1.09863281	|  Gyro-X: -35.19332886	Y: -118.85879517	Z: 241.88217163
        Accel-X: 7.56469727	Y: 7.87719727	Z: -0.96923828	|  Gyro-X: 13.31619263	Y: -68.76419067	Z: 198.28491211
        Accel-X: 4.30114746	Y: 7.88635254	Z: -0.42236328	|  Gyro-X: 22.78182983	Y: -33.91479492	Z: 126.59729004
        Accel-X: 0.82519531	Y: 7.73681641	Z: -0.12634277	|  Gyro-X: 27.41744995	Y: -13.64517212	Z: 80.50277710
        Accel-X: -4.97070312	Y: 6.38549805	Z: -1.99279785	|  Gyro-X: 30.66238403	Y: -5.63751221	Z: 49.07028198
        Accel-X: -7.45788574	Y: 6.23779297	Z: -2.80883789	|  Gyro-X: 30.28106689	Y: -1.87667847	Z: 16.85272217
        Accel-X: -9.19006348	Y: 5.98022461	Z: -2.28332520	|  Gyro-X: 15.41717529	Y: 1.11404419	Z: -9.42077637
        Accel-X: -10.31799316	Y: 3.83850098	Z: -1.56188965	|  Gyro-X: 7.58895874	Y: 4.26925659	Z: -12.17224121
        Accel-X: -11.47644043	Y: 4.19311523	Z: -1.32080078	|  Gyro-X: 1.71218872	Y: 7.41699219	Z: -24.26223755
        Accel-X: -12.73071289	Y: 1.60278320	Z: -1.44958496	|  Gyro-X: -16.32934570	Y: 3.79821777	Z: -8.63571167
        Accel-X: -11.41418457	Y: 1.49963379	Z: -1.36779785	|  Gyro-X: -4.22439575	Y: -0.86730957	Z: -11.70120239
        Accel-X: -11.66076660	Y: 1.55578613	Z: -0.49255371	|  Gyro-X: 6.99081421	Y: 1.45797729	Z: -6.75903320
        Accel-X: -11.29882812	Y: 2.87719727	Z: -0.96496582	|  Gyro-X: 5.48049927	Y: 0.69534302	Z: -6.54220581
        Accel-X: -11.29333496	Y: 1.91406250	Z: -0.88134766	|  Gyro-X: -15.26763916	Y: -0.09719849	Z: -2.13836670
        Accel-X: -10.88317871	Y: 1.85363770	Z: -0.92590332	|  Gyro-X: -11.10305786	Y: -1.99630737	Z: -5.54031372
        Accel-X: -11.09130859	Y: 2.01232910	Z: -0.55480957	|  Gyro-X: -8.07495117	Y: 0.08224487	Z: -4.90478516
        Accel-X: -10.99243164	Y: 2.18627930	Z: -0.64270020	|  Gyro-X: -12.71057129	Y: 1.76452637	Z: -5.18890381
        Accel-X: -11.01562500	Y: 1.68029785	Z: -1.13037109	|  Gyro-X: -14.59472656	Y: 0.60562134	Z: -4.60571289
        Accel-X: -11.04187012	Y: 1.44165039	Z: -1.15844727	|  Gyro-X: -9.66003418	Y: 0.49346924	Z: -5.71228027
        Accel-X: -11.16699219	Y: 1.62963867	Z: -1.05834961	|  Gyro-X: -5.01693726	Y: -0.03738403	Z: -5.57769775
        Accel-X: -10.86730957	Y: 2.24426270	Z: -0.84045410	|  Gyro-X: -11.08810425	Y: -1.41311646	Z: -5.21881104
        Accel-X: -10.96130371	Y: 1.77001953	Z: -0.64270020	|  Gyro-X: -16.45645142	Y: -0.11962891	Z: -4.02999878
        Accel-X: -10.99182129	Y: 1.82189941	Z: -0.81970215	|  Gyro-X: -13.09188843	Y: 1.44302368	Z: -6.15341187
        Accel-X: -10.93261719	Y: 1.50695801	Z: -1.09924316	|  Gyro-X: -10.66940308	Y: 1.51031494	Z: -5.42816162
        Accel-X: -10.94055176	Y: 2.00500488	Z: -0.86486816	|  Gyro-X: -6.56463623	Y: 1.94396973	Z: -6.01135254
        Accel-X: -10.98937988	Y: 1.99157715	Z: -0.79467773	|  Gyro-X: -11.01333618	Y: 2.04864502	Z: -5.53283691
        Accel-X: -11.06933594	Y: 1.85363770	Z: -1.34704590	|  Gyro-X: -12.94982910	Y: 2.23556519	Z: -5.84686279
        Accel-X: -11.07666016	Y: 2.08312988	Z: -1.15600586	|  Gyro-X: -14.92370605	Y: 1.60003662	Z: -6.31042480
        Accel-X: -10.95275879	Y: 1.35009766	Z: -0.68054199	|  Gyro-X: -12.93487549	Y: 1.86920166	Z: -6.00387573
        Accel-X: -10.87524414	Y: 1.64062500	Z: -0.99426270	|  Gyro-X: -7.91046143	Y: 2.45239258	Z: -6.28799438
        Accel-X: -10.96069336	Y: 1.95007324	Z: -1.26403809	|  Gyro-X: -12.65823364	Y: 3.27484131	Z: -4.59075928
        Accel-X: -11.01135254	Y: 1.62536621	Z: -1.06140137	|  Gyro-X: -21.20422363	Y: 3.37951660	Z: -1.68228149
        Accel-X: -10.96374512	Y: 1.36901855	Z: -0.59753418	|  Gyro-X: -16.73309326	Y: 2.98324585	Z: -1.34582520
        Accel-X: -10.86608887	Y: 1.62841797	Z: -0.88745117	|  Gyro-X: -8.22448730	Y: 3.05801392	Z: -3.25988770
        Accel-X: -11.07360840	Y: 2.04589844	Z: -1.03942871	|  Gyro-X: -5.77209473	Y: 3.85803223	Z: -4.30664062
        Accel-X: -11.02539062	Y: 1.77490234	Z: -0.94177246	|  Gyro-X: -13.23394775	Y: 3.25988770	Z: -4.04495239
        Accel-X: -11.07910156	Y: 1.54418945	Z: -0.86181641	|  Gyro-X: -11.33483887	Y: 2.71408081	Z: -4.78515625
        Accel-X: -11.09436035	Y: 1.82617188	Z: -0.90454102	|  Gyro-X: -7.61886597	Y: 2.94586182	Z: -5.54031372
        Accel-X: -11.11083984	Y: 1.84753418	Z: -1.37084961	|  Gyro-X: -7.72354126	Y: 2.72903442	Z: -6.28799438
        Accel-X: -11.20483398	Y: 1.55761719	Z: -1.17797852	|  Gyro-X: -7.78335571	Y: 0.96450806	Z: -6.10107422
        Accel-X: -11.16149902	Y: 1.71325684	Z: -1.12915039	|  Gyro-X: -5.27862549	Y: 0.44113159	Z: -6.21322632
        Accel-X: -10.97045898	Y: 1.98242188	Z: -1.25732422	|  Gyro-X: -7.05810547	Y: 0.32150269	Z: -5.89920044
        Accel-X: -11.05041504	Y: 1.78100586	Z: -1.22375488	|  Gyro-X: -10.28060913	Y: 0.94955444	Z: -6.01882935
        Accel-X: -11.06262207	Y: 1.85607910	Z: -1.47338867	|  Gyro-X: -10.39276123	Y: 0.51589966	Z: -6.46743774
        Accel-X: -11.14196777	Y: 1.63208008	Z: -1.38916016	|  Gyro-X: -11.05819702	Y: -0.54580688	Z: -6.47491455
        Accel-X: -11.11206055	Y: 1.41967773	Z: -1.12548828	|  Gyro-X: -9.72732544	Y: -2.13836670	Z: -7.45437622
        Accel-X: -11.06994629	Y: 1.67236328	Z: -1.02294922	|  Gyro-X: -5.35339355	Y: -2.94586182	Z: -8.09738159
        Accel-X: -11.06506348	Y: 1.58081055	Z: -1.16088867	|  Gyro-X: -7.12539673	Y: -2.54959106	Z: -7.80578613
        Accel-X: -11.06079102	Y: 1.43371582	Z: -1.02416992	|  Gyro-X: -6.22817993	Y: -2.69165039	Z: -7.58148193
        Accel-X: -11.00402832	Y: 1.53503418	Z: -0.93444824	|  Gyro-X: -5.39825439	Y: -2.93090820	Z: -7.89550781
        Accel-X: -10.91796875	Y: 1.74255371	Z: -1.08825684	|  Gyro-X: -7.06558228	Y: -2.86361694	Z: -7.43942261
        Accel-X: -10.98693848	Y: 1.60278320	Z: -1.05407715	|  Gyro-X: -8.41140747	Y: -2.05612183	Z: -6.72164917
        Accel-X: -11.02172852	Y: 1.35803223	Z: -0.96801758	|  Gyro-X: -5.57022095	Y: -1.74957275	Z: -6.90109253
        Accel-X: -10.97656250	Y: 1.58691406	Z: -1.00891113	|  Gyro-X: -3.32717896	Y: -2.21313477	Z: -7.73101807
        Accel-X: -10.94299316	Y: 1.52526855	Z: -1.09191895	|  Gyro-X: -6.72912598	Y: -2.31781006	Z: -6.92352295
        Accel-X: -10.94848633	Y: 1.49597168	Z: -0.74584961	|  Gyro-X: -7.58148193	Y: -1.88415527	Z: -6.16088867
        Accel-X: -11.05590820	Y: 1.51855469	Z: -0.88989258	|  Gyro-X: -6.18331909	Y: -0.86730957	Z: -5.44311523
        Accel-X: -11.06140137	Y: 1.76696777	Z: -0.93444824	|  Gyro-X: -5.90667725	Y: -1.06170654	Z: -6.99081421
        Accel-X: -11.08154297	Y: 1.60583496	Z: -1.09741211	|  Gyro-X: -6.95343018	Y: -0.35140991	Z: -7.29736328
        Accel-X: -11.10351562	Y: 1.58081055	Z: -1.13769531	|  Gyro-X: -6.29547119	Y: -0.63552856	Z: -6.68426514
        
