Accel-X: 8.35693359	Y: -2.01538086	Z: 1.55273438	|  Gyro-X: 0.90469360	Y: -4.65057373	Z: 73.37738037
        Accel-X: 8.42651367	Y: -2.01171875	Z: 1.39770508	|  Gyro-X: 11.08062744	Y: -6.86370850	Z: 52.36007690
        Accel-X: 8.01269531	Y: -1.75781250	Z: 1.01135254	|  Gyro-X: 17.72003174	Y: -7.81326294	Z: 23.88092041
        Accel-X: 8.16040039	Y: -1.61254883	Z: 0.73181152	|  Gyro-X: 17.89199829	Y: -10.64697266	Z: 7.20016479
        Accel-X: 8.39355469	Y: -1.49475098	Z: 0.39306641	|  Gyro-X: 11.97036743	Y: -10.74417114	Z: -7.05810547
        Accel-X: 8.42773438	Y: -1.68762207	Z: 0.31738281	|  Gyro-X: 2.66174316	Y: -10.82641602	Z: -21.42105103
        Accel-X: 8.40087891	Y: -2.00134277	Z: 0.58654785	|  Gyro-X: -8.86749268	Y: -12.50869751	Z: -44.12811279
        Accel-X: 8.26171875	Y: -2.40356445	Z: 0.72875977	|  Gyro-X: -14.28817749	Y: -14.72930908	Z: -59.34341431
        Accel-X: 8.23059082	Y: -2.46398926	Z: 0.97290039	|  Gyro-X: -18.29574585	Y: -17.60040283	Z: -74.30450439
        Accel-X: 8.59436035	Y: -2.69897461	Z: 1.17919922	|  Gyro-X: -20.09017944	Y: -20.74813843	Z: -87.17208862
        Accel-X: 9.32373047	Y: -3.00659180	Z: 1.24450684	|  Gyro-X: -16.79290771	Y: -27.21557617	Z: -105.19119263
        Accel-X: 10.16845703	Y: -3.33496094	Z: 1.20727539	|  Gyro-X: -13.15917969	Y: -29.58572388	Z: -113.98391724
        Accel-X: 10.75012207	Y: -3.35571289	Z: 1.29394531	|  Gyro-X: -8.60580444	Y: -29.67544556	Z: -120.18966675
        Accel-X: 10.90148926	Y: -3.18908691	Z: 1.35131836	|  Gyro-X: -4.68048096	Y: -28.84552002	Z: -122.91870117
        Accel-X: 11.04187012	Y: -3.21044922	Z: 1.34826660	|  Gyro-X: -4.02999878	Y: -26.81182861	Z: -116.84753418
        Accel-X: 10.89294434	Y: -3.10546875	Z: 1.44409180	|  Gyro-X: -7.16278076	Y: -24.17999268	Z: -108.60809326
        Accel-X: 10.90393066	Y: -3.09631348	Z: 1.50634766	|  Gyro-X: -11.17782593	Y: -22.26593018	Z: -98.53683472
        Accel-X: 10.82397461	Y: -3.03161621	Z: 1.53137207	|  Gyro-X: -16.90505981	Y: -19.14062500	Z: -86.50665283
        Accel-X: 10.59997559	Y: -3.07250977	Z: 1.58386230	|  Gyro-X: -24.92019653	Y: -13.57788086	Z: -65.53421021
        Accel-X: 10.40649414	Y: -3.04199219	Z: 1.54785156	|  Gyro-X: -29.74273682	Y: -10.04135132	Z: -51.39556885
        Accel-X: 10.19348145	Y: -3.18298340	Z: 1.48315430	|  Gyro-X: -32.50915527	Y: -7.00576782	Z: -37.72796631
        Accel-X: 9.91943359	Y: -3.20312500	Z: 1.54968262	|  Gyro-X: -34.11666870	Y: -3.55895996	Z: -20.11260986
        Accel-X: 9.62158203	Y: -3.28125000	Z: 1.69372559	|  Gyro-X: -31.86614990	Y: -1.35330200	Z: -11.51428223
        Accel-X: 9.20776367	Y: -3.40087891	Z: 1.64428711	|  Gyro-X: -29.69787598	Y: -0.41122437	Z: -4.46365356
        Accel-X: 9.07653809	Y: -3.55041504	Z: 1.40319824	|  Gyro-X: -40.74859619	Y: -0.60562134	Z: 2.89352417
        Accel-X: 9.04663086	Y: -4.99206543	Z: 1.60644531	|  Gyro-X: -52.00119019	Y: -0.60562134	Z: 7.28988647
        Accel-X: 8.19396973	Y: -6.51428223	Z: 2.30102539	|  Gyro-X: -46.41601562	Y: 6.07864380	Z: 7.13287354
        Accel-X: 7.59521484	Y: -8.07067871	Z: 2.55249023	|  Gyro-X: -23.83605957	Y: 9.70489502	Z: 8.05252075
        Accel-X: 8.21289062	Y: -9.54040527	Z: 0.84228516	|  Gyro-X: -19.14062500	Y: -1.30096436	Z: 15.94802856
        Accel-X: 9.54528809	Y: -12.09960938	Z: 0.79772949	|  Gyro-X: -16.21719360	Y: 2.22808838	Z: 41.66824341
        Accel-X: 9.11926270	Y: -13.47839355	Z: 0.26916504	|  Gyro-X: -25.69778442	Y: 5.33843994	Z: 69.24270630
        Accel-X: 10.90087891	Y: -18.56140137	Z: -0.81604004	|  Gyro-X: -23.02856445	Y: 7.82821655	Z: 109.52026367
        Accel-X: 12.26196289	Y: -19.99511719	Z: -1.34704590	|  Gyro-X: 2.83370972	Y: -6.29547119	Z: 179.69009399
        Accel-X: 16.61437988	Y: -19.99511719	Z: -2.78076172	|  Gyro-X: 24.03793335	Y: -32.08297729	Z: 241.93450928
        Accel-X: 19.99023438	Y: -19.99511719	Z: -4.72290039	|  Gyro-X: 6.81884766	Y: -61.28738403	Z: 244.04296875
        Accel-X: 19.99511719	Y: -19.99511719	Z: -5.70495605	|  Gyro-X: -52.06100464	Y: -72.38296509	Z: 244.04296875
        Accel-X: 19.99511719	Y: -19.99511719	Z: -7.48413086	|  Gyro-X: -176.94610596	Y: -92.29370117	Z: 244.04296875
        Accel-X: 19.99511719	Y: -19.99511719	Z: -5.02502441	|  Gyro-X: -241.76254272	Y: -108.00994873	Z: 244.04296875
        Accel-X: 19.99511719	Y: -19.99511719	Z: -1.82861328	|  Gyro-X: -241.62048340	Y: -161.05789185	Z: 244.04296875
        Accel-X: 19.99511719	Y: -17.09472656	Z: 1.48498535	|  Gyro-X: -178.41903687	Y: -181.17797852	Z: 244.04296875
        Accel-X: 19.41162109	Y: -12.34191895	Z: 0.28686523	|  Gyro-X: -128.48144531	Y: -185.72387695	Z: 244.04296875
        Accel-X: 15.84411621	Y: -10.35705566	Z: 1.54113770	|  Gyro-X: -87.93472290	Y: -190.09780884	Z: 244.04296875
        Accel-X: 13.99902344	Y: -7.73986816	Z: 2.63244629	|  Gyro-X: -45.99731445	Y: -188.52767944	Z: 244.04296875
