Accel-X: 7.34191895	Y: -0.17822266	Z: -3.73352051	|  Gyro-X: 82.04299927	Y: 1.54022217	Z: -39.38034058
        Accel-X: 6.03820801	Y: -1.28723145	Z: -4.60754395	|  Gyro-X: 50.96939087	Y: 10.48995972	Z: -27.35763550
        Accel-X: 6.35925293	Y: -2.02941895	Z: -6.52160645	|  Gyro-X: 33.74282837	Y: -8.44131470	Z: -25.57067871
        Accel-X: 6.99951172	Y: -1.87011719	Z: -6.18041992	|  Gyro-X: 27.29034424	Y: -18.27331543	Z: -28.56140137
        Accel-X: 7.53601074	Y: -1.54846191	Z: -5.36315918	|  Gyro-X: 17.08450317	Y: -21.93695068	Z: -32.96524048
        Accel-X: 7.78320312	Y: -3.22937012	Z: -5.49682617	|  Gyro-X: 7.52166748	Y: -21.57806396	Z: -33.61572266
        Accel-X: 7.90161133	Y: -3.88244629	Z: -6.07849121	|  Gyro-X: 10.72921753	Y: -22.46780396	Z: -31.44744873
        Accel-X: 8.20983887	Y: -3.70666504	Z: -5.44311523	|  Gyro-X: 21.68273926	Y: -20.15747070	Z: -27.52212524
        Accel-X: 8.32275391	Y: -3.65783691	Z: -5.10253906	|  Gyro-X: 31.18576050	Y: -15.17044067	Z: -25.03234863
        Accel-X: 8.47351074	Y: -3.45458984	Z: -5.36254883	|  Gyro-X: 43.30566406	Y: -11.00585938	Z: -19.64157104
        Accel-X: 8.11889648	Y: -2.56835938	Z: -5.25451660	|  Gyro-X: 45.76553345	Y: -5.04684448	Z: -14.56481934
        Accel-X: 7.97607422	Y: -2.12707520	Z: -5.34729004	|  Gyro-X: 44.32998657	Y: -5.57769775	Z: -12.92739868
        Accel-X: 7.94372559	Y: -1.93237305	Z: -5.40832520	|  Gyro-X: 41.07009888	Y: -4.36645508	Z: -14.17602539
        Accel-X: 8.65356445	Y: -1.67602539	Z: -5.71716309	|  Gyro-X: 35.11856079	Y: -6.74407959	Z: -13.28628540
        Accel-X: 8.30749512	Y: -1.18408203	Z: -5.81726074	|  Gyro-X: 29.22683716	Y: 2.86361694	Z: -10.57220459
        Accel-X: 7.41699219	Y: -1.47033691	Z: -5.70617676	|  Gyro-X: 19.62661743	Y: 9.82452393	Z: -3.02062988
        Accel-X: 7.83691406	Y: -1.53320312	Z: -5.33630371	|  Gyro-X: 14.67697144	Y: 1.94396973	Z: 3.46176147
        Accel-X: 7.60009766	Y: -1.65405273	Z: -4.93591309	|  Gyro-X: 11.43951416	Y: 5.33843994	Z: 11.02828979
        Accel-X: 7.50305176	Y: -0.95947266	Z: -4.53552246	|  Gyro-X: 8.47869873	Y: 6.02630615	Z: 26.11648560
