Accel-X: 8.79760742	Y: -3.13537598	Z: 0.89660645	|  Gyro-X: 8.18710327	Y: -3.97018433	Z: 10.91613770
        Accel-X: 8.83178711	Y: -3.16162109	Z: 0.95764160	|  Gyro-X: 7.85064697	Y: -3.21502686	Z: 12.13485718
        Accel-X: 8.74389648	Y: -3.16040039	Z: 0.97900391	|  Gyro-X: 9.21142578	Y: -2.08602905	Z: 12.43392944
        Accel-X: 8.77319336	Y: -3.10791016	Z: 0.92895508	|  Gyro-X: 10.30303955	Y: -1.92901611	Z: 12.15728760
        Accel-X: 8.76953125	Y: -3.05603027	Z: 0.82214355	|  Gyro-X: 10.58715820	Y: -1.42059326	Z: 12.11242676
        Accel-X: 8.77868652	Y: -3.06579590	Z: 0.80505371	|  Gyro-X: 9.97406006	Y: -0.16448975	Z: 11.89559937
        Accel-X: 8.70605469	Y: -3.02124023	Z: 0.82092285	|  Gyro-X: 9.13665771	Y: 0.68786621	Z: 11.59652710
        Accel-X: 8.62854004	Y: -2.97973633	Z: 0.83068848	|  Gyro-X: 8.57589722	Y: 1.48788452	Z: 11.13296509
        Accel-X: 8.56811523	Y: -3.00415039	Z: 0.85571289	|  Gyro-X: 7.88803101	Y: 2.04864502	Z: 9.33105469
        Accel-X: 8.52172852	Y: -3.03161621	Z: 0.72021484	|  Gyro-X: 8.01513672	Y: 1.91406250	Z: 7.84317017
        Accel-X: 8.62182617	Y: -3.08410645	Z: 0.64147949	|  Gyro-X: 8.22448730	Y: 1.30096436	Z: 5.90667725
        Accel-X: 8.62182617	Y: -3.08776855	Z: 0.65917969	|  Gyro-X: 8.95721436	Y: 1.24114990	Z: 3.58139038
        Accel-X: 8.54492188	Y: -3.08654785	Z: 0.61218262	|  Gyro-X: 9.47311401	Y: 0.91217041	Z: 1.44302368
        Accel-X: 8.63342285	Y: -3.09814453	Z: 0.64575195	|  Gyro-X: 8.94973755	Y: 0.52337646	Z: -0.52337646
        Accel-X: 8.63891602	Y: -3.10729980	Z: 0.54321289	|  Gyro-X: 8.44131470	Y: 0.65795898	Z: -2.06359863
        Accel-X: 8.58459473	Y: -3.04321289	Z: 0.65979004	|  Gyro-X: 8.47122192	Y: 1.74957275	Z: -4.35897827
        Accel-X: 8.57543945	Y: -3.06457520	Z: 0.71166992	|  Gyro-X: 6.86370850	Y: 0.80749512	Z: -4.39636230
        Accel-X: 8.64074707	Y: -3.22692871	Z: 0.66101074	|  Gyro-X: 3.40194702	Y: 0.11215210	Z: -4.65057373
        Accel-X: 8.63891602	Y: -3.20190430	Z: 0.68908691	|  Gyro-X: 4.54589844	Y: -0.38879395	Z: -4.99450684
        Accel-X: 8.69384766	Y: -3.13171387	Z: 0.77758789	|  Gyro-X: 4.93469238	Y: -0.85983276	Z: -4.99450684
        Accel-X: 8.70971680	Y: -3.04138184	Z: 0.68786621	|  Gyro-X: 3.27484131	Y: -1.29348755	Z: -4.15710449
        Accel-X: 8.82751465	Y: -2.95288086	Z: 0.78186035	|  Gyro-X: 0.17944336	Y: -0.32150269	Z: -3.63372803
        Accel-X: 9.02465820	Y: -2.81250000	Z: 0.84777832	|  Gyro-X: -4.41879272	Y: 0.47851562	Z: -3.65615845
        Accel-X: 9.26879883	Y: -2.76245117	Z: 0.71289062	|  Gyro-X: -14.49005127	Y: 2.04864502	Z: -0.59066772
        Accel-X: 8.86291504	Y: -2.75329590	Z: 0.87036133	|  Gyro-X: -20.93505859	Y: 6.60949707	Z: 0.59066772
        Accel-X: 8.78234863	Y: -2.51098633	Z: 0.88073730	|  Gyro-X: -27.49969482	Y: 5.02441406	Z: -1.00189209
        Accel-X: 8.90991211	Y: -2.10571289	Z: 0.80139160	|  Gyro-X: -35.67184448	Y: 5.14404297	Z: -1.58508301
        Accel-X: 8.65722656	Y: -2.11181641	Z: 0.72814941	|  Gyro-X: -49.33944702	Y: 8.50112915	Z: -0.98693848
        Accel-X: 8.47351074	Y: -1.91589355	Z: 0.12878418	|  Gyro-X: -64.91363525	Y: 9.26376343	Z: -4.59075928
        Accel-X: 8.64013672	Y: -1.85180664	Z: -0.26428223	|  Gyro-X: -79.91210938	Y: 8.47869873	Z: -8.10485840
        Accel-X: 8.62976074	Y: -1.49963379	Z: -0.46081543	|  Gyro-X: -112.11471558	Y: 15.01342773	Z: -16.88262939
        Accel-X: 7.81005859	Y: -1.54968262	Z: -0.93078613	|  Gyro-X: -138.17886353	Y: 21.69021606	Z: -22.13882446
        Accel-X: 7.46215820	Y: -1.97937012	Z: -1.29150391	|  Gyro-X: -162.25418091	Y: 28.71093750	Z: -27.50717163
        Accel-X: 7.31384277	Y: -2.33642578	Z: -1.86828613	|  Gyro-X: -186.61361694	Y: 33.26431274	Z: -32.70355225
        Accel-X: 6.72607422	Y: -2.67272949	Z: -2.97302246	|  Gyro-X: -209.40292358	Y: 40.74111938	Z: -34.69985962
        Accel-X: 6.08276367	Y: -3.69934082	Z: -3.11767578	|  Gyro-X: -228.16223145	Y: 43.45520020	Z: -34.55780029
        Accel-X: 5.19287109	Y: -5.01220703	Z: -4.29626465	|  Gyro-X: -240.72326660	Y: 42.44583130	Z: -28.81561279
        Accel-X: 5.05737305	Y: -5.48583984	Z: -7.16247559	|  Gyro-X: -244.64859009	Y: 39.26818848	Z: -18.80416870
        Accel-X: 5.53039551	Y: -9.56237793	Z: -9.10583496	|  Gyro-X: -244.76074219	Y: 19.11819458	Z: -9.14413452
        Accel-X: 6.14196777	Y: -17.55615234	Z: -12.76733398	|  Gyro-X: -202.00088501	Y: -12.54608154	Z: 6.75903320
        Accel-X: 10.97839355	Y: -18.01208496	Z: -14.62707520	|  Gyro-X: -88.05435181	Y: -56.02371216	Z: 37.27935791
        Accel-X: 13.45275879	Y: -17.38769531	Z: -16.42944336	|  Gyro-X: -21.86965942	Y: -93.91616821	Z: 67.20901489
        Accel-X: 16.05285645	Y: -19.99511719	Z: -19.64965820	|  Gyro-X: -50.21423340	Y: -148.26507568	Z: 101.70700073
        Accel-X: 19.52697754	Y: -19.99511719	Z: -19.93774414	|  Gyro-X: -55.19378662	Y: -199.29428101	Z: 148.30245972
        Accel-X: 19.99511719	Y: -19.99511719	Z: -19.63317871	|  Gyro-X: -33.45870972	Y: -234.80911255	Z: 184.76684570
        Accel-X: 19.84436035	Y: -19.99511719	Z: -19.42016602	|  Gyro-X: -8.23196411	Y: -243.32519531	Z: 215.25726318
        Accel-X: 19.99511719	Y: -19.99511719	Z: -19.96520996	|  Gyro-X: -8.11981201	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: -36.27746582	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -16.53686523	Z: -19.57641602	|  Gyro-X: -60.70419312	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -14.94689941	Z: -18.85559082	|  Gyro-X: -42.64770508	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -9.53918457	Z: -14.90356445	|  Gyro-X: -0.17944336	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -5.49926758	Z: -8.49426270	|  Gyro-X: 49.07775879	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -2.44812012	Z: -6.27075195	|  Gyro-X: 113.25866699	Y: -243.32519531	Z: 242.25601196
        Accel-X: 18.32702637	Y: 2.67333984	Z: -1.19445801	|  Gyro-X: 119.01580811	Y: -243.32519531	Z: 212.52075195
        Accel-X: 15.52551270	Y: 3.06274414	Z: 1.53564453	|  Gyro-X: 33.87741089	Y: -206.34490967	Z: 188.10150146
        Accel-X: 12.53845215	Y: 2.50305176	Z: 3.29345703	|  Gyro-X: 72.06146240	Y: -166.14959717	Z: 151.75674438
        Accel-X: 5.64270020	Y: 5.97045898	Z: 2.49511719	|  Gyro-X: 110.90347290	Y: -129.31137085	Z: 117.52044678
        Accel-X: 2.88208008	Y: 5.85998535	Z: 3.02001953	|  Gyro-X: 94.60403442	Y: -106.17065430	Z: 85.86364746
        Accel-X: -0.92651367	Y: 5.36376953	Z: 4.83764648	|  Gyro-X: 83.26919556	Y: -81.10839844	Z: 59.62005615
        Accel-X: -3.08715820	Y: 4.67224121	Z: 4.99206543	|  Gyro-X: 86.28234863	Y: -56.46484375	Z: 35.45501709
        Accel-X: -5.18615723	Y: 4.22180176	Z: 4.39819336	|  Gyro-X: 89.63195801	Y: -36.63635254	Z: 15.56671143
        Accel-X: -6.75842285	Y: 3.75793457	Z: 4.23278809	|  Gyro-X: 80.41305542	Y: -25.80245972	Z: 0.69534302
        Accel-X: -8.23791504	Y: 1.78405762	Z: 4.03747559	|  Gyro-X: 73.04092407	Y: -11.20773315	Z: -19.66400146
        Accel-X: -8.88244629	Y: 0.54504395	Z: 3.92639160	|  Gyro-X: 77.63916016	Y: -4.32907104	Z: -30.06423950
        Accel-X: -9.59045410	Y: -0.09033203	Z: 2.90222168	|  Gyro-X: 61.61636353	Y: 4.22439575	Z: -27.82119751
        Accel-X: -9.85473633	Y: -1.23962402	Z: 2.11181641	|  Gyro-X: 39.44763184	Y: 11.55914307	Z: -26.15386963
        Accel-X: -9.91882324	Y: -2.07519531	Z: 0.89355469	|  Gyro-X: 31.00631714	Y: 15.31997681	Z: -25.89218140
        Accel-X: -9.96826172	Y: -2.83813477	Z: 0.45898438	|  Gyro-X: 11.22268677	Y: 15.68634033	Z: -22.35565186
        Accel-X: -10.33447266	Y: -3.35266113	Z: 0.29479980	|  Gyro-X: 1.24114990	Y: 14.78912354	Z: -18.47518921
        Accel-X: -10.81054688	Y: -4.08386230	Z: -0.26855469	|  Gyro-X: 10.48248291	Y: 13.03955078	Z: -17.65274048
        Accel-X: -11.09069824	Y: -4.23828125	Z: 0.06469727	|  Gyro-X: 10.84884644	Y: 10.57220459	Z: -13.99658203
        Accel-X: -11.11267090	Y: -4.09423828	Z: 0.06042480	|  Gyro-X: 13.05450439	Y: 8.58337402	Z: -11.81335449
        Accel-X: -10.49316406	Y: -3.95996094	Z: -0.38757324	|  Gyro-X: -2.01873779	Y: 5.96649170	Z: -6.17584229
        Accel-X: -10.33813477	Y: -4.24743652	Z: -0.19348145	|  Gyro-X: -12.94235229	Y: 2.95333862	Z: 0.48599243
        Accel-X: -10.78918457	Y: -4.30419922	Z: -0.52673340	|  Gyro-X: 1.19628906	Y: 3.97018433	Z: -1.09161377
        Accel-X: -10.41625977	Y: -3.49914551	Z: -0.35278320	|  Gyro-X: 11.61148071	Y: 2.96829224	Z: -4.01504517
        Accel-X: -10.47912598	Y: -3.50891113	Z: -0.04028320	|  Gyro-X: -2.75146484	Y: -1.00189209	Z: 0.14205933
        Accel-X: -10.59387207	Y: -4.30114746	Z: 0.09765625	|  Gyro-X: 8.19458008	Y: -0.03738403	Z: -2.47482300
        Accel-X: -10.52124023	Y: -3.96423340	Z: -0.10620117	|  Gyro-X: 24.68093872	Y: 0.48599243	Z: -6.82632446
        Accel-X: -10.61828613	Y: -3.17993164	Z: 0.25634766	|  Gyro-X: 13.92181396	Y: -0.69534302	Z: -3.48419189
        Accel-X: -10.67016602	Y: -3.96301270	Z: 0.60302734	|  Gyro-X: -8.45626831	Y: -0.97198486	Z: 1.85424805
        Accel-X: -10.62377930	Y: -4.00451660	Z: 0.62316895	|  Gyro-X: -1.77947998	Y: 0.88973999	Z: 0.88226318
        Accel-X: -10.42114258	Y: -3.51074219	Z: 0.06469727	|  Gyro-X: 10.92361450	Y: 2.16079712	Z: -4.09729004
        Accel-X: -10.44006348	Y: -3.56079102	Z: 0.24902344	|  Gyro-X: 6.94595337	Y: 0.92712402	Z: -2.99819946
        Accel-X: -10.41015625	Y: -3.77258301	Z: 0.42175293	|  Gyro-X: 10.45257568	Y: 0.86730957	Z: -4.22439575
        Accel-X: -10.30151367	Y: -3.43017578	Z: 0.24353027	|  Gyro-X: 13.98910522	Y: 0.84487915	Z: -5.91415405
        Accel-X: -10.30395508	Y: -3.35327148	Z: 0.27465820	|  Gyro-X: 5.87677002	Y: 0.44860840	Z: -4.84497070
        Accel-X: -10.42907715	Y: -3.95690918	Z: 0.45471191	|  Gyro-X: 1.77947998	Y: -0.27664185	Z: -2.80380249
        Accel-X: -10.64392090	Y: -3.81225586	Z: 0.28747559	|  Gyro-X: 16.11999512	Y: 1.32339478	Z: -5.81695557
        Accel-X: -10.44677734	Y: -3.29895020	Z: 0.36682129	|  Gyro-X: 20.23971558	Y: 1.55517578	Z: -7.52914429
        Accel-X: -10.66650391	Y: -3.62426758	Z: 0.47546387	|  Gyro-X: 7.36465454	Y: 1.84677124	Z: -4.85244751
        Accel-X: -10.73303223	Y: -4.31091309	Z: 0.49987793	|  Gyro-X: 6.63192749	Y: 2.32528687	Z: -3.08044434
        Accel-X: -10.75073242	Y: -4.37927246	Z: 0.42236328	|  Gyro-X: 14.72183228	Y: 1.62994385	Z: -4.08233643
        Accel-X: -10.68359375	Y: -4.05395508	Z: 0.27954102	|  Gyro-X: 11.10305786	Y: 0.48599243	Z: -0.53833008
        Accel-X: -10.53283691	Y: -4.08996582	Z: 0.67382812	|  Gyro-X: 7.59643555	Y: 1.05422974	Z: 2.13836670
        Accel-X: -10.64636230	Y: -4.02648926	Z: 0.47729492	|  Gyro-X: 15.82092285	Y: 2.33276367	Z: -0.81497192
        Accel-X: -10.51513672	Y: -3.38317871	Z: 0.39245605	|  Gyro-X: 20.22476196	Y: 2.51220703	Z: -2.84866333
        Accel-X: -10.44860840	Y: -3.33190918	Z: 0.54199219	|  Gyro-X: 10.89370728	Y: 1.45797729	Z: -0.71029663
        Accel-X: -10.45959473	Y: -3.73107910	Z: 0.68481445	|  Gyro-X: 3.03558350	Y: 0.25421143	Z: 0.82992554
        Accel-X: -10.39978027	Y: -3.41918945	Z: 0.46997070	|  Gyro-X: 13.06198120	Y: 0.17196655	Z: -1.49536133
        
