Accel-X: 8.97644043	Y: -2.12646484	Z: -0.32592773	|  Gyro-X: -43.38043213	Y: -1.47293091	Z: 1.43554688
        Accel-X: 8.94958496	Y: -2.32788086	Z: -0.22399902	|  Gyro-X: -51.79931641	Y: 3.08044434	Z: 4.17205811
        Accel-X: 8.57177734	Y: -2.45056152	Z: -0.11596680	|  Gyro-X: -55.14892578	Y: 4.84497070	Z: 5.57769775
        Accel-X: 8.48388672	Y: -2.58300781	Z: -0.21179199	|  Gyro-X: -58.00506592	Y: 4.91973877	Z: 6.12350464
        Accel-X: 8.70239258	Y: -2.77343750	Z: -0.21911621	|  Gyro-X: -55.08911133	Y: 3.71597290	Z: 7.42446899
        Accel-X: 9.13757324	Y: -3.54614258	Z: -0.67871094	|  Gyro-X: -43.00659180	Y: 5.61508179	Z: 6.34780884
        Accel-X: 9.35302734	Y: -4.47814941	Z: 0.06347656	|  Gyro-X: 4.72534180	Y: 7.45437622	Z: 3.82064819
        Accel-X: 9.65698242	Y: -2.48718262	Z: 0.76843262	|  Gyro-X: 23.89587402	Y: 4.41131592	Z: -2.07855225
        Accel-X: 9.57641602	Y: -2.26562500	Z: 0.48034668	|  Gyro-X: 26.22863770	Y: 4.54589844	Z: -1.54769897
        Accel-X: 8.79943848	Y: -2.79541016	Z: 0.11779785	|  Gyro-X: 24.50897217	Y: 6.34780884	Z: 1.68975830
        Accel-X: 8.45642090	Y: -2.50244141	Z: -0.01037598	|  Gyro-X: 23.86596680	Y: 2.13088989	Z: 4.73281860
        Accel-X: 8.49609375	Y: -2.11730957	Z: -0.15502930	|  Gyro-X: 17.66769409	Y: -0.28411865	Z: 5.48797607
        Accel-X: 8.51562500	Y: -2.17041016	Z: -0.48278809	|  Gyro-X: 12.15728760	Y: -0.05981445	Z: 4.88983154
        Accel-X: 8.64318848	Y: -2.41943359	Z: -0.83068848	|  Gyro-X: 16.14242554	Y: 0.77011108	Z: 2.10845947
        Accel-X: 8.93920898	Y: -2.22900391	Z: -0.71289062	|  Gyro-X: 19.01351929	Y: 0.26168823	Z: -4.01504517
        Accel-X: 9.00390625	Y: -1.81457520	Z: -0.44067383	|  Gyro-X: 11.93298340	Y: 3.28231812	Z: -9.45068359
        Accel-X: 9.06860352	Y: -2.08190918	Z: -0.48950195	|  Gyro-X: 2.14584351	Y: 3.12530518	Z: -9.48059082
        Accel-X: 8.98925781	Y: -2.35900879	Z: -0.30090332	|  Gyro-X: 1.29348755	Y: 4.89730835	Z: -8.47122192
        Accel-X: 8.96362305	Y: -2.14904785	Z: -0.13793945	|  Gyro-X: 1.32339478	Y: 4.53094482	Z: -8.10485840
        Accel-X: 9.02404785	Y: -1.96838379	Z: -0.04882812	|  Gyro-X: -1.03179932	Y: 3.14773560	Z: -5.41320801
        Accel-X: 9.12292480	Y: -1.85058594	Z: -0.03356934	|  Gyro-X: -5.37582397	Y: 3.29727173	Z: -3.37951660
        Accel-X: 8.96301270	Y: -2.01782227	Z: -0.08911133	|  Gyro-X: -9.18899536	Y: 4.57580566	Z: -1.82434082
        Accel-X: 8.76831055	Y: -2.00012207	Z: -0.06835938	|  Gyro-X: -7.86560059	Y: 3.62625122	Z: -2.81875610
        Accel-X: 8.94104004	Y: -1.78100586	Z: -0.33935547	|  Gyro-X: -6.58706665	Y: 2.85614014	Z: -3.76083374
        Accel-X: 9.12536621	Y: -1.96777344	Z: -0.36132812	|  Gyro-X: -4.33654785	Y: 2.48229980	Z: -4.29168701
        Accel-X: 8.76037598	Y: -1.73522949	Z: -0.17333984	|  Gyro-X: -4.26177979	Y: 3.42437744	Z: -6.42257690
        Accel-X: 8.88122559	Y: -1.62597656	Z: -0.09948730	|  Gyro-X: -4.29916382	Y: 2.32528687	Z: -7.67868042
        Accel-X: 9.22607422	Y: -1.33544922	Z: -0.34912109	|  Gyro-X: -14.39285278	Y: 1.05422974	Z: -7.00576782
        Accel-X: 8.93676758	Y: -1.36779785	Z: -0.49316406	|  Gyro-X: -25.80245972	Y: 2.37014771	Z: -5.68237305
        Accel-X: 8.93127441	Y: -1.63574219	Z: -0.40771484	|  Gyro-X: -33.24935913	Y: 0.07476807	Z: -6.44500732
        Accel-X: 9.12536621	Y: -1.00524902	Z: -0.43884277	|  Gyro-X: -40.73364258	Y: -0.85983276	Z: -7.29736328
        Accel-X: 8.92578125	Y: -0.82153320	Z: -0.57617188	|  Gyro-X: -50.37872314	Y: 0.82244873	Z: -8.08990479
        Accel-X: 8.48144531	Y: -1.06201172	Z: -0.74340820	|  Gyro-X: -64.52484131	Y: 0.11215210	Z: -7.83569336
        Accel-X: 8.12316895	Y: -1.28845215	Z: -0.79040527	|  Gyro-X: -75.06713867	Y: -0.94207764	Z: -11.49932861
        Accel-X: 8.16955566	Y: -1.04675293	Z: -1.15051270	|  Gyro-X: -75.75500488	Y: -4.00009155	Z: -17.41348267
        Accel-X: 7.93640137	Y: -0.62805176	Z: -1.46606445	|  Gyro-X: -81.89346313	Y: 0.18692017	Z: -43.92623901
        Accel-X: 7.76184082	Y: -0.69519043	Z: -1.31286621	|  Gyro-X: -91.99462891	Y: -6.21322632	Z: -28.75579834
        Accel-X: 7.85644531	Y: -0.81237793	Z: -1.07849121	|  Gyro-X: -111.80816650	Y: -3.17016602	Z: -33.42132568
        Accel-X: 7.54638672	Y: -1.18225098	Z: -1.24389648	|  Gyro-X: -131.91329956	Y: 2.51968384	Z: -43.68698120
        Accel-X: 7.26196289	Y: -1.46240234	Z: -1.28112793	|  Gyro-X: -152.52685547	Y: 5.54779053	Z: -37.35412598
        Accel-X: 7.13623047	Y: -2.48046875	Z: -1.36230469	|  Gyro-X: -171.42074585	Y: 6.44500732	Z: -34.25872803
        Accel-X: 6.23718262	Y: -4.37438965	Z: -1.45751953	|  Gyro-X: -179.06951904	Y: 10.78155518	Z: -30.07171631
        Accel-X: 6.51428223	Y: -5.46325684	Z: -1.66625977	|  Gyro-X: -171.30111694	Y: 6.36276245	Z: -13.54797363
        Accel-X: 7.65930176	Y: -7.11120605	Z: -2.46582031	|  Gyro-X: -157.74566650	Y: 4.03747559	Z: 0.48599243
        Accel-X: 8.27880859	Y: -7.63183594	Z: -3.91174316	|  Gyro-X: -142.53784180	Y: 3.38699341	Z: 17.09197998
        Accel-X: 8.32275391	Y: -8.25927734	Z: -5.80566406	|  Gyro-X: -149.18472290	Y: -10.44509888	Z: 37.63824463
        Accel-X: 8.32824707	Y: -11.00585938	Z: -6.70776367	|  Gyro-X: -143.36776733	Y: -33.24935913	Z: 62.89489746
        Accel-X: 12.39318848	Y: -12.93029785	Z: -8.61328125	|  Gyro-X: -102.58178711	Y: -56.97326660	Z: 92.53295898
        Accel-X: 15.69458008	Y: -12.79907227	Z: -10.75317383	|  Gyro-X: -65.80337524	Y: -77.48962402	Z: 117.03445435
        Accel-X: 18.21411133	Y: -14.94262695	Z: -15.15991211	|  Gyro-X: -50.35629272	Y: -104.21173096	Z: 143.23318481
        Accel-X: 19.95727539	Y: -18.93310547	Z: -15.99182129	|  Gyro-X: -52.08343506	Y: -157.67089844	Z: 181.65649414
        Accel-X: 19.99511719	Y: -19.99511719	Z: -17.25708008	|  Gyro-X: -40.84579468	Y: -183.22662354	Z: 208.87207031
        Accel-X: 19.99511719	Y: -19.99511719	Z: -18.53454590	|  Gyro-X: -36.86813354	Y: -209.26834106	Z: 242.89154053
        Accel-X: 19.99511719	Y: -19.99511719	Z: -18.09265137	|  Gyro-X: -23.98559570	Y: -237.69515991	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: -17.41577148	|  Gyro-X: 11.61895752	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: -16.95556641	|  Gyro-X: 51.24603271	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.65881348	Z: -15.70678711	|  Gyro-X: 34.44564819	Y: -243.15322876	Z: 244.52148438
        Accel-X: 19.99511719	Y: -15.30212402	Z: -13.59375000	|  Gyro-X: -9.47311401	Y: -223.84811401	Z: 244.52148438
        Accel-X: 19.99511719	Y: -10.60302734	Z: -12.73437500	|  Gyro-X: -24.62112427	Y: -216.97692871	Z: 244.52148438
        Accel-X: 19.99511719	Y: -5.79956055	Z: -10.10803223	|  Gyro-X: -2.88604736	Y: -212.99926758	Z: 244.52148438
        Accel-X: 19.99511719	Y: 1.01440430	Z: -3.01757812	|  Gyro-X: 26.13143921	Y: -198.51669312	Z: 244.52148438
        Accel-X: 19.99511719	Y: 3.35083008	Z: -0.83862305	|  Gyro-X: 80.65231323	Y: -175.86944580	Z: 222.98080444
        Accel-X: 18.19519043	Y: 6.43493652	Z: 0.73730469	|  Gyro-X: 107.69592285	Y: -143.27056885	Z: 187.00988770
        Accel-X: 10.83618164	Y: 7.94860840	Z: 2.73071289	|  Gyro-X: 112.53341675	Y: -115.37460327	Z: 152.42218018
        Accel-X: 6.30126953	Y: 9.33410645	Z: 2.98339844	|  Gyro-X: 131.30020142	Y: -90.20019531	Z: 116.80267334
        Accel-X: 0.23132324	Y: 8.22692871	Z: 3.24584961	|  Gyro-X: 112.92968750	Y: -58.60321045	Z: 73.84841919
        Accel-X: -2.11608887	Y: 6.57958984	Z: 3.07678223	|  Gyro-X: 93.60214233	Y: -38.60275269	Z: 50.43853760
        Accel-X: -4.43298340	Y: 5.41198730	Z: 1.89758301	|  Gyro-X: 78.35693359	Y: -20.50140381	Z: 31.94839478
        Accel-X: -7.30224609	Y: 4.00451660	Z: 2.18444824	|  Gyro-X: 58.15460205	Y: -15.94055176	Z: 21.70516968
        Accel-X: -7.83020020	Y: 2.76611328	Z: 2.88574219	|  Gyro-X: 44.14306641	Y: -15.20034790	Z: 11.76101685
