Accel-X: 8.65295410	Y: -3.28552246	Z: 0.16357422	|  Gyro-X: -1.79443359	Y: -0.28411865	Z: -0.65048218
        Accel-X: 8.62182617	Y: -3.33862305	Z: -0.00915527	|  Gyro-X: -0.71029663	Y: -0.47103882	Z: -0.75515747
        Accel-X: 8.58581543	Y: -3.34350586	Z: -0.06774902	|  Gyro-X: 1.87667847	Y: -0.53085327	Z: -1.00189209
        Accel-X: 8.71093750	Y: -3.31237793	Z: -0.00061035	|  Gyro-X: 2.66174316	Y: -1.21871948	Z: -1.35330200
        Accel-X: 8.74816895	Y: -3.09082031	Z: 0.01647949	|  Gyro-X: 2.52716064	Y: 0.02243042	Z: -2.85614014
        Accel-X: 8.67492676	Y: -3.18725586	Z: 0.04333496	|  Gyro-X: 1.87667847	Y: 0.76263428	Z: -2.29537964
        Accel-X: 8.64746094	Y: -3.34289551	Z: -0.07263184	|  Gyro-X: 2.00378418	Y: 0.05981445	Z: -2.24304199
        Accel-X: 8.70666504	Y: -3.18542480	Z: -0.09460449	|  Gyro-X: 1.92901611	Y: -1.09161377	Z: -3.23745728
        Accel-X: 8.84643555	Y: -3.15856934	Z: -0.14404297	|  Gyro-X: 2.05612183	Y: -1.26358032	Z: -3.37203979
        Accel-X: 8.69628906	Y: -3.25439453	Z: -0.05371094	|  Gyro-X: 1.17385864	Y: 0.19439697	Z: -3.21502686
        Accel-X: 8.60351562	Y: -3.18786621	Z: -0.11047363	|  Gyro-X: 2.47482300	Y: 0.01495361	Z: -3.34960938
        Accel-X: 8.74816895	Y: -2.99316406	Z: -0.04211426	|  Gyro-X: -0.23178101	Y: -0.89721680	Z: -4.78515625
        Accel-X: 8.80432129	Y: -3.25256348	Z: -0.05859375	|  Gyro-X: -0.82992554	Y: -0.19439697	Z: -3.43933105
        Accel-X: 8.68225098	Y: -3.14575195	Z: -0.04455566	|  Gyro-X: -0.08224487	Y: 1.08413696	Z: -3.66363525
        Accel-X: 8.68774414	Y: -3.26782227	Z: -0.15625000	|  Gyro-X: 1.09161377	Y: -0.34393311	Z: -3.89541626
        Accel-X: 8.87207031	Y: -3.09326172	Z: -0.16845703	|  Gyro-X: 0.23925781	Y: 0.08972168	Z: -3.40942383
        Accel-X: 8.96972656	Y: -2.93640137	Z: -0.16418457	|  Gyro-X: -2.22061157	Y: -0.20935059	Z: -2.68417358
        Accel-X: 8.93249512	Y: -2.61291504	Z: -0.17883301	|  Gyro-X: -10.29556274	Y: 0.21682739	Z: -0.08224487
        Accel-X: 8.71154785	Y: -2.63122559	Z: -0.18493652	|  Gyro-X: -16.03027344	Y: 3.22250366	Z: 5.42068481
        Accel-X: 8.90014648	Y: -2.16918945	Z: 0.01708984	|  Gyro-X: -27.68661499	Y: 0.33645630	Z: 7.35717773
        Accel-X: 9.42138672	Y: -1.81091309	Z: 0.03417969	|  Gyro-X: -34.58770752	Y: 4.92721558	Z: 11.50680542
        Accel-X: 9.25231934	Y: -1.90673828	Z: 0.03417969	|  Gyro-X: -55.02929688	Y: 13.05450439	Z: 13.66012573
        Accel-X: 8.77014160	Y: -1.77246094	Z: 0.15319824	|  Gyro-X: -78.80554199	Y: 20.50888062	Z: 13.76480103
        Accel-X: 8.45520020	Y: -1.96411133	Z: 0.01159668	|  Gyro-X: -105.23605347	Y: 25.70526123	Z: 12.74047852
        Accel-X: 8.38500977	Y: -2.36389160	Z: -0.16723633	|  Gyro-X: -127.61413574	Y: 31.30538940	Z: 10.75164795
        Accel-X: 8.32031250	Y: -2.33215332	Z: -0.76782227	|  Gyro-X: -153.11004639	Y: 37.27188110	Z: 7.21511841
        Accel-X: 7.93701172	Y: -2.72949219	Z: -1.33117676	|  Gyro-X: -175.36849976	Y: 45.52627563	Z: 6.66183472
        Accel-X: 7.49389648	Y: -2.71972656	Z: -1.26159668	|  Gyro-X: -186.86782837	Y: 55.18630981	Z: -0.37384033
        Accel-X: 6.37756348	Y: -2.79113770	Z: -1.27441406	|  Gyro-X: -186.61361694	Y: 61.00326538	Z: -2.82623291
        Accel-X: 4.94262695	Y: -2.49145508	Z: -2.03491211	|  Gyro-X: -183.86215210	Y: 71.94183350	Z: -2.81875610
        Accel-X: 3.78417969	Y: -2.32299805	Z: -2.55432129	|  Gyro-X: -181.03591919	Y: 70.46142578	Z: -3.08044434
        Accel-X: 3.65783691	Y: -3.80798340	Z: -2.69897461	|  Gyro-X: -176.33300781	Y: 58.30413818	Z: -6.20574951
        Accel-X: 4.56054688	Y: -4.72473145	Z: -2.91198730	|  Gyro-X: -159.57000732	Y: 48.02352905	Z: -12.02270508
        Accel-X: 6.11328125	Y: -4.52697754	Z: -4.74609375	|  Gyro-X: -104.31640625	Y: 35.48492432	Z: -16.44149780
        Accel-X: 7.45544434	Y: -4.15771484	Z: -6.20849609	|  Gyro-X: -87.53097534	Y: 21.63040161	Z: -19.11819458
        Accel-X: 9.87487793	Y: -5.81176758	Z: -7.07214355	|  Gyro-X: -89.72167969	Y: 6.35528564	Z: -13.48068237
        Accel-X: 12.50244141	Y: -7.23327637	Z: -9.32495117	|  Gyro-X: -74.67834473	Y: -3.55148315	Z: -4.35150146
        Accel-X: 13.10363770	Y: -7.47497559	Z: -11.73217773	|  Gyro-X: -68.82400513	Y: -25.27908325	Z: 0.30654907
        Accel-X: 13.68652344	Y: -12.18627930	Z: -12.14965820	|  Gyro-X: -81.35513306	Y: -57.49664307	Z: 12.28439331
        Accel-X: 15.75439453	Y: -12.93090820	Z: -13.80432129	|  Gyro-X: -41.45889282	Y: -118.61953735	Z: 41.04019165
        Accel-X: 16.26770020	Y: -15.53405762	Z: -15.31494141	|  Gyro-X: -25.96694946	Y: -151.88385010	Z: 60.10604858
        Accel-X: 15.55603027	Y: -17.67822266	Z: -18.49182129	|  Gyro-X: -12.24700928	Y: -190.92773438	Z: 92.64511108
        Accel-X: 16.98364258	Y: -18.68957520	Z: -19.91516113	|  Gyro-X: -18.24340820	Y: -235.72128296	Z: 134.31335449
        Accel-X: 16.30981445	Y: -19.99084473	Z: -19.99511719	|  Gyro-X: -17.77236938	Y: -243.32519531	Z: 171.95159912
        Accel-X: 15.56884766	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: -16.16485596	Y: -243.32519531	Z: 198.32977295
        Accel-X: 18.02246094	Y: -19.99511719	Z: -19.99511719	|  Gyro-X: -5.77209473	Y: -243.32519531	Z: 225.74722290
        Accel-X: 19.99511719	Y: -19.98107910	Z: -19.99511719	|  Gyro-X: 52.82363892	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -16.08947754	Z: -19.99511719	|  Gyro-X: 85.26550293	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -12.45117188	Z: -18.88305664	|  Gyro-X: 96.64520264	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -8.91418457	Z: -16.50390625	|  Gyro-X: 130.35064697	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -1.16333008	Z: -10.40649414	|  Gyro-X: 103.56872559	Y: -243.32519531	Z: 244.52148438
        Accel-X: 16.85913086	Y: -0.76904297	Z: -3.29772949	|  Gyro-X: 39.64202881	Y: -243.32519531	Z: 242.84667969
        Accel-X: 15.23803711	Y: 0.79772949	Z: 0.07934570	|  Gyro-X: 77.39242554	Y: -223.56399536	Z: 189.64172363
        Accel-X: 13.81652832	Y: 6.17858887	Z: 3.12011719	|  Gyro-X: 125.33370972	Y: -164.77386475	Z: 137.39379883
        Accel-X: 8.61022949	Y: 6.36047363	Z: 4.86816406	|  Gyro-X: 126.00662231	Y: -109.71466064	Z: 95.50125122
        Accel-X: 4.35424805	Y: 6.57165527	Z: 4.45068359	|  Gyro-X: 147.50244141	Y: -73.30261230	Z: 65.84075928
        Accel-X: 2.78930664	Y: 8.18847656	Z: 3.99536133	|  Gyro-X: 133.51333618	Y: -49.82543945	Z: 43.18603516
        Accel-X: -0.15625000	Y: 8.27697754	Z: 3.92028809	|  Gyro-X: 88.46557617	Y: -28.00064087	Z: 29.55581665
        Accel-X: -3.57055664	Y: 6.39709473	Z: 3.93005371	|  Gyro-X: 57.66860962	Y: -11.35726929	Z: 13.20404053
        Accel-X: -6.38793945	Y: 3.73168945	Z: 3.64440918	|  Gyro-X: 52.97317505	Y: -6.61697388	Z: -6.48239136
        Accel-X: -8.80432129	Y: 2.56286621	Z: 3.47778320	|  Gyro-X: 74.17739868	Y: -7.09548950	Z: -25.84732056
        Accel-X: -9.24438477	Y: 2.33642578	Z: 3.34655762	|  Gyro-X: 79.47845459	Y: -8.50860596	Z: -39.52239990
        Accel-X: -9.26513672	Y: 0.89965820	Z: 3.02246094	|  Gyro-X: 60.35278320	Y: -8.08242798	Z: -45.85525513
        Accel-X: -10.28198242	Y: -2.57080078	Z: 2.59826660	|  Gyro-X: 54.43115234	Y: 5.89172363	Z: -55.07415771
        Accel-X: -10.46813965	Y: -4.00451660	Z: 1.64855957	|  Gyro-X: 51.50024414	Y: 14.93118286	Z: -56.65924072
        Accel-X: -11.27746582	Y: -4.47387695	Z: 0.99060059	|  Gyro-X: 35.52978516	Y: 20.20980835	Z: -48.52447510
        Accel-X: -11.76452637	Y: -6.64428711	Z: 0.76171875	|  Gyro-X: 23.29025269	Y: 20.78552246	Z: -42.25143433
