Accel-X: 9.26269531	Y: -1.59790039	Z: -0.64636230	|  Gyro-X: 11.62643433	Y: -1.77200317	Z: -5.39077759
        Accel-X: 9.10827637	Y: -1.65954590	Z: -0.61279297	|  Gyro-X: 11.93298340	Y: -0.20187378	Z: -5.39825439
        Accel-X: 9.23156738	Y: -1.61804199	Z: -0.70678711	|  Gyro-X: 13.45825195	Y: -2.45239258	Z: -5.77957153
        Accel-X: 9.34997559	Y: -1.53503418	Z: -0.78491211	|  Gyro-X: 13.71994019	Y: -2.96081543	Z: -6.22070312
        Accel-X: 9.26452637	Y: -1.48010254	Z: -0.84411621	|  Gyro-X: 12.37411499	Y: -1.35330200	Z: -6.12350464
        Accel-X: 9.12841797	Y: -1.42211914	Z: -0.72998047	|  Gyro-X: 10.96847534	Y: -0.41870117	Z: -5.86181641
        Accel-X: 9.21997070	Y: -1.35742188	Z: -0.77331543	|  Gyro-X: 9.83947754	Y: -1.04675293	Z: -5.60012817
        Accel-X: 9.26879883	Y: -1.43859863	Z: -0.77819824	|  Gyro-X: 10.32546997	Y: -0.27664185	Z: -5.85433960
        Accel-X: 9.10400391	Y: -1.44287109	Z: -0.79101562	|  Gyro-X: 11.35726929	Y: 0.56076050	Z: -5.98144531
        Accel-X: 9.18395996	Y: -1.43798828	Z: -0.80139160	|  Gyro-X: 10.79650879	Y: -1.59255981	Z: -6.13098145
        Accel-X: 9.25292969	Y: -1.43676758	Z: -0.90087891	|  Gyro-X: 10.09368896	Y: -1.27853394	Z: -5.66741943
        Accel-X: 9.20410156	Y: -1.35864258	Z: -0.83923340	|  Gyro-X: 8.54598999	Y: -0.56076050	Z: -5.53283691
        Accel-X: 9.13879395	Y: -1.31225586	Z: -0.76904297	|  Gyro-X: 7.73849487	Y: 0.35888672	Z: -5.61508179
        Accel-X: 9.13757324	Y: -1.32873535	Z: -0.83679199	|  Gyro-X: 5.82443237	Y: 0.58319092	Z: -4.91973877
        Accel-X: 9.18395996	Y: -1.59057617	Z: -0.95458984	|  Gyro-X: 6.75155640	Y: 2.16079712	Z: -4.74029541
