Accel-X: 9.23034668	Y: -1.46179199	Z: -0.51269531	|  Gyro-X: -12.75543213	Y: -2.95333862	Z: -1.99630737
        Accel-X: 9.40002441	Y: -1.30310059	Z: -0.43945312	|  Gyro-X: -12.62084961	Y: -1.67480469	Z: -2.20565796
        Accel-X: 9.26940918	Y: -1.53320312	Z: -0.49255371	|  Gyro-X: -10.34790039	Y: 2.00378418	Z: -2.17575073
        Accel-X: 9.26574707	Y: -1.49780273	Z: -0.57495117	|  Gyro-X: -3.72344971	Y: 1.30844116	Z: -2.74398804
        Accel-X: 9.41955566	Y: -1.34765625	Z: -0.62805176	|  Gyro-X: 0.43365479	Y: 0.50842285	Z: -3.47671509
        Accel-X: 9.49707031	Y: -1.25854492	Z: -0.54199219	|  Gyro-X: 3.30474854	Y: 2.31033325	Z: -4.47860718
        Accel-X: 9.78393555	Y: -1.36352539	Z: -0.55725098	|  Gyro-X: 5.06927490	Y: 3.91784668	Z: -6.05621338
        Accel-X: 9.77844238	Y: -1.64611816	Z: -0.54321289	|  Gyro-X: 10.19836426	Y: 6.19827271	Z: -6.21322632
        Accel-X: 9.30725098	Y: -1.46240234	Z: -0.55603027	|  Gyro-X: 12.20962524	Y: 8.64318848	Z: -5.01693726
        Accel-X: 8.85925293	Y: -1.22619629	Z: -0.76049805	|  Gyro-X: 12.58346558	Y: 6.87118530	Z: -1.71218872
        Accel-X: 8.91418457	Y: -1.02722168	Z: -0.94238281	|  Gyro-X: 11.88812256	Y: 5.17395020	Z: 2.22061157
        Accel-X: 8.96362305	Y: -0.72875977	Z: -0.81542969	|  Gyro-X: 12.11242676	Y: 4.98703003	Z: 4.14962769
        Accel-X: 9.06250000	Y: -0.73547363	Z: -0.73242188	|  Gyro-X: 13.11431885	Y: 4.51599121	Z: 1.27105713
        Accel-X: 9.30480957	Y: -0.63110352	Z: -0.70983887	|  Gyro-X: 14.39285278	Y: 0.57571411	Z: -1.91406250
        Accel-X: 9.51599121	Y: -0.93872070	Z: -0.90942383	|  Gyro-X: 10.87875366	Y: 1.77947998	Z: -6.39266968
        Accel-X: 9.23034668	Y: -1.02905273	Z: -0.88745117	|  Gyro-X: 5.61508179	Y: 5.42816162	Z: -8.76281738
        Accel-X: 8.86962891	Y: -1.36108398	Z: -0.66040039	|  Gyro-X: 3.58139038	Y: 5.33096313	Z: -7.63381958
        Accel-X: 8.95996094	Y: -1.47460938	Z: -0.67443848	|  Gyro-X: 7.11044312	Y: 2.16079712	Z: -5.88424683
        Accel-X: 8.99902344	Y: -1.40747070	Z: -0.63049316	|  Gyro-X: 14.22088623	Y: 1.08413696	Z: -6.23565674
        Accel-X: 8.94165039	Y: -1.25000000	Z: -0.29541016	|  Gyro-X: 19.24530029	Y: 2.15332031	Z: -6.25808716
        Accel-X: 8.91357422	Y: -1.15783691	Z: -0.29296875	|  Gyro-X: 19.41726685	Y: 0.76263428	Z: -5.95153809
        Accel-X: 8.82751465	Y: -1.22070312	Z: -0.39611816	|  Gyro-X: 17.24151611	Y: 1.95892334	Z: -5.45059204
        Accel-X: 8.85864258	Y: -1.60400391	Z: -0.53405762	|  Gyro-X: 21.75750732	Y: -1.60751343	Z: -6.25061035
        Accel-X: 8.96240234	Y: -1.79626465	Z: -0.66467285	|  Gyro-X: 27.70156860	Y: -3.24493408	Z: -8.50112915
        Accel-X: 8.93737793	Y: -2.27722168	Z: -0.70739746	|  Gyro-X: 37.12982178	Y: -4.70291138	Z: -12.76290894
        Accel-X: 8.56506348	Y: -2.54882812	Z: -0.31738281	|  Gyro-X: 50.71517944	Y: -5.42816162	Z: -19.52194214
        Accel-X: 8.69628906	Y: -3.57666016	Z: 0.18432617	|  Gyro-X: 69.32495117	Y: -3.43185425	Z: -22.68463135
        Accel-X: 8.87084961	Y: -4.17663574	Z: 1.08276367	|  Gyro-X: 99.59106445	Y: 0.28411865	Z: -28.44924927
        Accel-X: 9.89501953	Y: -6.14868164	Z: 4.44885254	|  Gyro-X: 145.67810059	Y: 10.75164795	Z: -34.89425659
        Accel-X: 10.73669434	Y: -8.27453613	Z: 7.61108398	|  Gyro-X: 211.72073364	Y: 36.32232666	Z: -21.18927002
        Accel-X: 10.65551758	Y: -7.89733887	Z: 12.32849121	|  Gyro-X: 234.51751709	Y: 57.76580811	Z: -25.24169922
        Accel-X: 14.84741211	Y: -9.22729492	Z: 17.72277832	|  Gyro-X: 224.91729736	Y: 79.50088501	Z: -3.82812500
        Accel-X: 18.74206543	Y: -13.04321289	Z: 19.99511719	|  Gyro-X: 186.05285645	Y: 155.85403442	Z: 39.11117554
        Accel-X: 18.33312988	Y: -11.92077637	Z: 19.99511719	|  Gyro-X: 208.49075317	Y: 211.04034424	Z: 67.38098145
        Accel-X: 19.99511719	Y: -7.86010742	Z: 19.99511719	|  Gyro-X: 239.59426880	Y: 240.75317383	Z: 73.87084961
        Accel-X: 19.99511719	Y: -5.40649414	Z: 19.99511719	|  Gyro-X: 244.78317261	Y: 244.88037109	Z: 59.92660522
        Accel-X: 19.99511719	Y: -2.19116211	Z: 13.52539062	|  Gyro-X: 230.39031982	Y: 244.88037109	Z: -16.30691528
        Accel-X: 19.99511719	Y: -3.25195312	Z: 7.62695312	|  Gyro-X: 97.68447876	Y: 244.88037109	Z: -17.82470703
        Accel-X: 19.99511719	Y: -3.67492676	Z: -3.00170898	|  Gyro-X: 53.12271118	Y: 244.88037109	Z: -20.64346313
        Accel-X: 19.99511719	Y: -2.16979980	Z: -8.15856934	|  Gyro-X: 23.55941772	Y: 244.88037109	Z: -21.54067993
        Accel-X: 16.24938965	Y: -2.74841309	Z: -9.06616211	|  Gyro-X: 24.10522461	Y: 244.88037109	Z: -11.93298340
        Accel-X: 11.32873535	Y: -0.52062988	Z: -9.97558594	|  Gyro-X: 58.98452759	Y: 229.96414185	Z: -32.65869141
        Accel-X: 7.77832031	Y: -1.71813965	Z: -8.40332031	|  Gyro-X: 23.85848999	Y: 191.42120361	Z: -36.23260498
        Accel-X: 4.00146484	Y: -0.82031250	Z: -7.08129883	|  Gyro-X: -32.09793091	Y: 132.72079468	Z: -16.50878906
        Accel-X: 1.04064941	Y: 0.08972168	Z: -4.68261719	|  Gyro-X: 1.86172485	Y: 93.63204956	Z: -15.56671143
        Accel-X: 0.31311035	Y: 0.50659180	Z: -2.01171875	|  Gyro-X: 45.51132202	Y: 49.97497559	Z: -13.37600708
        Accel-X: -0.60119629	Y: 1.90185547	Z: 0.41137695	|  Gyro-X: 39.47753906	Y: 30.23620605	Z: -2.99072266
        Accel-X: -1.51306152	Y: 2.98767090	Z: 2.42980957	|  Gyro-X: 19.37988281	Y: 15.55175781	Z: 0.31402588
        Accel-X: -1.81396484	Y: 3.06518555	Z: 5.22460938	|  Gyro-X: 17.53311157	Y: -0.28411865	Z: -6.33285522
        Accel-X: -1.87011719	Y: 2.77282715	Z: 7.44323730	|  Gyro-X: 16.17233276	Y: -7.37960815	Z: -9.06188965
        Accel-X: -2.17529297	Y: 2.92968750	Z: 8.42468262	|  Gyro-X: 6.40762329	Y: -5.15899658	Z: -4.43374634
        Accel-X: -1.58752441	Y: 2.44262695	Z: 9.70031738	|  Gyro-X: 10.82641602	Y: -5.99639893	Z: -6.45248413
        Accel-X: -1.72180176	Y: 2.14904785	Z: 10.19104004	|  Gyro-X: 11.41708374	Y: -3.57391357	Z: -5.09170532
        Accel-X: -1.81213379	Y: 2.34375000	Z: 9.80102539	|  Gyro-X: 6.06369019	Y: 3.19259644	Z: -0.97198486
        Accel-X: -2.05932617	Y: 2.38342285	Z: 10.20996094	|  Gyro-X: 6.89361572	Y: 2.93090820	Z: -4.03747559
        Accel-X: -2.10693359	Y: 2.34558105	Z: 10.10498047	|  Gyro-X: 10.61706543	Y: -0.39627075	Z: -9.09927368
        Accel-X: -1.76818848	Y: 2.06298828	Z: 9.91210938	|  Gyro-X: 1.00936890	Y: -0.49346924	Z: -8.35159302
        Accel-X: -2.12646484	Y: 2.17773438	Z: 9.91027832	|  Gyro-X: -3.55895996	Y: 1.39816284	Z: -9.00207520
        Accel-X: -2.20031738	Y: 2.03918457	Z: 9.60083008	|  Gyro-X: -0.62057495	Y: -1.71218872	Z: -13.98910522
        Accel-X: -1.89514160	Y: 1.29760742	Z: 9.67163086	|  Gyro-X: -14.22836304	Y: -3.39447021	Z: -10.33294678
        Accel-X: -2.04284668	Y: 1.20300293	Z: 9.61120605	|  Gyro-X: -17.74246216	Y: 0.27664185	Z: -5.79452515
        Accel-X: -1.94335938	Y: 1.12487793	Z: 9.62402344	|  Gyro-X: -1.88415527	Y: 0.35140991	Z: -8.26934814
        Accel-X: -1.84387207	Y: 1.06811523	Z: 10.07385254	|  Gyro-X: 7.02072144	Y: -0.62057495	Z: -7.28988647
        Accel-X: -2.02880859	Y: 1.20910645	Z: 9.81384277	|  Gyro-X: 3.09539795	Y: 2.16079712	Z: -2.41500854
        Accel-X: -2.03247070	Y: 1.38305664	Z: 9.96948242	|  Gyro-X: 6.10107422	Y: 2.62435913	Z: -2.52716064
        Accel-X: -2.00256348	Y: 1.36413574	Z: 9.92980957	|  Gyro-X: 4.57580566	Y: 1.96640015	Z: -3.64868164
        Accel-X: -1.78405762	Y: 1.26525879	Z: 9.65759277	|  Gyro-X: -3.61129761	Y: 2.76641846	Z: -0.43365479
        Accel-X: -2.08190918	Y: 1.54907227	Z: 9.61059570	|  Gyro-X: 0.42617798	Y: 1.12152100	Z: -1.56265259
        Accel-X: -2.05078125	Y: 1.51794434	Z: 9.96826172	|  Gyro-X: 9.37591553	Y: -1.16638184	Z: -5.73471069
        Accel-X: -2.05932617	Y: 1.50085449	Z: 9.72900391	|  Gyro-X: 6.63940430	Y: 0.82244873	Z: -4.47113037
        Accel-X: -2.18750000	Y: 1.72790527	Z: 9.84680176	|  Gyro-X: 3.58886719	Y: 1.77947998	Z: -2.20565796
        Accel-X: -2.19665527	Y: 1.64672852	Z: 9.82482910	|  Gyro-X: 12.06008911	Y: 0.85235596	Z: -5.38330078
        Accel-X: -2.00073242	Y: 1.45141602	Z: 9.93103027	|  Gyro-X: 10.57220459	Y: 0.84487915	Z: -4.56832886
        Accel-X: -2.11059570	Y: 1.83959961	Z: 10.00671387	|  Gyro-X: 5.93658447	Y: 3.05801392	Z: -4.11972046
        Accel-X: -1.93969727	Y: 1.77062988	Z: 10.10192871	|  Gyro-X: 12.50869751	Y: 0.14953613	Z: -10.43014526
        Accel-X: -1.71447754	Y: 1.45324707	Z: 10.04699707	|  Gyro-X: 7.08801270	Y: -0.71777344	Z: -9.24133301
        Accel-X: -1.79992676	Y: 1.38916016	Z: 10.22094727	|  Gyro-X: -0.95703125	Y: 1.61499023	Z: -5.83938599
        Accel-X: -1.91162109	Y: 1.51550293	Z: 10.18066406	|  Gyro-X: 2.44491577	Y: 0.90469360	Z: -6.67678833
        Accel-X: -1.86950684	Y: 1.46423340	Z: 9.95056152	|  Gyro-X: 3.02810669	Y: 0.11215210	Z: -6.01135254
        Accel-X: -2.03613281	Y: 1.74011230	Z: 9.93347168	|  Gyro-X: -1.06918335	Y: 1.97387695	Z: -2.84866333
