Accel-X: 9.44824219	Y: -1.10534668	Z: -0.67993164	|  Gyro-X: -4.56085205	Y: 1.33087158	Z: -3.20007324
        Accel-X: 9.21325684	Y: -1.39770508	Z: -0.52429199	|  Gyro-X: -10.01144409	Y: 3.70849609	Z: -2.10098267
        Accel-X: 9.41833496	Y: -1.32446289	Z: -0.22644043	|  Gyro-X: -8.57589722	Y: 0.52337646	Z: -1.45050049
        Accel-X: 9.53613281	Y: -1.09191895	Z: -0.29602051	|  Gyro-X: -7.73849487	Y: -2.46734619	Z: -0.40374756
        Accel-X: 9.27001953	Y: -1.21643066	Z: -0.09826660	|  Gyro-X: -9.85443115	Y: 2.24304199	Z: 1.71218872
        Accel-X: 9.06311035	Y: -1.47460938	Z: 0.21545410	|  Gyro-X: -2.69912720	Y: 0.88226318	Z: 1.37573242
        Accel-X: 9.22119141	Y: -1.32629395	Z: 0.23559570	|  Gyro-X: 4.77020264	Y: -1.98883057	Z: -2.24304199
        Accel-X: 9.43664551	Y: -1.35009766	Z: -0.12878418	|  Gyro-X: 6.60202026	Y: -0.50094604	Z: -3.92532349
        Accel-X: 9.39514160	Y: -1.44348145	Z: -0.23559570	|  Gyro-X: 5.70480347	Y: 2.13836670	Z: -5.56274414
        Accel-X: 9.21752930	Y: -1.54846191	Z: -0.26367188	|  Gyro-X: 5.10665894	Y: 4.32907104	Z: -6.68426514
        Accel-X: 9.30236816	Y: -1.49536133	Z: -0.18798828	|  Gyro-X: 6.22070312	Y: 1.51779175	Z: -6.61697388
        Accel-X: 9.30358887	Y: -1.52160645	Z: -0.19409180	|  Gyro-X: 6.64688110	Y: 0.29907227	Z: -5.83938599
        Accel-X: 9.14123535	Y: -1.62963867	Z: -0.11962891	|  Gyro-X: 8.80020142	Y: 1.60751343	Z: -4.09729004
        Accel-X: 9.16870117	Y: -1.62780762	Z: -0.13732910	|  Gyro-X: 13.74237061	Y: 0.26916504	Z: -5.60012817
        Accel-X: 9.31091309	Y: -1.55456543	Z: -0.03356934	|  Gyro-X: 17.53311157	Y: 0.54580688	Z: -6.10107422
        Accel-X: 9.48669434	Y: -1.61132812	Z: 0.08178711	|  Gyro-X: 19.59671021	Y: 1.81686401	Z: -6.08612061
        Accel-X: 9.56787109	Y: -1.58142090	Z: 0.19287109	|  Gyro-X: 22.43041992	Y: 2.46734619	Z: -6.25061035
        Accel-X: 9.47082520	Y: -1.45019531	Z: 0.12268066	|  Gyro-X: 27.48474121	Y: 3.39447021	Z: -5.21133423
        Accel-X: 9.47265625	Y: -1.49169922	Z: 0.42846680	|  Gyro-X: 31.17828369	Y: 4.15710449	Z: -3.91036987
        Accel-X: 9.79614258	Y: -1.66870117	Z: 0.84655762	|  Gyro-X: 49.69085693	Y: 1.94396973	Z: -7.89550781
        Accel-X: 9.72473145	Y: -1.71997070	Z: 1.32812500	|  Gyro-X: 68.62960815	Y: 1.25610352	Z: -13.48068237
        Accel-X: 9.43420410	Y: -3.04992676	Z: 0.88439941	|  Gyro-X: 87.59826660	Y: 0.25421143	Z: -19.88830566
        Accel-X: 10.04333496	Y: -5.16357422	Z: 2.09533691	|  Gyro-X: 126.27578735	Y: 4.08233643	Z: -29.80255127
        Accel-X: 8.73901367	Y: -5.68481445	Z: 0.57983398	|  Gyro-X: 179.42840576	Y: 20.97991943	Z: -49.28710938
        Accel-X: 8.78051758	Y: -5.19226074	Z: 2.59887695	|  Gyro-X: 238.85406494	Y: 27.81372070	Z: -53.76571655
        Accel-X: 8.83239746	Y: -6.67602539	Z: 4.02954102	|  Gyro-X: 229.72488403	Y: 30.73715210	Z: -37.11486816
        Accel-X: 8.05175781	Y: -13.96362305	Z: 4.94018555	|  Gyro-X: 191.92962646	Y: 65.94543457	Z: 19.67147827
        Accel-X: 5.77758789	Y: -14.66857910	Z: 7.13134766	|  Gyro-X: 217.54516602	Y: 62.58834839	Z: 35.62698364
        Accel-X: 5.91247559	Y: -17.70019531	Z: 7.16857910	|  Gyro-X: 235.35491943	Y: 54.32647705	Z: 82.94769287
        Accel-X: 9.17419434	Y: -19.99511719	Z: 6.12670898	|  Gyro-X: 244.88037109	Y: 66.64825439	Z: 122.85888672
        Accel-X: 11.97082520	Y: -19.99511719	Z: 5.60791016	|  Gyro-X: 244.88037109	Y: 75.04470825	Z: 154.75494385
        Accel-X: 15.55969238	Y: -19.99511719	Z: 6.88659668	|  Gyro-X: 244.88037109	Y: 101.66961670	Z: 179.66766357
        Accel-X: 19.99511719	Y: -19.99511719	Z: 6.54663086	|  Gyro-X: 244.88037109	Y: 122.89627075	Z: 206.62155151
        Accel-X: 19.99511719	Y: -19.99511719	Z: 7.00866699	|  Gyro-X: 244.88037109	Y: 148.63891602	Z: 216.50588989
        Accel-X: 19.99511719	Y: -16.55761719	Z: 7.69958496	|  Gyro-X: 244.88037109	Y: 203.04763794	Z: 183.92196655
        Accel-X: 19.99511719	Y: -11.63391113	Z: 6.16577148	|  Gyro-X: 244.88037109	Y: 244.86541748	Z: 165.46920776
        Accel-X: 19.99511719	Y: -8.99719238	Z: 2.15515137	|  Gyro-X: 244.88037109	Y: 244.88037109	Z: 142.33596802
        Accel-X: 19.68688965	Y: -1.77612305	Z: -4.62890625	|  Gyro-X: 244.88037109	Y: 244.88037109	Z: 83.26171875
        Accel-X: 14.02038574	Y: 1.38305664	Z: 4.82727051	|  Gyro-X: 240.14007568	Y: 244.88037109	Z: 26.11648560
        Accel-X: 13.14636230	Y: -3.74694824	Z: 3.71765137	|  Gyro-X: 150.86700439	Y: 234.01657104	Z: -3.61129761
        Accel-X: 16.30249023	Y: -2.07824707	Z: -4.18762207	|  Gyro-X: 66.27441406	Y: 188.87908936	Z: -8.47122192
        Accel-X: 10.07690430	Y: 1.27319336	Z: -4.36645508	|  Gyro-X: 4.97207642	Y: 183.65280151	Z: -25.62301636
        Accel-X: 9.34448242	Y: 0.58288574	Z: -3.15307617	|  Gyro-X: -32.63626099	Y: 117.32604980	Z: -20.07522583
        Accel-X: 6.01318359	Y: 1.65771484	Z: -3.55895996	|  Gyro-X: -54.55825806	Y: 108.54080200	Z: -6.79641724
        Accel-X: 2.99560547	Y: 2.67822266	Z: -2.68188477	|  Gyro-X: -59.91912842	Y: 84.07669067	Z: 3.12530518
        Accel-X: 1.78100586	Y: 3.03833008	Z: 0.15502930	|  Gyro-X: -44.68887329	Y: 56.48727417	Z: 4.81506348
        Accel-X: 0.44616699	Y: 3.30322266	Z: 1.72851562	|  Gyro-X: -36.13540649	Y: 42.83462524	Z: 12.09747314
        Accel-X: 0.05065918	Y: 3.36303711	Z: 4.03869629	|  Gyro-X: -10.62454224	Y: 32.18017578	Z: 7.67868042
        Accel-X: -0.21789551	Y: 2.94067383	Z: 5.15686035	|  Gyro-X: 26.60247803	Y: 11.05072021	Z: -3.75335693
        Accel-X: -0.87646484	Y: 3.51196289	Z: 5.69396973	|  Gyro-X: 20.23971558	Y: 1.08413696	Z: -3.85803223
        Accel-X: -0.93444824	Y: 2.16125488	Z: 7.43591309	|  Gyro-X: 6.06369019	Y: -2.85614014	Z: -5.68237305
