Accel-X: 9.01123047	Y: -1.65954590	Z: 0.36071777	|  Gyro-X: 1.92901611	Y: -0.05233765	Z: -3.81317139
        Accel-X: 9.10278320	Y: -1.61193848	Z: 0.30090332	|  Gyro-X: 0.26168823	Y: -0.15701294	Z: -3.82812500
        Accel-X: 9.04357910	Y: -1.73706055	Z: 0.30212402	|  Gyro-X: -0.31402588	Y: 0.57571411	Z: -2.62435913
        Accel-X: 9.03320312	Y: -1.79138184	Z: 0.45959473	|  Gyro-X: 1.15142822	Y: 0.02243042	Z: -2.98324585
        Accel-X: 9.15100098	Y: -1.63513184	Z: 0.32775879	|  Gyro-X: 1.30844116	Y: -0.39627075	Z: -3.66363525
        Accel-X: 9.13696289	Y: -1.64184570	Z: 0.24047852	|  Gyro-X: -0.36636353	Y: 0.35888672	Z: -3.17764282
        Accel-X: 9.05090332	Y: -1.69921875	Z: 0.20996094	|  Gyro-X: -1.21871948	Y: 0.38879395	Z: -2.59445190
        Accel-X: 8.94226074	Y: -1.71936035	Z: 0.27954102	|  Gyro-X: 1.09909058	Y: -0.17196655	Z: -2.76641846
        Accel-X: 9.00756836	Y: -1.66503906	Z: 0.29907227	|  Gyro-X: 3.78326416	Y: -1.16638184	Z: -3.46176147
        Accel-X: 9.04907227	Y: -1.58081055	Z: 0.24353027	|  Gyro-X: 5.08422852	Y: -1.60751343	Z: -3.43933105
        Accel-X: 9.07531738	Y: -1.60644531	Z: 0.24658203	|  Gyro-X: 5.16647339	Y: -1.35330200	Z: -3.82064819
        Accel-X: 9.04968262	Y: -1.69555664	Z: 0.26855469	|  Gyro-X: 6.59454346	Y: -1.54022217	Z: -4.14215088
        Accel-X: 9.05456543	Y: -1.60400391	Z: 0.25085449	|  Gyro-X: 9.42077637	Y: -1.33087158	Z: -4.83001709
        Accel-X: 9.04907227	Y: -1.56982422	Z: 0.15747070	|  Gyro-X: 11.61895752	Y: -2.05612183	Z: -5.27114868
        Accel-X: 9.18640137	Y: -3.06274414	Z: 0.25451660	|  Gyro-X: 28.05297852	Y: -7.66372681	Z: -6.31790161
        Accel-X: 9.60876465	Y: -3.51806641	Z: 3.15185547	|  Gyro-X: 51.73950195	Y: -9.77218628	Z: -10.99838257
        Accel-X: 9.90844727	Y: -4.97985840	Z: 6.56738281	|  Gyro-X: 87.26928711	Y: -8.01513672	Z: -8.80020142
        Accel-X: 9.53308105	Y: -10.11047363	Z: 10.54443359	|  Gyro-X: 155.36804199	Y: -7.81326294	Z: 6.84127808
        Accel-X: 11.22253418	Y: -14.20104980	Z: 16.43859863	|  Gyro-X: 243.74389648	Y: 8.07495117	Z: -10.72174072
        Accel-X: 15.80932617	Y: 1.05224609	Z: 19.99511719	|  Gyro-X: 244.34204102	Y: 67.39593506	Z: -46.87957764
        Accel-X: 18.90258789	Y: -0.85388184	Z: 19.99511719	|  Gyro-X: 135.94329834	Y: 158.58306885	Z: -11.69372559
        Accel-X: 19.99511719	Y: -10.49255371	Z: 17.86254883	|  Gyro-X: 9.13665771	Y: 244.81307983	Z: 65.38467407
        Accel-X: 19.99511719	Y: -6.84143066	Z: 13.69689941	|  Gyro-X: 75.65780640	Y: 244.88037109	Z: 53.54888916
        Accel-X: 19.99511719	Y: -4.13269043	Z: 10.53039551	|  Gyro-X: 96.92184448	Y: 244.88037109	Z: 49.23477173
        Accel-X: 19.99511719	Y: -5.57312012	Z: 7.19970703	|  Gyro-X: 66.64825439	Y: 244.88037109	Z: 59.53781128
        Accel-X: 19.99511719	Y: -4.30847168	Z: 2.13378906	|  Gyro-X: 47.26089478	Y: 244.88037109	Z: 57.19009399
        Accel-X: 17.80456543	Y: -3.97644043	Z: 1.03454590	|  Gyro-X: 30.30349731	Y: 244.88037109	Z: 51.35070801
        Accel-X: 15.38879395	Y: -2.74719238	Z: -0.62438965	|  Gyro-X: 44.06829834	Y: 244.88037109	Z: 42.68508911
        Accel-X: 9.94873047	Y: 1.44897461	Z: -1.59118652	|  Gyro-X: 78.63357544	Y: 237.91946411	Z: 11.63391113
        Accel-X: 9.25170898	Y: -0.94421387	Z: -1.80297852	|  Gyro-X: 77.11578369	Y: 180.26580811	Z: -9.46563721
        Accel-X: 5.83496094	Y: 0.84533691	Z: -2.52136230	|  Gyro-X: 79.73266602	Y: 150.53802490	Z: -15.43212891
        Accel-X: 4.20593262	Y: 0.48278809	Z: -1.55639648	|  Gyro-X: 80.48034668	Y: 123.53179932	Z: -21.03973389
        Accel-X: 3.07250977	Y: -0.55603027	Z: -1.22009277	|  Gyro-X: 78.61862183	Y: 102.29019165	Z: -16.26953125
        Accel-X: 1.32934570	Y: -0.11718750	Z: -0.50170898	|  Gyro-X: 76.29333496	Y: 84.40567017	Z: -6.20574951
        Accel-X: -0.23498535	Y: 0.46691895	Z: -0.12145996	|  Gyro-X: 86.85806274	Y: 65.39215088	Z: -9.86190796
        Accel-X: -0.87402344	Y: 0.71350098	Z: 1.65283203	|  Gyro-X: 85.41503906	Y: 40.06820679	Z: -11.44699097
        Accel-X: -1.71508789	Y: 1.81884766	Z: 4.00939941	|  Gyro-X: 60.52474976	Y: 19.14062500	Z: -11.14791870
        Accel-X: -1.77062988	Y: 1.85119629	Z: 4.89929199	|  Gyro-X: 36.12792969	Y: 11.37222290	Z: -8.35906982
        Accel-X: -2.16003418	Y: 2.48657227	Z: 6.29638672	|  Gyro-X: 19.67147827	Y: 4.88235474	Z: -6.96838379
        Accel-X: -2.18078613	Y: 2.38281250	Z: 7.31994629	|  Gyro-X: 7.24502563	Y: 1.98135376	Z: -4.52346802
        Accel-X: -2.32421875	Y: 2.92114258	Z: 7.71728516	|  Gyro-X: -1.76452637	Y: -1.23367310	Z: -1.18133545
        Accel-X: -1.68029785	Y: 2.96569824	Z: 8.90075684	|  Gyro-X: -2.51968384	Y: -5.92910767	Z: -7.47680664
        Accel-X: -1.74194336	Y: 2.73254395	Z: 9.52209473	|  Gyro-X: -9.37591553	Y: -7.46932983	Z: -8.26187134
        Accel-X: -1.46118164	Y: 2.65686035	Z: 9.91394043	|  Gyro-X: -10.60211182	Y: -6.25061035	Z: -9.33105469
        Accel-X: -1.51550293	Y: 2.21008301	Z: 10.23498535	|  Gyro-X: -6.33285522	Y: -2.90847778	Z: -8.44131470
        Accel-X: -1.45996094	Y: 1.91772461	Z: 10.25268555	|  Gyro-X: -2.77389526	Y: -2.11593628	Z: -9.27871704
        Accel-X: -1.64123535	Y: 1.70349121	Z: 10.22583008	|  Gyro-X: -2.01126099	Y: -1.18133545	Z: -9.14413452
        Accel-X: -1.63574219	Y: 1.59301758	Z: 10.12145996	|  Gyro-X: -2.24304199	Y: 0.08224487	Z: -6.80389404
        Accel-X: -1.65710449	Y: 1.68151855	Z: 9.96276855	|  Gyro-X: 1.68228149	Y: 0.94955444	Z: -6.78894043
        Accel-X: -1.55883789	Y: 1.29089355	Z: 10.01647949	|  Gyro-X: 7.97775269	Y: -1.08413696	Z: -10.14602661
        Accel-X: -1.69555664	Y: 1.30310059	Z: 9.99145508	|  Gyro-X: 5.37582397	Y: -0.98693848	Z: -7.82073975
        Accel-X: -1.74560547	Y: 1.33117676	Z: 9.98535156	|  Gyro-X: -1.79443359	Y: 2.17575073	Z: -1.12152100
        Accel-X: -1.67968750	Y: 1.33972168	Z: 9.72595215	|  Gyro-X: 3.64868164	Y: 3.43933105	Z: -2.27294922
