Accel-X: 9.05883789	Y: -1.25915527	Z: 0.57861328	|  Gyro-X: 1.74209595	Y: 1.88415527	Z: -3.66363525
        Accel-X: 9.05639648	Y: -1.11511230	Z: 0.62011719	|  Gyro-X: -0.20187378	Y: 2.09350586	Z: -2.82623291
        Accel-X: 9.06860352	Y: -1.39953613	Z: 0.72082520	|  Gyro-X: -3.42437744	Y: 1.18133545	Z: -2.27294922
        Accel-X: 9.12597656	Y: -1.28479004	Z: 0.79040527	|  Gyro-X: -4.60571289	Y: 0.48599243	Z: -2.15332031
        Accel-X: 9.16564941	Y: -1.22863770	Z: 0.92468262	|  Gyro-X: -6.48986816	Y: 0.18692017	Z: -2.10845947
        Accel-X: 9.04296875	Y: -1.30859375	Z: 0.62438965	|  Gyro-X: -3.79074097	Y: -0.35140991	Z: -1.68975830
        Accel-X: 9.04785156	Y: -1.01867676	Z: 0.48583984	|  Gyro-X: -3.07296753	Y: -0.33645630	Z: -2.17575073
        Accel-X: 9.04968262	Y: -1.71447754	Z: 0.45043945	|  Gyro-X: -2.04864502	Y: 0.59814453	Z: -1.39068604
        Accel-X: 9.06738281	Y: -1.52648926	Z: 0.62316895	|  Gyro-X: 4.81506348	Y: 0.71029663	Z: -3.25988770
        Accel-X: 9.05456543	Y: -1.31958008	Z: 0.52307129	|  Gyro-X: 8.65066528	Y: 0.72525024	Z: -3.57391357
        Accel-X: 9.06127930	Y: -1.60461426	Z: 0.63293457	|  Gyro-X: 11.64886475	Y: -0.20187378	Z: -3.96270752
        Accel-X: 9.05151367	Y: -1.60461426	Z: 0.70800781	|  Gyro-X: 17.26394653	Y: -1.37573242	Z: -4.29916382
        Accel-X: 9.21569824	Y: -1.83349609	Z: 0.93505859	|  Gyro-X: 23.62670898	Y: -2.09350586	Z: -4.32159424
        Accel-X: 9.07409668	Y: -1.49902344	Z: 1.14807129	|  Gyro-X: 25.25665283	Y: -1.39816284	Z: -5.89172363
        Accel-X: 9.02770996	Y: -1.44592285	Z: 1.09802246	|  Gyro-X: 20.69580078	Y: -0.50842285	Z: -5.45806885
        Accel-X: 9.03137207	Y: -1.98974609	Z: 0.74951172	|  Gyro-X: 21.42852783	Y: -0.93460083	Z: -3.21502686
        Accel-X: 9.00939941	Y: -2.02392578	Z: 0.59020996	|  Gyro-X: 26.43051147	Y: -2.22061157	Z: -2.80380249
        Accel-X: 9.32006836	Y: -1.46118164	Z: 0.86059570	|  Gyro-X: 33.45123291	Y: -3.72344971	Z: -2.60192871
        Accel-X: 9.32556152	Y: -0.98876953	Z: 0.93933105	|  Gyro-X: 34.72229004	Y: -2.97576904	Z: -4.74029541
        Accel-X: 9.29992676	Y: -1.17248535	Z: 0.77026367	|  Gyro-X: 30.26611328	Y: -1.54022217	Z: -4.44122314
        Accel-X: 9.26086426	Y: -1.38305664	Z: -0.10742188	|  Gyro-X: 26.06414795	Y: -1.57760620	Z: -4.29168701
        Accel-X: 9.53002930	Y: -1.30615234	Z: -0.41137695	|  Gyro-X: 20.14999390	Y: -4.36645508	Z: -5.16647339
        Accel-X: 9.37133789	Y: -0.86975098	Z: -0.23742676	|  Gyro-X: 16.35925293	Y: -1.98135376	Z: -4.98703003
        Accel-X: 8.78540039	Y: -0.56152344	Z: 0.04272461	|  Gyro-X: 12.80029297	Y: -2.87857056	Z: -3.88793945
        Accel-X: 8.66333008	Y: -0.74035645	Z: 0.05981445	|  Gyro-X: 13.40591431	Y: -4.16458130	Z: -3.37951660
        Accel-X: 8.86352539	Y: -1.03454590	Z: 0.21118164	|  Gyro-X: 16.74804688	Y: -4.70291138	Z: -4.25430298
        Accel-X: 9.07714844	Y: -0.71044922	Z: 0.40039062	|  Gyro-X: 20.25466919	Y: -3.49914551	Z: -6.44500732
        Accel-X: 9.03503418	Y: -1.03759766	Z: 0.58044434	|  Gyro-X: 20.07522583	Y: -1.17385864	Z: -5.08422852
        Accel-X: 8.98376465	Y: -1.79382324	Z: 0.67932129	|  Gyro-X: 24.12017822	Y: 0.34393311	Z: -3.77578735
        Accel-X: 9.28833008	Y: -1.74194336	Z: 0.66101074	|  Gyro-X: 34.26620483	Y: 0.26168823	Z: -2.06359863
        Accel-X: 9.53796387	Y: -1.28723145	Z: -0.02990723	|  Gyro-X: 39.42520142	Y: 1.17385864	Z: -2.95333862
        Accel-X: 9.41467285	Y: -0.97106934	Z: -0.03417969	|  Gyro-X: 36.25503540	Y: 2.84866333	Z: -1.91406250
        Accel-X: 9.12597656	Y: -0.92590332	Z: 0.31005859	|  Gyro-X: 35.52978516	Y: 3.72344971	Z: -1.46545410
        Accel-X: 9.19616699	Y: -0.37780762	Z: 0.25329590	|  Gyro-X: 32.73345947	Y: 2.68417358	Z: -2.73651123
        Accel-X: 9.33410645	Y: -0.63110352	Z: -0.19470215	|  Gyro-X: 25.60058594	Y: 3.83560181	Z: -2.01873779
        Accel-X: 9.26025391	Y: -0.86669922	Z: -0.24414062	|  Gyro-X: 19.57427979	Y: 3.90289307	Z: -2.80380249
        Accel-X: 9.10034180	Y: -0.86791992	Z: -0.21545410	|  Gyro-X: 19.79858398	Y: 4.59075928	Z: -3.35708618
        Accel-X: 9.19433594	Y: -0.85937500	Z: -0.17333984	|  Gyro-X: 23.89587402	Y: 3.63372803	Z: -3.15521240
        Accel-X: 9.08203125	Y: -0.30090332	Z: 0.00732422	|  Gyro-X: 22.16873169	Y: 3.44680786	Z: -3.86550903
        Accel-X: 9.11865234	Y: -0.33935547	Z: 0.13916016	|  Gyro-X: 18.84902954	Y: 3.01315308	Z: -2.51968384
        Accel-X: 9.12963867	Y: -0.42236328	Z: 0.14587402	|  Gyro-X: 14.77416992	Y: 3.00567627	Z: -3.51409912
        Accel-X: 9.27368164	Y: -0.82580566	Z: -0.07873535	|  Gyro-X: 15.03585815	Y: 2.46734619	Z: -3.14025879
        Accel-X: 9.29138184	Y: -0.98937988	Z: 0.10375977	|  Gyro-X: 19.49203491	Y: 2.25799561	Z: -3.52157593
        Accel-X: 9.23706055	Y: -0.64331055	Z: 0.17272949	|  Gyro-X: 20.33691406	Y: 0.62805176	Z: -4.82254028
        Accel-X: 9.05700684	Y: -0.71411133	Z: 0.28076172	|  Gyro-X: 19.92568970	Y: 1.39068604	Z: -3.73840332
        Accel-X: 9.00512695	Y: -0.96069336	Z: 0.13427734	|  Gyro-X: 19.41726685	Y: 0.41122437	Z: -3.64868164
        Accel-X: 9.29016113	Y: -1.53442383	Z: 1.39892578	|  Gyro-X: 30.66238403	Y: -1.03927612	Z: -3.05053711
        Accel-X: 9.83581543	Y: -1.27441406	Z: 2.07641602	|  Gyro-X: 35.53726196	Y: -3.14025879	Z: -3.86550903
        Accel-X: 9.23706055	Y: -2.30163574	Z: 2.37609863	|  Gyro-X: 45.51132202	Y: 3.84307861	Z: 6.51229858
        Accel-X: 10.24230957	Y: -5.34545898	Z: 5.96008301	|  Gyro-X: 112.11471558	Y: -14.31060791	Z: 0.51589966
        Accel-X: 12.15332031	Y: -2.52624512	Z: 13.79943848	|  Gyro-X: 196.50543213	Y: 23.07342529	Z: -22.14630127
        Accel-X: 13.69018555	Y: 4.60510254	Z: 19.99511719	|  Gyro-X: 146.01455688	Y: 68.50250244	Z: -34.55032349
        Accel-X: 18.14147949	Y: 2.87048340	Z: 19.99511719	|  Gyro-X: 69.48196411	Y: 137.88726807	Z: -37.79525757
        Accel-X: 19.99511719	Y: -0.11840820	Z: 19.99511719	|  Gyro-X: -14.16854858	Y: 224.27429199	Z: -28.22494507
