Accel-X: 9.08996582	Y: -2.34252930	Z: 0.34179688	|  Gyro-X: 22.71453857	Y: -0.30654907	Z: 0.65048218
        Accel-X: 8.98559570	Y: -2.21008301	Z: 0.25146484	|  Gyro-X: 19.20791626	Y: 0.02243042	Z: -0.07476807
        Accel-X: 8.87817383	Y: -2.23571777	Z: 0.20568848	|  Gyro-X: 16.85272217	Y: -0.36636353	Z: -0.34393311
        Accel-X: 8.92089844	Y: -2.18139648	Z: 0.18432617	|  Gyro-X: 15.79849243	Y: -0.78506470	Z: -0.39627075
        Accel-X: 8.92761230	Y: -2.18811035	Z: 0.24597168	|  Gyro-X: 14.03396606	Y: -0.50842285	Z: -0.99441528
        Accel-X: 8.92272949	Y: -2.23327637	Z: 0.27282715	|  Gyro-X: 12.72552490	Y: 0.37384033	Z: -1.36825562
        Accel-X: 8.98254395	Y: -2.32788086	Z: 0.20751953	|  Gyro-X: 11.11801147	Y: 0.41122437	Z: -1.66732788
        Accel-X: 9.19189453	Y: -2.43347168	Z: 0.33325195	|  Gyro-X: 9.36096191	Y: -0.33645630	Z: -1.23367310
        Accel-X: 9.08386230	Y: -2.44812012	Z: 0.52368164	|  Gyro-X: 11.26754761	Y: 1.09161377	Z: -1.28601074
        Accel-X: 9.07531738	Y: -2.17163086	Z: 0.52490234	|  Gyro-X: 12.88253784	Y: 1.40563965	Z: -0.13458252
        Accel-X: 9.11071777	Y: -2.09960938	Z: 0.35339355	|  Gyro-X: 9.15161133	Y: 1.86920166	Z: 0.82244873
        Accel-X: 9.01977539	Y: -2.24853516	Z: 0.44189453	|  Gyro-X: 4.17953491	Y: 2.96081543	Z: 0.75515747
        Accel-X: 8.90380859	Y: -2.39868164	Z: 0.51025391	|  Gyro-X: 3.10287476	Y: 2.66921997	Z: 0.17944336
        Accel-X: 8.90014648	Y: -2.55859375	Z: 0.40039062	|  Gyro-X: 4.55337524	Y: 2.76641846	Z: -1.42059326
        Accel-X: 8.90258789	Y: -2.51220703	Z: 0.26611328	|  Gyro-X: 7.11791992	Y: 3.29727173	Z: -3.55895996
        Accel-X: 8.93432617	Y: -2.53784180	Z: 0.31372070	|  Gyro-X: 9.02450562	Y: 3.16268921	Z: -3.64868164
        Accel-X: 8.78295898	Y: -2.54028320	Z: 0.35644531	|  Gyro-X: 8.46374512	Y: 2.78884888	Z: -3.94775391
        Accel-X: 8.68835449	Y: -2.38830566	Z: 0.41076660	|  Gyro-X: 5.00946045	Y: 1.71218872	Z: -3.37203979
        Accel-X: 8.84643555	Y: -2.45178223	Z: 0.36987305	|  Gyro-X: 2.78884888	Y: 0.68786621	Z: -3.22250366
        Accel-X: 8.73107910	Y: -2.50549316	Z: 0.59082031	|  Gyro-X: 2.42996216	Y: 2.16827393	Z: -3.05053711
        Accel-X: 8.80126953	Y: -2.58178711	Z: 0.58105469	|  Gyro-X: 3.63372803	Y: 2.04864502	Z: -3.58139038
        Accel-X: 8.85803223	Y: -2.52136230	Z: 0.54748535	|  Gyro-X: 3.44680786	Y: 1.80191040	Z: -3.58886719
        Accel-X: 8.87573242	Y: -2.39379883	Z: 0.69702148	|  Gyro-X: 2.96829224	Y: 2.40005493	Z: -4.14215088
        Accel-X: 9.07775879	Y: -2.48840332	Z: 0.74584961	|  Gyro-X: 5.00946045	Y: 1.06170654	Z: -3.75335693
        Accel-X: 8.95751953	Y: -2.42431641	Z: 0.75805664	|  Gyro-X: 9.51049805	Y: 3.02062988	Z: -4.66552734
        Accel-X: 9.02343750	Y: -2.19665527	Z: 0.96435547	|  Gyro-X: 14.87136841	Y: 2.70660400	Z: -5.76461792
        Accel-X: 9.19189453	Y: -1.88354492	Z: 1.32446289	|  Gyro-X: 21.04721069	Y: 2.41500854	Z: -4.82254028
        Accel-X: 9.31762695	Y: -2.36694336	Z: 1.67419434	|  Gyro-X: 27.35763550	Y: 3.79821777	Z: -7.46185303
        Accel-X: 9.26696777	Y: -2.48291016	Z: 1.61743164	|  Gyro-X: 37.08496094	Y: 4.39636230	Z: -11.97036743
        Accel-X: 8.89648438	Y: -1.45568848	Z: 1.83349609	|  Gyro-X: 57.00317383	Y: 7.45437622	Z: -21.45095825
        Accel-X: 8.80737305	Y: -1.16333008	Z: 1.95556641	|  Gyro-X: 80.09902954	Y: 6.90856934	Z: -36.02325439
        Accel-X: 8.98254395	Y: -1.24816895	Z: 1.89514160	|  Gyro-X: 84.59259033	Y: 7.31231689	Z: -43.68698120
        Accel-X: 9.22119141	Y: -1.01562500	Z: 1.68151855	|  Gyro-X: 84.36828613	Y: 10.48995972	Z: -51.79931641
        Accel-X: 9.30053711	Y: -0.62011719	Z: 1.34155273	|  Gyro-X: 81.96823120	Y: 13.43582153	Z: -62.16964722
        Accel-X: 9.12780762	Y: -0.70739746	Z: 1.08642578	|  Gyro-X: 76.42044067	Y: 18.05648804	Z: -66.94732666
        Accel-X: 9.06188965	Y: -1.17797852	Z: 1.24572754	|  Gyro-X: 67.69500732	Y: 16.46392822	Z: -70.34927368
        Accel-X: 9.10888672	Y: -2.38037109	Z: 1.03210449	|  Gyro-X: 74.34936523	Y: 14.57229614	Z: -70.88760376
        Accel-X: 8.77014160	Y: -5.83251953	Z: 1.41113281	|  Gyro-X: 115.41946411	Y: 9.48059082	Z: -67.71743774
        Accel-X: 9.16259766	Y: -5.77575684	Z: 3.35144043	|  Gyro-X: 131.38244629	Y: 0.36636353	Z: -59.32098389
        Accel-X: 9.89013672	Y: -7.74719238	Z: 4.39514160	|  Gyro-X: 110.25299072	Y: 8.41140747	Z: -27.39501953
        Accel-X: 9.88952637	Y: -10.93444824	Z: 4.37011719	|  Gyro-X: 90.55160522	Y: 29.48852539	Z: 31.14837646
        Accel-X: 11.21337891	Y: -9.47570801	Z: 5.12268066	|  Gyro-X: 78.76815796	Y: 37.02514648	Z: 90.40206909
        Accel-X: 13.80798340	Y: -8.58459473	Z: 7.10144043	|  Gyro-X: -0.11962891	Y: 74.75311279	Z: 199.42886353
        Accel-X: 15.08728027	Y: -12.95227051	Z: 8.14453125	|  Gyro-X: -29.61563110	Y: 96.59286499	Z: 244.31213379
        Accel-X: 19.99511719	Y: -15.42602539	Z: 9.37805176	|  Gyro-X: -58.79760742	Y: 104.37622070	Z: 244.52148438
        Accel-X: 19.99511719	Y: -17.75695801	Z: 8.07189941	|  Gyro-X: -147.00149536	Y: 107.11273193	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: 7.63000488	|  Gyro-X: -219.57885742	Y: 90.34225464	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.99511719	Z: 4.44213867	|  Gyro-X: -144.36218262	Y: 49.68338013	Z: 244.52148438
        Accel-X: 19.99511719	Y: -19.72961426	Z: 3.71337891	|  Gyro-X: -3.42437744	Y: 30.04180908	Z: 244.52148438
        Accel-X: 19.99511719	Y: -11.52282715	Z: 5.39123535	|  Gyro-X: 55.54519653	Y: 62.92480469	Z: 244.52148438
        Accel-X: 19.65270996	Y: -6.69189453	Z: 3.73657227	|  Gyro-X: 17.63031006	Y: 81.03363037	Z: 244.52148438
        Accel-X: 17.26989746	Y: -4.31762695	Z: 1.61071777	|  Gyro-X: -14.31060791	Y: 80.16632080	Z: 244.52148438
        Accel-X: 13.59130859	Y: -2.66967773	Z: -1.69250488	|  Gyro-X: -17.82470703	Y: 64.95849609	Z: 244.52148438
        Accel-X: 12.14538574	Y: 0.20141602	Z: -1.86584473	|  Gyro-X: -3.89541626	Y: 54.81994629	Z: 244.52148438
        Accel-X: 6.01318359	Y: 4.56237793	Z: -2.40295410	|  Gyro-X: 20.84533691	Y: 48.21792603	Z: 244.52148438
        Accel-X: 1.77673340	Y: 6.31347656	Z: -2.90283203	|  Gyro-X: 69.19036865	Y: 38.31115723	Z: 216.93206787
        Accel-X: -1.65283203	Y: 6.57958984	Z: -3.77136230	|  Gyro-X: 80.04669189	Y: 29.52590942	Z: 146.22390747
        Accel-X: -4.07470703	Y: 6.26525879	Z: -3.70910645	|  Gyro-X: 69.43710327	Y: 24.32205200	Z: 82.26730347
        Accel-X: -5.82397461	Y: 5.51025391	Z: -3.22753906	|  Gyro-X: 37.56347656	Y: 20.56869507	Z: 42.18414307
        Accel-X: -8.88366699	Y: 2.57812500	Z: -2.24731445	|  Gyro-X: 14.69940186	Y: 16.38916016	Z: 19.52941895
