Accel-X: 9.46838379	Y: -2.12097168	Z: 1.44531250	|  Gyro-X: -6.97586060	Y: -1.48040771	Z: -7.90298462
        Accel-X: 9.43176270	Y: -2.16674805	Z: 1.54357910	|  Gyro-X: -8.47122192	Y: -2.02621460	Z: -7.94036865
        Accel-X: 9.37255859	Y: -2.22473145	Z: 1.64367676	|  Gyro-X: -8.96469116	Y: -1.69723511	Z: -8.35159302
        Accel-X: 9.23645020	Y: -2.28515625	Z: 1.63513184	|  Gyro-X: -9.20394897	Y: -1.72714233	Z: -9.24880981
        Accel-X: 9.44091797	Y: -2.35107422	Z: 1.64001465	|  Gyro-X: -8.68057251	Y: -1.86920166	Z: -10.30303955
        Accel-X: 9.37988281	Y: -2.39257812	Z: 1.53259277	|  Gyro-X: -9.36843872	Y: -0.73272705	Z: -10.02639771
        Accel-X: 9.39941406	Y: -2.50610352	Z: 1.52221680	|  Gyro-X: -8.50860596	Y: -0.67291260	Z: -9.24880981
        Accel-X: 9.32006836	Y: -2.33825684	Z: 1.61315918	|  Gyro-X: -9.22637939	Y: -0.48599243	Z: -8.80020142
        Accel-X: 9.37316895	Y: -2.36206055	Z: 1.56921387	|  Gyro-X: -10.34790039	Y: -0.56076050	Z: -7.85064697
        Accel-X: 9.45556641	Y: -2.45361328	Z: 1.50878906	|  Gyro-X: -11.36474609	Y: -0.29159546	Z: -7.10296631
        Accel-X: 9.41589355	Y: -2.45117188	Z: 1.45324707	|  Gyro-X: -12.14233398	Y: 0.28411865	Z: -6.21322632
        Accel-X: 9.40246582	Y: -2.42248535	Z: 1.45996094	|  Gyro-X: -11.45446777	Y: 0.26916504	Z: -5.68237305
        Accel-X: 9.28466797	Y: -2.35473633	Z: 1.44287109	|  Gyro-X: -11.23016357	Y: 0.32897949	Z: -5.17395020
        Accel-X: 9.35241699	Y: -2.42614746	Z: 1.45751953	|  Gyro-X: -10.80398560	Y: -0.24673462	Z: -4.83001709
        Accel-X: 9.33959961	Y: -2.40295410	Z: 1.50695801	|  Gyro-X: -10.07873535	Y: -0.46356201	Z: -5.46554565
        Accel-X: 9.35180664	Y: -2.42309570	Z: 1.50512695	|  Gyro-X: -9.78713989	Y: -0.55328369	Z: -5.40573120
        Accel-X: 9.30358887	Y: -2.37609863	Z: 1.49291992	|  Gyro-X: -9.30114746	Y: -0.52337646	Z: -5.16647339
        Accel-X: 9.44458008	Y: -2.44689941	Z: 1.41784668	|  Gyro-X: -9.88433838	Y: -0.63552856	Z: -5.34591675
        Accel-X: 9.39880371	Y: -2.46887207	Z: 1.46972656	|  Gyro-X: -10.01892090	Y: -0.17196655	Z: -5.43563843
        Accel-X: 9.25109863	Y: -2.45910645	Z: 1.48925781	|  Gyro-X: -9.08432007	Y: -0.64300537	Z: -5.37582397
