Accel-X: 8.68591309	Y: -2.60131836	Z: 0.48522949	|  Gyro-X: -17.98919678	Y: 3.58139038	Z: -2.87857056
        Accel-X: 8.67004395	Y: -2.68859863	Z: 0.58471680	|  Gyro-X: -19.23034668	Y: 3.25988770	Z: -4.53094482
        Accel-X: 8.80859375	Y: -2.68127441	Z: 0.47241211	|  Gyro-X: -19.65652466	Y: 2.54959106	Z: -7.52166748
        Accel-X: 8.77319336	Y: -2.56713867	Z: 0.42968750	|  Gyro-X: -20.91262817	Y: 3.85803223	Z: -9.39834595
        Accel-X: 8.67614746	Y: -2.66296387	Z: 0.53344727	|  Gyro-X: -23.88839722	Y: 4.41131592	Z: -10.48248291
        Accel-X: 8.78540039	Y: -2.62756348	Z: 0.52490234	|  Gyro-X: -26.83425903	Y: 3.88793945	Z: -12.13485718
        Accel-X: 9.08691406	Y: -2.38891602	Z: 0.24291992	|  Gyro-X: -28.44177246	Y: 4.15710449	Z: -13.63021851
        Accel-X: 9.00817871	Y: -2.32116699	Z: 0.15380859	|  Gyro-X: -32.21755981	Y: 6.78894043	Z: -14.57977295
        Accel-X: 8.79394531	Y: -2.42980957	Z: 0.13854980	|  Gyro-X: -39.77661133	Y: 6.84875488	Z: -15.20034790
        Accel-X: 8.95141602	Y: -2.40539551	Z: 0.05249023	|  Gyro-X: -42.28881836	Y: 5.58517456	Z: -16.19476318
        Accel-X: 8.90502930	Y: -2.39624023	Z: -0.10131836	|  Gyro-X: -43.62716675	Y: 5.92163086	Z: -16.87515259
        Accel-X: 8.85742188	Y: -2.28637695	Z: -0.21423340	|  Gyro-X: -45.08514404	Y: 5.44311523	Z: -18.08639526
        Accel-X: 8.84216309	Y: -2.26379395	Z: -0.28442383	|  Gyro-X: -46.58050537	Y: 3.78326416	Z: -19.81353760
        Accel-X: 8.88549805	Y: -2.11791992	Z: -0.41809082	|  Gyro-X: -47.02163696	Y: 3.55148315	Z: -21.51077271
        Accel-X: 8.72436523	Y: -1.87255859	Z: -0.67382812	|  Gyro-X: -51.98623657	Y: 2.98324585	Z: -23.08837891
        Accel-X: 8.44238281	Y: -1.86096191	Z: -0.56457520	|  Gyro-X: -62.32666016	Y: 5.12908936	Z: -24.73327637
        Accel-X: 8.15429688	Y: -2.00195312	Z: -0.55603027	|  Gyro-X: -68.95111084	Y: 3.34213257	Z: -26.88659668
        Accel-X: 8.13476562	Y: -2.08190918	Z: -0.70495605	|  Gyro-X: -70.22964478	Y: 3.64868164	Z: -29.60815430
        Accel-X: 7.95166016	Y: -1.95190430	Z: -0.93444824	|  Gyro-X: -77.31765747	Y: 6.69921875	Z: -31.71661377
        Accel-X: 7.55371094	Y: -1.81457520	Z: -1.21215820	|  Gyro-X: -92.60772705	Y: 8.04504395	Z: -32.96524048
        Accel-X: 7.22473145	Y: -1.93115234	Z: -1.02233887	|  Gyro-X: -111.97265625	Y: 10.63949585	Z: -33.35403442
        Accel-X: 6.61560059	Y: -2.31323242	Z: -1.01867676	|  Gyro-X: -125.37857056	Y: 14.79660034	Z: -32.37457275
        Accel-X: 5.72265625	Y: -3.01269531	Z: -2.00195312	|  Gyro-X: -132.98995972	Y: 20.14251709	Z: -28.70346069
        Accel-X: 5.73669434	Y: -3.52111816	Z: -2.21740723	|  Gyro-X: -145.25939941	Y: 14.75173950	Z: -24.50897217
        Accel-X: 6.02539062	Y: -4.62585449	Z: -2.72521973	|  Gyro-X: -149.50622559	Y: 7.94036865	Z: -17.45086670
        Accel-X: 7.07885742	Y: -5.62805176	Z: -3.43505859	|  Gyro-X: -143.32290649	Y: -0.08224487	Z: 1.66732788
        Accel-X: 8.19030762	Y: -6.53015137	Z: -4.99206543	|  Gyro-X: -134.19372559	Y: -10.02639771	Z: 14.28817749
        Accel-X: 10.26367188	Y: -8.70849609	Z: -7.08007812	|  Gyro-X: -126.61972046	Y: -23.52203369	Z: 29.94461060
        Accel-X: 13.74206543	Y: -9.63012695	Z: -8.94592285	|  Gyro-X: -130.47027588	Y: -40.32989502	Z: 54.09469604
        Accel-X: 15.06835938	Y: -11.94030762	Z: -10.28381348	|  Gyro-X: -118.60458374	Y: -67.41836548	Z: 70.24459839
        Accel-X: 15.64575195	Y: -13.75061035	Z: -12.09655762	|  Gyro-X: -79.86724854	Y: -116.81015015	Z: 109.49035645
        Accel-X: 18.04809570	Y: -15.86853027	Z: -14.70703125	|  Gyro-X: -70.43151855	Y: -156.31759644	Z: 136.57135010
        Accel-X: 19.99511719	Y: -18.30871582	Z: -16.53442383	|  Gyro-X: -42.61032104	Y: -188.93142700	Z: 161.94763184
        Accel-X: 19.99511719	Y: -17.71667480	Z: -16.74926758	|  Gyro-X: -12.17224121	Y: -204.57290649	Z: 187.80990601
        Accel-X: 19.03381348	Y: -19.69238281	Z: -16.52893066	|  Gyro-X: -24.95010376	Y: -221.28356934	Z: 204.39346313
        Accel-X: 16.94702148	Y: -19.99511719	Z: -17.79968262	|  Gyro-X: -45.75057983	Y: -231.52679443	Z: 213.48526001
        Accel-X: 19.99511719	Y: -19.99511719	Z: -18.98254395	|  Gyro-X: -35.73165894	Y: -243.28781128	Z: 243.07098389
        Accel-X: 19.99511719	Y: -19.17663574	Z: -18.99230957	|  Gyro-X: 21.30889893	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -13.70910645	Z: -18.65173340	|  Gyro-X: 28.14270020	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -9.60449219	Z: -17.11181641	|  Gyro-X: 30.61752319	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -4.18884277	Z: -12.52380371	|  Gyro-X: 33.75778198	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.99511719	Y: -1.46484375	Z: -6.74987793	|  Gyro-X: 60.39016724	Y: -243.32519531	Z: 244.52148438
        Accel-X: 19.98413086	Y: 0.75988770	Z: -2.86865234	|  Gyro-X: 112.55584717	Y: -243.32519531	Z: 240.88027954
        Accel-X: 14.66247559	Y: 5.14160156	Z: -0.10620117	|  Gyro-X: 132.99743652	Y: -226.56219482	Z: 205.13366699
        Accel-X: 11.94702148	Y: 6.29333496	Z: 2.96691895	|  Gyro-X: 89.89364624	Y: -177.17041016	Z: 173.05068970
        Accel-X: 8.51867676	Y: 6.76879883	Z: 4.23400879	|  Gyro-X: 77.65411377	Y: -138.80691528	Z: 140.79574585
        Accel-X: 3.85253906	Y: 6.67236328	Z: 4.22485352	|  Gyro-X: 101.61727905	Y: -91.87500000	Z: 93.37783813
        Accel-X: 1.67297363	Y: 7.57263184	Z: 2.94677734	|  Gyro-X: 103.09020996	Y: -67.51556396	Z: 64.75662231
        Accel-X: -0.43884277	Y: 7.20214844	Z: 3.48449707	|  Gyro-X: 78.70086670	Y: -53.04046631	Z: 40.85327148
        Accel-X: -4.64843750	Y: 4.58435059	Z: 4.13940430	|  Gyro-X: 64.88372803	Y: -39.08126831	Z: 20.12756348
        Accel-X: -7.05871582	Y: 3.57482910	Z: 4.35241699	|  Gyro-X: 69.50439453	Y: -29.21936035	Z: 1.53274536
        Accel-X: -8.92150879	Y: 2.31872559	Z: 4.09118652	|  Gyro-X: 73.43719482	Y: -22.04162598	Z: -10.99090576
        Accel-X: -9.19067383	Y: 1.26037598	Z: 4.04357910	|  Gyro-X: 69.02587891	Y: -14.59472656	Z: -21.15936279
        Accel-X: -10.05554199	Y: -0.68725586	Z: 3.08166504	|  Gyro-X: 78.02047729	Y: 9.38339233	Z: -44.72625732
        Accel-X: -10.17272949	Y: -2.33825684	Z: 2.11120605	|  Gyro-X: 68.16604614	Y: 16.29196167	Z: -50.13946533
        Accel-X: -9.87060547	Y: -2.43164062	Z: 1.76025391	|  Gyro-X: 41.90750122	Y: 20.99487305	Z: -45.49636841
        Accel-X: -9.29565430	Y: -3.38867188	Z: 1.21154785	|  Gyro-X: 16.91253662	Y: 26.55014038	Z: -39.70184326
        Accel-X: -10.23437500	Y: -5.42541504	Z: 0.04760742	|  Gyro-X: 16.86019897	Y: 27.28286743	Z: -37.91488647
        Accel-X: -10.37963867	Y: -5.34301758	Z: 0.12512207	|  Gyro-X: 23.03604126	Y: 21.39114380	Z: -32.19512939
        Accel-X: -10.04943848	Y: -5.22583008	Z: -0.18676758	|  Gyro-X: 33.59329224	Y: 19.46212769	Z: -29.57077026
        Accel-X: -10.08911133	Y: -5.37231445	Z: -0.44189453	|  Gyro-X: 28.59130859	Y: 18.78921509	Z: -22.86407471
        Accel-X: -10.31616211	Y: -6.03576660	Z: -0.66467285	|  Gyro-X: 20.94253540	Y: 16.18728638	Z: -18.04901123
        Accel-X: -10.30883789	Y: -5.59082031	Z: -0.72631836	|  Gyro-X: 24.23980713	Y: 14.51248169	Z: -14.78912354
        Accel-X: -10.18066406	Y: -5.31127930	Z: -0.64758301	|  Gyro-X: 15.62652588	Y: 11.52923584	Z: -9.03198242
        Accel-X: -10.14160156	Y: -5.62500000	Z: -0.45837402	|  Gyro-X: 0.06729126	Y: 8.56094360	Z: -1.42059326
        Accel-X: -10.28076172	Y: -5.61706543	Z: -0.51269531	|  Gyro-X: 6.29547119	Y: 7.04315186	Z: -1.86920166
        Accel-X: -10.09765625	Y: -4.93103027	Z: -0.88684082	|  Gyro-X: 15.70877075	Y: 6.37023926	Z: -2.11593628
        Accel-X: -9.83093262	Y: -4.78088379	Z: -0.34667969	|  Gyro-X: 6.61697388	Y: 1.22619629	Z: 1.11404419
        Accel-X: -9.81445312	Y: -4.79797363	Z: 0.03112793	|  Gyro-X: 6.54220581	Y: 0.63552856	Z: 1.63742065
        Accel-X: -9.92004395	Y: -4.91638184	Z: 0.11474609	|  Gyro-X: 18.02658081	Y: 1.53274536	Z: -1.98135376
        Accel-X: -9.89929199	Y: -4.26879883	Z: -0.05920410	|  Gyro-X: 15.61157227	Y: 1.66732788	Z: -0.56076050
        Accel-X: -9.81018066	Y: -4.54711914	Z: 0.09521484	|  Gyro-X: 1.91406250	Y: 0.69534302	Z: 2.01873779
        Accel-X: -9.80957031	Y: -4.81506348	Z: 0.27160645	|  Gyro-X: 3.37951660	Y: 1.12899780	Z: -1.21871948
        Accel-X: -9.73815918	Y: -4.57031250	Z: 0.24841309	|  Gyro-X: 9.52545166	Y: 1.24114990	Z: -1.97387695
        Accel-X: -9.89685059	Y: -4.93408203	Z: 0.17883301	|  Gyro-X: 5.87677002	Y: 1.86172485	Z: -1.30844116
        Accel-X: -10.05920410	Y: -5.20019531	Z: 0.12695312	|  Gyro-X: 13.20404053	Y: 2.75146484	Z: -3.54400635
        Accel-X: -9.84863281	Y: -4.57275391	Z: 0.29907227	|  Gyro-X: 16.43402100	Y: 2.28042603	Z: -3.54400635
        Accel-X: -9.92492676	Y: -4.90722656	Z: 0.47363281	|  Gyro-X: 2.87857056	Y: 3.39447021	Z: -0.77758789
        Accel-X: -9.89624023	Y: -5.44860840	Z: 0.31066895	|  Gyro-X: 3.32717896	Y: 5.59265137	Z: -1.39816284
        Accel-X: -9.90173340	Y: -4.81689453	Z: 0.15625000	|  Gyro-X: 13.77975464	Y: 7.79830933	Z: -2.63931274
        Accel-X: -9.90600586	Y: -4.74365234	Z: 0.02502441	|  Gyro-X: 3.40942383	Y: 7.70858765	Z: 0.02243042
        Accel-X: -9.86938477	Y: -5.12023926	Z: 0.14709473	|  Gyro-X: -3.95523071	Y: 6.85623169	Z: 1.52526855
        Accel-X: -9.92248535	Y: -5.05737305	Z: 0.03662109	|  Gyro-X: 8.76281738	Y: 7.73849487	Z: -1.10656738
        Accel-X: -9.91455078	Y: -4.58862305	Z: -0.13000488	|  Gyro-X: 4.97955322	Y: 5.95153809	Z: 0.45608521
        Accel-X: -9.76501465	Y: -5.12634277	Z: -0.00976562	|  Gyro-X: 0.74020386	Y: 4.11972046	Z: 1.51031494
        Accel-X: -10.02197266	Y: -5.26367188	Z: -0.13366699	|  Gyro-X: 11.64138794	Y: 3.88046265	Z: -0.07476807
        Accel-X: -9.81140137	Y: -4.63806152	Z: -0.11657715	|  Gyro-X: 11.54418945	Y: 2.61688232	Z: 0.26168823
        Accel-X: -9.89501953	Y: -4.86022949	Z: -0.02197266	|  Gyro-X: 2.16079712	Y: 1.68228149	Z: 3.02810669
        Accel-X: -9.96826172	Y: -4.88525391	Z: 0.08178711	|  Gyro-X: 2.25799561	Y: 1.76452637	Z: 3.34960938
        Accel-X: -9.98291016	Y: -4.67956543	Z: 0.01586914	|  Gyro-X: 5.77209473	Y: 2.25799561	Z: 1.15142822
        Accel-X: -10.11352539	Y: -4.83154297	Z: 0.25146484	|  Gyro-X: 2.47482300	Y: 1.74209595	Z: 2.65426636
        Accel-X: -9.87182617	Y: -4.73449707	Z: 0.19470215	|  Gyro-X: 2.93838501	Y: 2.18322754	Z: 2.87857056
        Accel-X: -9.99572754	Y: -4.77233887	Z: 0.05432129	|  Gyro-X: 6.87118530	Y: 2.96081543	Z: 1.36825562
        Accel-X: -9.91333008	Y: -4.66186523	Z: 0.10253906	|  Gyro-X: 8.26187134	Y: 2.31033325	Z: 0.32897949
        Accel-X: -9.80224609	Y: -4.52758789	Z: 0.27770996	|  Gyro-X: 7.04315186	Y: 1.46545410	Z: 1.09161377
        Accel-X: -9.79614258	Y: -4.41223145	Z: 0.15991211	|  Gyro-X: 6.70669556	Y: 2.81875610	Z: 0.99441528
        Accel-X: -9.92004395	Y: -4.58435059	Z: 0.03356934	|  Gyro-X: 5.97396851	Y: 2.46734619	Z: 0.04486084
        Accel-X: -9.86206055	Y: -4.40429688	Z: 0.33264160	|  Gyro-X: 4.40383911	Y: 0.83740234	Z: 0.40374756
        Accel-X: -9.81506348	Y: -4.45678711	Z: 0.31677246	|  Gyro-X: 5.74218750	Y: 1.69723511	Z: -0.59814453
        Accel-X: -9.94079590	Y: -4.50256348	Z: 0.16723633	|  Gyro-X: 6.65435791	Y: 2.08602905	Z: -2.19818115
        
